ENSG.ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Gene.type	Gene.name	Chromosome
ENSG00000198074	5.058835155003113	1.2982828661005335	9.738596936183617	8.997334704912227e-15	1.5398938347457276e-10	22.883693127215963	protein_coding	AKR1B10	7
ENSG00000007402	-1.8164840633918893	-0.1925688069448	-8.663768115152827	8.883963516842557e-13	5.020330566045635e-9	18.576336502295582	protein_coding	CACNA2D2	3
ENSG00000172350	2.421226330491889	1.0483002086172446	8.620192974180023	1.071214573334557e-12	5.020330566045635e-9	18.40034449341659	protein_coding	ABCG4	11
ENSG00000143546	4.871855742872447	7.090136125088531	8.598996324462286	1.1733171057074229e-12	5.020330566045635e-9	18.314709876204283	protein_coding	S100A8	1
ENSG00000100433	2.448924491303779	2.0776440446650675	8.503384849863231	1.7693204785810008e-12	6.056383998182766e-9	17.928250517824456	protein_coding	KCNK10	14
ENSG00000121671	-1.3554438895042216	1.6310863466757337	-8.369990367815692	3.1389266852183446e-12	8.953788369585327e-9	17.38863229809914	protein_coding	CRY2	11
ENSG00000228727	-2.9535277747348903	-1.5537441434398225	-8.312460418237656	4.019547625892325e-12	9.827793945306734e-9	17.15578039667387	protein_coding	SAPCD1	6
ENSG00000185962	3.2464250700124455	2.638498262462399	8.210342917905148	6.23471605921765e-12	1.333839566918876e-8	16.742321619966376	protein_coding	LCE3A	1
ENSG00000128242	-1.427013288975334	-1.0338046937071108	-7.961273071732571	1.818372103479136e-11	3.457937616782824e-8	15.73351504519389	protein_coding	GAL3ST1	22
ENSG00000131015	1.3820731152773336	0.21725294881786658	7.917364487041121	2.1958071384171517e-11	3.758123917400955e-8	15.555676729835337	protein_coding	ULBP2	6
ENSG00000112599	1.502391109672667	0.5594308439715557	7.812010260401609	3.451864702083709e-11	5.3707876705602434e-8	15.129050693636092	protein_coding	GUCA1B	6
ENSG00000104964	-0.9998336091575555	1.416586919577422	-7.67723119177034	6.154258257984701e-11	8.639765742004822e-8	14.58354618272384	protein_coding	TLE5	19
ENSG00000025708	1.8119651557528904	2.9367130722670227	7.662251674660856	6.562486394745119e-11	8.639765742004822e-8	14.522944441456016	protein_coding	TYMP	22
ENSG00000073067	-1.2795357907146665	0.16546801958337776	-7.4310085660852145	1.7664506434949128e-10	2.1594859116725308e-7	13.58837033403531	protein_coding	CYP2W1	7
ENSG00000163220	4.461526124777778	4.240704884618577	7.4032978755286365	1.9886266830360777e-10	2.2690230453441645e-7	13.476523606919194	protein_coding	S100A9	1
ENSG00000139629	2.017547806618889	0.8876724816336887	7.250610238522845	3.8166459996379045e-10	4.082618517737671e-7	12.86096274864984	protein_coding	GALNT6	12
ENSG00000157551	1.731120464098891	2.919146484060801	6.9893115507960575	1.1599932589097214e-9	1.1678402721317577e-6	11.811074261532433	protein_coding	KCNJ15	21
ENSG00000059691	1.456912398530889	0.4689610180768001	6.9684073495109695	1.2675541992364975e-9	1.205232784440703e-6	11.727314071785134	protein_coding	GATB	4
ENSG00000137648	2.4552719554960003	0.9207924441160886	6.953052878750691	1.3528260970308048e-9	1.2186115079306433e-6	11.66581539044564	protein_coding	TMPRSS4	11
ENSG00000179598	-1.2542146559236675	-0.791258981888355	-6.932071378835873	1.4786436519928945e-9	1.2653493051929194e-6	11.581813263981594	protein_coding	PLD6	17
ENSG00000262406	4.105709323936222	1.9938728857885344	6.831051289295546	2.2674816176647615e-9	1.8479975183967805e-6	11.177948225125007	protein_coding	MMP12	11
ENSG00000185565	-1.1854620174922226	-0.10327912645866669	-6.767611392829607	2.9641942504343327e-9	2.3060083907356187e-6	10.924848474247352	protein_coding	LSAMP	3
ENSG00000099769	-1.1130438810999999	0.26320272111537774	-6.739015361596464	3.3442089624547096e-9	2.48852766923532e-6	10.810902658802792	protein_coding	IGFALS	16
ENSG00000113356	1.4954878995377776	-1.3509042676798222	6.679145408270005	4.303649127188815e-9	3.069039783826524e-6	10.572637804112201	protein_coding	POLR3G	5
ENSG00000121858	1.4132142788104445	3.013533796897245	6.599483918890375	6.015816032569531e-9	3.989117639692657e-6	10.256264860451804	protein_coding	TNFSF10	3
ENSG00000171532	-2.215024965724111	1.8047024051634672	-6.597740884387107	6.06000926859533e-9	3.989117639692657e-6	10.24935118941286	protein_coding	NEUROD2	17
ENSG00000100307	-1.1353013056242212	2.7012854542590223	-6.5885512979515415	6.298386631088319e-9	3.992477303373207e-6	10.212907436643164	protein_coding	CBX7	22
ENSG00000101276	1.3063044873913334	1.1282572426944888	6.574037372340599	6.693969580407512e-9	4.091688906024092e-6	10.155370481993494	protein_coding	SLC52A3	20
ENSG00000184330	4.569036038247002	3.9207443932651564	6.522779103700164	8.298762719757517e-9	4.8977008258155145e-6	9.952388445888168	protein_coding	S100A7A	1
ENSG00000143850	-1.681107330269556	-0.33760887142462226	-6.434895638446126	1.1985560125327535e-8	6.837762051499359e-6	9.60519964918571	protein_coding	PLEKHA6	1
ENSG00000169679	1.562390168959555	-4.142423383904888	6.422719851503824	1.2610665287747776e-8	6.962307625800103e-6	9.557184423185152	protein_coding	BUB1	2
ENSG00000158296	-1.232017140051779	-2.157147585596623	-6.400793111664274	1.3818977986740325e-8	7.204560205821856e-6	9.470770748753022	protein_coding	SLC13A3	20
