ENSG.ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Gene.type	Gene.name	Chromosome
ENSG00000007171	3.742428966714288	0.9766046653409773	24.147591870479836	1.4555346529465836e-23	2.491147558518078e-19	43.36438876137202	protein_coding	NOS2	17
ENSG00000104964	-1.5365491146685717	1.416586919577422	-20.531856520234008	3.105510283918196e-21	2.657540425462996e-17	38.238948577390794	protein_coding	TLE5	19
ENSG00000172350	3.594608389921429	1.0483002086172446	19.842464914344134	9.459424088861738e-21	5.396601442695622e-17	37.162309446225365	protein_coding	ABCG4	11
ENSG00000153802	4.273471693358093	1.2727251725401778	19.208227956204954	2.7135012139288856e-20	1.1610393319098218e-16	36.14034252225652	protein_coding	TMPRSS11D	4
ENSG00000203785	2.822180932345712	2.1081113922547554	19.03681006481685	3.625625261313212e-20	1.1768237204570217e-16	35.85876889497508	protein_coding	SPRR2E	1
ENSG00000008311	1.9320632278547611	-0.48081793353644436	18.9030366163402	4.5525097806668193e-20	1.1768237204570217e-16	35.63740955254899	protein_coding	AASS	7
ENSG00000134827	6.060020617139996	2.0532613175769785	18.870436003764617	4.813184950744465e-20	1.1768237204570217e-16	35.58324713538777	protein_coding	TCN1	11
ENSG00000171124	3.020310084397143	2.018467884377778	18.712924615625397	6.306008786829406e-20	1.1979818421449582e-16	35.32035090541964	protein_coding	FUT3	19
ENSG00000152409	2.3030486453580936	1.0884987009108444	18.685105062141837	6.6154631578372e-20	1.1979818421449582e-16	35.273709277006624	protein_coding	JMY	5
ENSG00000135114	4.316183743792381	1.3228041636032886	18.626629723388938	7.317721052806374e-20	1.1979818421449582e-16	35.175465029817985	protein_coding	OASL	12
ENSG00000112033	1.3245996880895228	1.2405223581823999	18.597205656520575	7.699561941919099e-20	1.1979818421449582e-16	35.12592395021699	protein_coding	PPARD	6
ENSG00000122643	2.143316356639048	0.19420991041422228	18.2481905723188	1.4147993215500512e-19	2.0178575323607605e-16	34.53283015544827	protein_coding	NT5C3A	7
ENSG00000163221	4.377954871085236	2.239867353875911	18.184886499796864	1.5814708064565117e-19	2.031172051815457e-16	34.424164801166256	protein_coding	S100A12	1
ENSG00000171711	7.358437682339044	3.0620735346153793	18.144859320216856	1.697125167206072e-19	2.031172051815457e-16	34.3552809819637	protein_coding	DEFB4A	8
ENSG00000134851	1.836745127299047	-0.08153514714595561	18.092460360544795	1.8617608591481091e-19	2.031172051815457e-16	34.26490092209749	protein_coding	TMEM165	4
ENSG00000057149	8.123008801245712	4.220728016470398	18.068228464563546	1.9433497026669125e-19	2.031172051815457e-16	34.223025722379475	protein_coding	SERPINB3	18
ENSG00000139629	2.2644741326485702	0.8876724816336887	18.04708728175183	2.0175240947042227e-19	2.031172051815457e-16	34.18645071350885	protein_coding	GALNT6	12
ENSG00000106302	3.0938354399890464	1.6792808101011554	17.920499145869094	2.5266785536023175e-19	2.402450191383537e-16	33.96664841331773	protein_coding	HYAL4	7
ENSG00000177628	1.8204289614276181	0.041052827791111086	17.688067431917826	3.832272358986953e-19	3.347283454119097e-16	33.55945981358261	protein_coding	GBA1	1
ENSG00000164236	-3.1473088094247617	2.4971312985872003	-17.67670922707886	3.911520250212208e-19	3.347283454119097e-16	33.539441125734946	protein_coding	ANKRD33B	5
ENSG00000172382	2.604067672774761	1.279974898939022	17.5325915391484	5.076159944961041e-19	4.137070355143248e-16	33.284449955204934	protein_coding	PRSS27	16
ENSG00000124102	4.80952325964857	2.458104136705334	17.380696451849545	6.693319876025468e-19	5.207098621735268e-16	33.01370542663473	protein_coding	PI3	20
ENSG00000158882	0.9990217447076182	-0.24743770217066668	17.227899097402997	8.857432896839488e-19	6.59108539258295e-16	32.73926689493998	protein_coding	TOMM40L	1
ENSG00000213064	2.149610721068095	1.3396161733229335	17.201293197219773	9.302091319369601e-19	6.633553872125446e-16	32.69126461165403	protein_coding	SFT2D2	1
ENSG00000188215	1.6930293597695227	1.0439669584821334	16.901231261114752	1.6229862845926347e-18	1.1110964104321178e-15	32.14541528058514	protein_coding	DCUN1D3	16
ENSG00000198074	5.710580289470473	1.2982828661005335	16.705973809500637	2.341192300391589e-18	1.5411348546616171e-15	31.785743034502943	protein_coding	AKR1B10	7
ENSG00000185798	1.3047583075952378	-0.13030759743377776	16.648398905517812	2.609965529904498e-18	1.6210779875211717e-15	31.67900508605252	protein_coding	WDR53	3
ENSG00000184731	2.0032821085995245	1.7318101553308445	16.63993361031287	2.6520703272330007e-18	1.6210779875211717e-15	31.663284918351074	protein_coding	FAM110C	2
ENSG00000146242	1.9008088476142848	-0.29173906807146677	16.569703038782833	3.029375065653502e-18	1.7367953576502364e-15	31.532604127158173	protein_coding	TPBG	6
ENSG00000130592	-1.7464444518066662	1.1818200806296892	-16.56710586553973	3.0443389266437095e-18	1.7367953576502364e-15	31.52776249183526	protein_coding	LSP1	11
ENSG00000143320	1.7530473392504748	0.5482068845600003	16.51453981432264	3.364041032530829e-18	1.8572762023150046e-15	31.429631189533943	protein_coding	CRABP2	1
ENSG00000165389	1.8946921376380947	0.6833145157647998	16.41943041555205	4.0327584116898136e-18	2.1568956317522238e-15	31.251408426435233	protein_coding	SPTSSA	14
ENSG00000121892	1.3744112348095237	0.12385397650151106	16.32612392097946	4.821639698696016e-18	2.5006776800964338e-15	31.07571963105883	protein_coding	PDS5A	4
ENSG00000196743	1.5195038950476172	2.522215737489777	16.30988988814417	4.97427490756633e-18	2.5039622071469924e-15	31.045066384800364	protein_coding	GM2A	5
ENSG00000085662	2.88319569321238	-1.381536716355911	16.23813557567426	5.7105688798453815e-18	2.7924681822443914e-15	30.909273159697015	protein_coding	AKR1B1	7
ENSG00000104728	-1.4408572123142853	-0.06159438822453333	-16.16827544580393	6.53495868892807e-18	3.1068282766945532e-15	30.776583166597057	protein_coding	ARHGEF10	8
ENSG00000114251	1.9492314086171416	-0.5775356655713777	16.133352614818207	6.991840417066214e-18	3.234198614542926e-15	30.710073069490235	protein_coding	WNT5A	3
ENSG00000178919	2.457100252671905	1.3324174264056001	16.10033624725247	7.453888669208282e-18	3.3571922256184145e-15	30.647083818586182	protein_coding	FOXE1	9
ENSG00000204065	-1.207563552033333	0.36546998818417764	-16.02339985175825	8.655930450732307e-18	3.789260335822983e-15	30.499886861538258	protein_coding	TCEAL5	X
ENSG00000185962	3.798336821059522	2.638498262462399	16.011666044778188	8.855998447731192e-18	3.789260335822983e-15	30.477386054983647	protein_coding	LCE3A	1
ENSG00000196507	-1.1471807784342856	0.11002371366168896	-15.708447327454062	1.6055592440899648e-17	6.65636754409925e-15	29.891175084794014	protein_coding	TCEAL3	X
ENSG00000119714	2.113447642883809	1.676111224305778	15.69973112278609	1.633464427999816e-17	6.65636754409925e-15	29.874187607056427	protein_coding	GPR68	14
ENSG00000204071	-1.1513760474780945	0.11279969433333333	-15.67284563669982	1.722710020011789e-17	6.856786509884132e-15	29.821740605013936	protein_coding	TCEAL6	X
ENSG00000121671	-1.6544359831266662	1.6310863466757337	-15.660152540980334	1.7665652186817024e-17	6.871537208576668e-15	29.796954029554293	protein_coding	CRY2	11
