ENSG.ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Gene.type	Gene.name	Chromosome
ENSG00000169855	0.944876776669199	8.847236631665963	13.756334739038572	9.34341787786242e-33	1.5752068200288254e-28	63.65108389177648	protein_coding	ROBO1	3
ENSG00000117461	0.7477275076352852	7.324689846051749	13.46077263645523	9.955552726812671e-32	8.392033171066742e-28	61.32341917111113	protein_coding	PIK3R3	1
ENSG00000145860	0.8324130520292776	9.183449266744136	13.3121346559157	3.2614342519337344e-31	1.8328173351116943e-27	60.156016707329044	protein_coding	RNF145	5
ENSG00000044012	-2.213839019010483	9.057308288532939	-13.069387133372988	2.2530633069858765e-30	9.496098573118722e-27	58.25459092044473	protein_coding	GUCA2B	1
ENSG00000153395	0.8845242158344355	7.794611292867676	12.941065228650654	6.241022562579599e-30	2.1043479876505894e-26	57.2522269166852	protein_coding	LPCAT1	5
ENSG00000103222	0.5244580936406038	8.303116998832014	12.599616304902675	9.291677802933412e-29	2.6108066013275735e-25	54.59540571778837	protein_coding	ABCC1	16
ENSG00000187699	-1.3920330017537221	9.41121401853421	-12.515073592358496	1.8087972010377297e-28	4.0113264825903663e-25	53.94008096548235	protein_coding	C2orf88	2
ENSG00000196562	0.963976577302299	8.022544629728358	12.508593162918624	1.9034706602243864e-28	4.0113264825903663e-25	53.88989190162468	protein_coding	SULF2	20
ENSG00000159212	1.1778192149155444	6.720141778247851	12.466174551384356	2.6576983899648394e-28	4.978459684046358e-25	53.56152703374167	protein_coding	CLIC6	21
ENSG00000071242	0.8035668344285689	7.630063924593842	12.293864656425669	1.0282668002563541e-27	1.7335549985521874e-24	52.23051053816374	protein_coding	RPS6KA2	6
ENSG00000148200	-0.6628519260425634	6.654142198488318	-12.176600688936553	2.5751596135382016e-27	3.757696368090006e-24	51.327417529747066	protein_coding	NR6A1	9
ENSG00000100417	-0.6693512207549466	7.818199022397554	-12.171751170350424	2.674675628274516e-27	3.757696368090006e-24	51.29011870281391	protein_coding	PMM1	22
ENSG00000167780	-1.3753997583584283	6.889283810194355	-12.154801701055058	3.0535916024046614e-27	3.960038524995399e-24	51.159787352218345	protein_coding	SOAT2	12
ENSG00000023697	-0.6597901145102831	10.305411814287599	-12.08703594941915	5.1837971568549646e-27	6.2424025905298465e-24	50.639197896399565	protein_coding	DERA	12
ENSG00000172985	0.7396139046442292	6.461853259744711	12.01450828348337	9.12538273564421e-27	1.025632183601505e-23	50.08290898207464	protein_coding	SH3RF3	2
ENSG00000103742	1.1848972836280094	5.890009702268088	11.98197822992023	1.1756474416768848e-26	1.2387650137019125e-23	49.833705006055794	protein_coding	IGDCC4	15
ENSG00000125246	-0.6933007763890942	7.795461931007889	-11.936158940706664	1.6792311903260637e-26	1.6653034492768888e-23	49.48301878501286	protein_coding	CLYBL	13
ENSG00000198189	-0.8992254556419805	11.722133317923909	-11.921507192176257	1.8818581554705276e-26	1.7625692579487568e-23	49.3709595310268	protein_coding	HSD17B11	4
ENSG00000187824	-1.049817726743143	8.913960146460278	-11.900942771870323	2.2080068815617483e-26	1.9591993692762902e-23	49.21374552131569	protein_coding	TMEM220	17
ENSG00000182871	0.8738512677128467	7.114293326884989	11.87861272270146	2.626244862135502e-26	2.2137931065371212e-23	49.04312179999674	protein_coding	COL18A1	21
ENSG00000163513	0.6295209699229272	10.223029686964614	11.85349984945904	3.1916127699979584e-26	2.4554093761367624e-23	48.851345375763444	protein_coding	TGFBR2	3
ENSG00000114812	-0.844476860939503	8.536482560348206	-11.852994147690588	3.2041643202449e-26	2.4554093761367624e-23	48.847484756127244	protein_coding	VIPR1	3
ENSG00000104415	1.4716200841705822	6.029120404972019	11.846066140178616	3.381155512904798e-26	2.478386990959217e-23	48.79459991519805	protein_coding	CCN4	8
ENSG00000168748	-0.5903060733452037	6.451549117802255	-11.82898034395896	3.860422506260051e-26	2.711785959709925e-23	48.66421435731047	protein_coding	CA7	16
ENSG00000163686	-1.1076961874860434	8.64449155367067	-11.80829118886693	4.532248591315128e-26	3.0563671600392696e-23	48.50640466104626	protein_coding	ABHD6	3
ENSG00000131873	0.7608398115546766	8.240532904613975	11.798852630165534	4.876295740512887e-26	3.16190268805026e-23	48.434437639147816	protein_coding	CHSY1	15
ENSG00000040341	-1.223722786035779	8.082849292444356	-11.774416647618635	5.89281771704169e-26	3.679519033022439e-23	48.248197565761515	protein_coding	STAU2	8
ENSG00000150457	0.9309595559111585	8.184602170909857	11.735729509892717	7.95082627640307e-26	4.544645632213715e-23	47.953576929904216	protein_coding	LATS2	13
ENSG00000144837	1.1354667319586245	5.236125820736765	11.733892656510871	8.06465369691112e-26	4.544645632213715e-23	47.93959565645156	protein_coding	PLA1A	3
ENSG00000157693	0.5391887062058789	6.252676046482689	11.733534483611443	8.087037722665131e-26	4.544645632213715e-23	47.93686948759067	protein_coding	TMEM268	9
ENSG00000134716	-1.6420226431757126	9.549055312504453	-11.715508452728608	9.297307666152293e-26	5.0562358046342424e-23	47.79969995345631	protein_coding	CYP2J2	1
ENSG00000261371	1.1015557184763853	9.241344110303968	11.70482900733529	1.0097811275300291e-25	5.319968759071488e-23	47.71846448376675	protein_coding	PECAM1	17
ENSG00000139178	0.5313998195405949	7.535072314762319	11.6874404764474	1.1550767712027687e-25	5.901042207790145e-23	47.58624298795148	protein_coding	C1RL	12
ENSG00000167107	-0.8974540570583311	8.885509687673876	-11.653159322643345	1.5053474133076654e-25	7.46430942380998e-23	47.325746427360926	protein_coding	ACSF2	17
ENSG00000113492	-1.0320782349611024	5.734268590009582	-11.645979426847543	1.591164353441962e-25	7.664411381336583e-23	47.27121733169322	protein_coding	AGXT2	5
ENSG00000160200	-1.1311514945397603	7.632548581145487	-11.597254896634926	2.317379736537265e-25	1.0852418049522708e-22	46.901443816473815	protein_coding	CBS	21
ENSG00000079689	-0.7591747726260074	6.59367566987108	-11.577814586711048	2.692066648758869e-25	1.2236465523387633e-22	46.75404457300894	protein_coding	SCGN	6
ENSG00000073849	1.0363843059583893	7.816470513281391	11.574671001304253	2.7580858288672527e-25	1.2236465523387633e-22	46.73021671235885	protein_coding	ST6GAL1	3
ENSG00000072415	-0.7414240246315327	9.942406573174868	-11.560329640885035	3.080341844738624e-25	1.3315764912935502e-22	46.621537295257056	protein_coding	PALS1	14
ENSG00000182022	0.9249225428658079	7.979888417717351	11.545686605226926	3.4481059285824553e-25	1.4526052654744318e-22	46.51061547808344	protein_coding	CHST15	10
ENSG00000204444	-1.0453532231398297	7.597564539529842	-11.54239818523055	3.5365343813190056e-25	1.4526052654744318e-22	46.48571160471435	protein_coding	APOM	6
ENSG00000129657	0.6784998126178241	8.053188375851379	11.539411547495778	3.6188042677457817e-25	1.4526052654744318e-22	46.4630951304307	protein_coding	SEC14L1	17
ENSG00000176788	1.1169605009834758	8.980181962005476	11.501667827106953	4.83848468711715e-25	1.897023566049024e-22	46.17743869720104	protein_coding	BASP1	5
ENSG00000036672	-1.1883122532171146	7.1299151541433305	-11.483207928546305	5.576447114186501e-25	2.1366664067743235e-22	46.03783691762766	protein_coding	USP2	11
ENSG00000156920	-0.9828506069477072	5.474848981003803	-11.447878669999966	7.315689241918132e-25	2.7407823317666175e-22	45.77086245256402	protein_coding	ADGRG4	X
ENSG00000140853	0.722799967638684	8.637763084438712	11.438517416249235	7.860958589326662e-25	2.8810413229882216e-22	45.70016625452453	protein_coding	NLRC5	16
ENSG00000198721	-0.55631651185546	9.743627019190404	-11.431907870395111	8.270157697031179e-25	2.9461472149778426e-22	45.650262239104094	protein_coding	ECI2	6
ENSG00000110777	1.2853268083291187	9.27807671762816	11.428234213476648	8.506700691749871e-25	2.9461472149778426e-22	45.62252909421112	protein_coding	POU2AF1	11
ENSG00000061656	0.9877381422662825	6.0447437435703115	11.42737701969759	8.56285743720946e-25	2.9461472149778426e-22	45.61605838936063	protein_coding	SPAG4	20
ENSG00000111802	-0.8765808440121816	12.002433824951375	-11.41897606015977	9.133152902344292e-25	3.0795164956124484e-22	45.55265035494574	protein_coding	TDP2	6
