ENSG.ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Gene.type	Gene.name	Chromosome
ENSG00000134962	2.2954703393880074	6.057844918794332	12.293773613326389	1.592409274424605e-9	2.7357591334614714e-5	11.194334012135808	protein_coding	KLB	4
ENSG00000165841	-3.194093629059129	3.0371210820108168	-10.937945012442853	8.455602513115573e-9	7.263362558766278e-5	9.874372782043611	protein_coding	CYP2C19	10
ENSG00000143819	1.4390042450383582	9.80472146796688	7.832406814666495	7.685245534815869e-7	0.002277493492264361	6.016883743893755	protein_coding	EPHX1	1
ENSG00000092140	-1.4996184999478785	6.639406126886898	-7.759129928159511	8.665020299942471e-7	0.002277493492264361	5.909485652343551	protein_coding	G2E3	14
ENSG00000103495	1.0187111532017763	8.28892557582037	7.653772812331936	1.0309180989694158e-6	0.002277493492264361	5.753618884242274	protein_coding	MAZ	16
ENSG00000107643	-1.1403220010957922	6.911220368222712	-7.635946073594095	1.061825815654159e-6	0.002277493492264361	5.727075836710326	protein_coding	MAPK8	10
ENSG00000250799	1.1507900037863994	4.574782649295623	7.53650634904933	1.2529870710435546e-6	0.002277493492264361	5.578109160569567	protein_coding	PRODH2	19
ENSG00000110841	-1.362086110452255	7.7269374120506065	-7.510391515578132	1.3089424964040507e-6	0.002277493492264361	5.538732042838565	protein_coding	PPFIBP1	12
ENSG00000115844	-1.7167212466014652	4.3448401766658655	-7.508504427154089	1.3130859641991903e-6	0.002277493492264361	5.535882478479709	protein_coding	DLX2	2
ENSG00000048405	-1.9483662008985139	6.502456189169139	-7.491440796134935	1.351181828858691e-6	0.002277493492264361	5.510090565479339	protein_coding	ZNF800	7
ENSG00000160013	1.4446076748201069	6.598138878314612	7.387524278693828	1.6095899097577717e-6	0.002277493492264361	5.352034420927018	protein_coding	PTGIR	19
ENSG00000101596	-1.6169452308549985	7.9121728446537904	-7.380858239118872	1.6278402433908175e-6	0.002277493492264361	5.341837559661447	protein_coding	SMCHD1	18
ENSG00000132549	-1.3323440206951567	9.123586848689582	-7.347196275972452	1.7233652735411348e-6	0.002277493492264361	5.290238942301856	protein_coding	VPS13B	8
ENSG00000163093	-1.1324212468066217	4.258959959110191	-7.1939910730306025	2.2383167459500744e-6	0.0024196072592703637	5.053139871603729	protein_coding	BBS5	2
ENSG00000163125	1.5087373891056028	8.727929566964173	7.1914343515060635	2.248163900589307e-6	0.0024196072592703637	5.049151606627341	protein_coding	RPRD2	1
ENSG00000241935	0.9921571709819368	6.109523813840396	7.190075036412447	2.2534177036278126e-6	0.0024196072592703637	5.047030770427315	protein_coding	HOGA1	10
ENSG00000108055	-1.901859428092079	8.742062474660587	-7.010489635223091	3.074120346940838e-6	0.0029361675479905973	4.764256461404025	protein_coding	SMC3	10
ENSG00000152620	-1.2418334056529963	5.772272818039633	-7.00831033948055	3.0858105805476703e-6	0.0029361675479905973	4.760793435886824	protein_coding	NADK2	5
ENSG00000257315	-1.2711634702948764	7.509284784954654	-6.9675105089590605	3.313458042810299e-6	0.0029361675479905973	4.695820390982941	protein_coding	ZBED6	1
ENSG00000177098	1.497584270545154	5.718692612426203	6.94972471887578	3.4181228730973192e-6	0.0029361675479905973	4.667413722235865	protein_coding	SCN4B	11
ENSG00000165115	-1.7696929261093066	2.704685007378037	-6.872074179068663	3.917172792144263e-6	0.0031175206648487706	4.542802270342402	protein_coding	KIF27	9
ENSG00000165494	-1.0083873823501577	8.393251996374376	-6.839946316351931	4.145383917971759e-6	0.0031175206648487706	4.490962676148265	protein_coding	PCF11	11
ENSG00000123600	-0.9678973480848452	7.374687559031797	-6.836098655948244	4.173630692172394e-6	0.0031175206648487706	4.484743261451475	protein_coding	METTL8	2
ENSG00000155085	-0.9592972402326199	5.2184948233892285	-6.605848535499003	6.289290481358126e-6	0.004312377353498479	4.108254710426833	protein_coding	AK9	6
ENSG00000137760	-1.1364308366321936	6.051066933087865	-6.598661227139556	6.371056051222721e-6	0.004312377353498479	4.09636612662809	protein_coding	ALKBH8	11
ENSG00000125534	0.9824806605541525	7.934238681860236	6.585275991361553	6.526298672349271e-6	0.004312377353498479	4.0742035034951	protein_coding	PPDPF	20
ENSG00000114638	2.008089015574729	3.1641856547384193	6.531126842036615	7.1956992012258575e-6	0.004578596751002231	3.9842539374485186	protein_coding	UPK1B	3
ENSG00000100122	2.5557620446566722	4.227647867005567	6.468711436921951	8.056925785245091e-6	0.004943499463946809	3.8799923846432742	protein_coding	CRYBB1	22
ENSG00000113595	-1.451212546576544	6.708969253896793	-6.4416622595225235	8.462886599038475e-6	0.0049438377124037865	3.834615309229073	protein_coding	TRIM23	5
ENSG00000177728	1.1996391098276424	6.982976361237056	6.422326519998068	8.766099609941162e-6	0.0049438377124037865	3.8021067001258535	protein_coding	TMEM94	17
ENSG00000214046	1.4128988135177583	9.69841328208239	6.412729317694548	8.920778177212885e-6	0.0049438377124037865	3.785949108092841	protein_coding	SMIM7	19
ENSG00000170100	-1.2553090294436657	5.938662867652024	-6.384765202789446	9.387891793920415e-6	0.005040124406861022	3.738785934984585	protein_coding	ZNF778	16
ENSG00000138759	0.9995367505132489	4.873955803932169	6.330990098475135	1.0359123600928477e-5	0.005361829601853424	3.647741758554992	protein_coding	FRAS1	4
ENSG00000221888	1.2975747700695943	4.128727611300352	6.316688788711897	1.0634633686891682e-5	0.005361829601853424	3.6234516149868705	protein_coding	OR1C1	1
ENSG00000198157	-1.2655176694118735	5.949494320064978	-6.302107332882227	1.0923401400749118e-5	0.005361829601853424	3.598652279530172	protein_coding	HMGN5	X
ENSG00000203668	-1.3237395515413528	5.821246540460174	-6.279427816783224	1.1388860897876567e-5	0.005363865213653204	3.560013293310914	protein_coding	CHML	1
ENSG00000165059	1.0187545369170419	5.1804288047868425	6.271707349852423	1.1551979796575586e-5	0.005363865213653204	3.5468413982412423	protein_coding	PRKACG	9
ENSG00000158122	-1.1322815803619344	7.666016426223891	-6.247718560823326	1.2074504552053222e-5	0.00545894705800722	3.505853971380133	protein_coding	PRXL2C	9
ENSG00000078747	-1.2322090511475157	6.323369843800649	-6.224900248662214	1.25943719393753e-5	0.005547982305601735	3.46678207831457	protein_coding	ITCH	20
ENSG00000108852	1.0825285785967367	5.281231303139793	6.209845502127562	1.2950064089391053e-5	0.005562052526393457	3.4409587939072717	protein_coding	MPP2	17
ENSG00000089048	-1.5027850180330713	8.43676243426385	-6.157217880691997	1.427776205289353e-5	0.00598273053826124	3.350406589337772	protein_coding	ESF1	20
