ENSG.ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Gene.type	Gene.name	Chromosome
ENSG00000182240	1.586787246338261	8.068658666983842	15.673755262897126	7.86433243036214e-42	1.3926159867685277e-37	84.20835511619208	protein_coding	BACE2	21
ENSG00000133048	4.115013246538484	5.32228852367768	15.498679918041303	3.826233648027483e-41	3.3877472719635333e-37	82.65040813501469	protein_coding	CHI3L1	1
ENSG00000140279	4.25337105504084	6.441866007274543	14.610057332928378	1.1221050866219202e-37	5.473507976585392e-34	74.78789495698233	protein_coding	DUOX2	15
ENSG00000149968	4.455487920734377	6.080283924717131	14.599199641374263	1.2363921338571023e-37	5.473507976585392e-34	74.69236919670232	protein_coding	MMP3	11
ENSG00000137965	1.3087941044992366	4.736570247571518	14.125976202550596	8.342996141298457e-36	2.9547555134022613e-32	70.54411901344874	protein_coding	IFI44	1
ENSG00000163739	3.1132290770698647	7.349239283639338	13.84792520838012	9.758977053512617e-35	2.8801994277266905e-31	68.12185974063563	protein_coding	CXCL1	4
ENSG00000132274	1.795373137910306	6.625487570526641	13.743046381551055	2.4596368673907596e-34	6.222178521107939e-31	67.21139550936296	protein_coding	TRIM22	11
ENSG00000142089	1.528611196010793	10.148260662141858	13.423698066000764	4.057073442748379e-33	8.980332065523536e-30	64.45069933331277	protein_coding	IFITM3	11
ENSG00000115415	1.5739739937227784	7.692538428648431	13.339500865270463	8.468879325035963e-33	1.6662990565304092e-29	63.72589563388294	protein_coding	STAT1	2
ENSG00000143546	3.616649274093297	6.650142444678584	13.255552860357998	1.761605708864791e-32	3.119451389257772e-29	63.00457155670598	protein_coding	S100A8	1
ENSG00000196352	1.9428524916386696	9.11663085929247	13.180189838644027	3.395894068039468e-32	5.466772014258445e-29	62.35817588873378	protein_coding	CD55	1
ENSG00000138496	1.3126473843310293	6.620897702445909	13.135979567011058	4.988183942322532e-32	7.360896770887284e-29	61.97950178498877	protein_coding	PARP9	3
ENSG00000100342	1.8459478417486919	6.527928584124217	13.11123995017174	6.184617468497427e-32	8.424400471704033e-29	61.76777019545928	protein_coding	APOL1	22
ENSG00000188820	1.9163624753168564	6.566820948298162	13.091670834882196	7.330454386873051e-32	9.271977591624857e-29	61.60037726098028	protein_coding	CALHM6	6
ENSG00000125538	3.1606742336785745	6.719115681240269	12.997862356533824	1.6539329640421237e-31	1.9525229951505283e-28	60.79903182098248	protein_coding	IL1B	2
ENSG00000131203	3.7634159814405903	7.339854705206525	12.970011354094531	2.1051478730060455e-31	2.329872408449441e-28	60.561469182776804	protein_coding	IDO1	8
ENSG00000148346	3.2877715404564043	10.286493347408719	12.873687075968748	4.8424618147370886e-31	5.04413610678614e-28	59.741107505025354	protein_coding	LCN2	9
ENSG00000111335	1.0479213510038914	4.474939018922813	12.806861677393162	8.620736725090846e-31	8.48088921821715e-28	59.17314839978495	protein_coding	OAS2	12
ENSG00000137819	-1.1676054494951629	5.903206809128848	-12.699366458237614	2.175526435578786e-30	2.0275906379594285e-27	58.26159109683377	protein_coding	PAQR5	15
ENSG00000007171	2.4055218669005374	6.1955245082601	12.662948689107935	2.9751355698875824e-30	2.6341850335784655e-27	57.95335625978929	protein_coding	NOS2	17
ENSG00000140105	1.7014064810763632	8.004003781696838	12.644202154669845	3.494891723571652e-30	2.9470258400479437e-27	57.79480574497971	protein_coding	WARS1	14
ENSG00000154451	2.331742272938736	5.0133527154663176	12.59608986878146	5.281265814431972e-30	4.250938865543698e-27	57.388260473411535	protein_coding	GBP5	1
ENSG00000173193	1.2117451116672502	6.633178889358524	12.5571622048742	7.372969726809777e-30	5.676545561841197e-27	57.05971653760861	protein_coding	PARP14	3
ENSG00000124875	2.848592573143481	5.21253639471506	12.542701448738315	8.345108128572122e-30	6.1572989475314646e-27	56.93775990375222	protein_coding	CXCL6	4
ENSG00000115386	5.312595124880611	8.792843367269436	12.531254100360423	9.204440458469425e-30	6.519689265543063e-27	56.84125202751848	protein_coding	REG1A	2
ENSG00000126709	2.2055477627722784	7.106678454539515	12.518999427956107	1.0222329028535041e-29	6.962192401434558e-27	56.73797212615533	protein_coding	IFI6	1
ENSG00000117228	2.291026500486611	7.453975360065669	12.448538999639624	1.8670709885498535e-29	1.224521965379289e-26	56.1448374170004	protein_coding	GBP1	1
ENSG00000132530	1.6517767453853311	6.988395298924881	12.426265932927478	2.258137571842111e-29	1.4281107186492893e-26	55.95759036364967	protein_coding	XAF1	17
ENSG00000225531	1.3147157064842574	9.636289123453617	12.40629349356651	2.677717536759326e-29	1.6350697289977292e-26	55.78978637304141	NA	NA	NA
ENSG00000070190	1.2874417374882494	4.841847818683504	12.401112788825094	2.7987020737068984e-29	1.6499029187520365e-26	55.74627505404791	protein_coding	DAPP1	4
ENSG00000177409	1.5198673182104008	6.1722994907747655	12.397415758637505	2.888355007980186e-29	1.6499029187520365e-26	55.71522870235394	protein_coding	SAMD9L	7
ENSG00000144802	1.226864897300782	9.997110089230295	12.305778010315972	6.303957819864313e-29	3.4884526585674143e-26	54.946758633750704	protein_coding	NFKBIZ	3
ENSG00000148730	-0.7277720385957052	7.683821485891946	-12.28424205791368	7.570809121463453e-29	4.062542058268934e-26	54.76646087918354	protein_coding	EIF4EBP2	10
ENSG00000153395	1.6180555465012256	6.9623065074338175	12.259208010659938	9.365387501002874e-29	4.8777141725811444e-26	54.55702327072201	protein_coding	LPCAT1	5
ENSG00000143387	1.6154171690946981	8.888320325122246	12.251111298070247	1.0032068318618841e-28	5.0756533081743553e-26	54.48931902011262	protein_coding	CTSK	1
ENSG00000172016	4.932234267354396	7.848641753541988	12.246811400869968	1.0405135282740245e-28	5.118170432965674e-26	54.453370249506776	protein_coding	REG3A	2
ENSG00000168394	1.2805999454220895	9.320006090420035	12.226529785342638	1.2359909130197305e-28	5.915385699392807e-26	54.28387132571214	protein_coding	TAP1	6
ENSG00000163220	3.0551338414432223	6.551339794430016	12.130762118236865	2.7825489670894053e-28	1.2966678186636628e-25	53.48493488596688	protein_coding	S100A9	1
ENSG00000128284	1.4835353855992972	6.169534476835521	12.082398120150142	4.188240141288155e-28	1.9016758056905294e-25	53.0823632729784	protein_coding	APOL3	22
ENSG00000136048	1.3915103589981337	5.133132215123277	12.074493331982906	4.477463108569187e-28	1.982172918163579e-25	53.016623780964196	protein_coding	DRAM1	12
ENSG00000130303	1.677615946909583	8.806681771102177	12.05127458454986	5.447204511634541e-28	2.3526609144396206e-25	52.82362234798141	protein_coding	BST2	19
ENSG00000085265	1.9372388174782964	4.5699193811256515	12.033710249732584	6.317420750892154e-28	2.637616894466232e-25	52.67771696457531	protein_coding	FCN1	9
ENSG00000203747	2.795318898857319	6.4802409520348006	12.032080420420716	6.404874997856786e-28	2.637616894466232e-25	52.664182270659296	protein_coding	FCGR3A	1
ENSG00000187908	3.424501904020942	6.527052558261731	11.979072780439921	1.0012336059048218e-27	4.029510157582405e-25	52.22437443686334	protein_coding	DMBT1	10
ENSG00000240065	1.389796703500867	9.12689071655123	11.94701814925992	1.3113129751118167e-27	5.160162258506678e-25	51.958781757775014	protein_coding	PSMB9	6
ENSG00000172023	4.903822618758452	6.8620579057493964	11.933923663072862	1.463984691186888e-27	5.635704545986394e-25	51.850365862551996	protein_coding	REG1B	2
ENSG00000136514	1.0754357384959725	5.454960291118081	11.917392248277592	1.6822549974130078e-27	6.338164147699902e-25	51.71356058078899	protein_coding	RTP4	3
ENSG00000188313	0.5842338983472022	9.631427994707439	11.898002846623816	1.9798859017626108e-27	7.304129072585899e-25	51.55319930543163	protein_coding	PLSCR1	3
ENSG00000111912	1.299198104417166	7.5535894194517965	11.85772449274374	2.776291399554244e-27	1.0033177163940114e-24	51.22040507435928	protein_coding	NCOA7	6
ENSG00000164822	4.590451247652455	7.821629259286491	11.767052606022334	5.932952063690579e-27	2.1012143028766555e-24	50.472892964198195	protein_coding	DEFA6	8
ENSG00000185133	-1.1251209213980546	5.532795113127127	-11.703592030380682	1.0080931122730294e-26	3.500257418064863e-24	49.95109577698733	protein_coding	INPP5J	22
ENSG00000124256	1.2879540684899364	4.718613421556293	11.663976727377317	1.4027108342089656e-26	4.776769894648531e-24	49.62594858864249	protein_coding	ZBP1	20
ENSG00000137752	1.301182888795923	8.455951253906798	11.643237073578835	1.667242284043876e-26	5.570476672801689e-24	49.45590649167012	protein_coding	CASP1	11
ENSG00000102265	1.6078653263372003	7.7416274972366494	11.611819236212463	2.1654926972946363e-26	7.101211978461744e-24	49.198553766850026	protein_coding	TIMP1	X
ENSG00000101224	1.046866986345334	5.6565229423943935	11.607457938206593	2.245486785922352e-26	7.229650910020546e-24	49.16285191217173	protein_coding	CDC25B	20
ENSG00000175538	1.0969429134606719	7.082157209671451	11.539060266855993	3.963303240675481e-26	1.253253103319311e-23	48.60367769476804	protein_coding	KCNE3	11
ENSG00000206337	0.9454893928688666	7.743628751579056	11.535981824190433	4.065825723190801e-26	1.2631165246712757e-23	48.57854298630812	NA	NA	NA
ENSG00000196611	3.4683794892459234	6.771728112741893	11.525844741905557	4.422455276279605e-26	1.350221345385504e-23	48.49579623686277	protein_coding	MMP1	11
ENSG00000156587	1.6374673160237165	9.157648328133336	11.512330472410886	4.946777727083244e-26	1.4847040676472895e-23	48.38553000485261	protein_coding	UBE2L6	11
ENSG00000182319	-0.9676357631906001	7.950202360716338	-11.502324524155336	5.374451624560831e-26	1.5861798227953866e-23	48.30392426654724	NA	NA	NA
ENSG00000164816	4.801269668841183	8.341419734527967	11.491628940897169	5.872371821012433e-26	1.7047206591227568e-23	48.216727296462196	protein_coding	DEFA5	8
ENSG00000164111	0.9486941793048693	9.183752669190437	11.474338913396993	6.776199037881111e-26	1.9157293141731044e-23	48.07584120688253	protein_coding	ANXA5	4
