ENSG.ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Gene.type	Gene.name	Chromosome
ENSG00000133048	3.149765757207584	5.32228852367768	9.227739015785945	1.7991794847119358e-17	3.185987031527896e-13	28.945206138454523	protein_coding	CHI3L1	1
ENSG00000149968	3.244873576679428	6.080283924717131	8.644837204034005	9.057020086514718e-16	6.205367512782001e-12	25.17697679617406	protein_coding	MMP3	11
ENSG00000140105	1.2201010137345278	8.004003781696838	8.622303372599427	1.0512820498275357e-15	6.205367512782001e-12	25.033690181739367	protein_coding	WARS1	14
ENSG00000163220	2.355089272860214	6.551339794430016	8.357355951102864	5.9777449441037845e-15	2.6463476867547455e-11	23.36323123398416	protein_coding	S100A9	1
ENSG00000169248	2.163362972660871	4.845257751981988	8.143305821603805	2.385320285745325e-14	8.447850323995642e-11	22.03363774738147	protein_coding	CXCL11	4
ENSG00000143546	2.3441497419163104	6.650142444678584	8.056718834133326	4.152778290282311e-14	1.2256232994053195e-10	21.501081359201457	protein_coding	S100A8	1
ENSG00000115461	1.2275203198795568	5.649554173711165	7.916902731380975	1.0098124469647581e-13	2.3283919473946383e-10	20.647776163117328	protein_coding	IGFBP5	2
ENSG00000176971	0.506187863893405	3.9085034412672766	7.9104448285699505	1.0519051038602387e-13	2.3283919473946383e-10	20.608564672749736	protein_coding	FIBIN	11
ENSG00000131203	2.4044137843883178	7.339854705206525	7.857785960208382	1.4665688821491263e-13	2.8855557516774144e-10	20.289500577339673	protein_coding	IDO1	8
ENSG00000122861	1.316247261406052	5.764478998279376	7.777603298324511	2.426862291485149e-13	4.2974877457619015e-10	19.80599397024809	protein_coding	PLAU	10
ENSG00000115415	0.8949520104712683	7.692538428648431	7.75053371683725	2.8748259653292036e-13	4.627947108549958e-10	19.643403813511924	protein_coding	STAT1	2
ENSG00000163347	0.7209178221361454	4.1802148677336195	7.711190110131296	3.6751885724354507e-13	5.370703973785335e-10	19.40767413035705	protein_coding	CLDN1	3
ENSG00000124875	2.089079193467257	5.21253639471506	7.699910391462869	3.942802781748891e-13	5.370703973785335e-10	19.34021905915374	protein_coding	CXCL6	4
ENSG00000182871	0.9868033718454106	5.433426480678345	7.628041126778823	6.161805188169801e-13	7.793803305150775e-10	18.911777419434813	protein_coding	COL18A1	21
ENSG00000163739	1.9733932065777307	7.349239283639338	7.57338711767713	8.639207137975862e-13	1.0198871999951771e-9	18.587541530973624	protein_coding	CXCL1	4
ENSG00000168394	0.7351859457380368	9.320006090420035	7.557268840577476	9.542065970155569e-13	1.0310774604152597e-9	18.49218250535479	protein_coding	TAP1	6
ENSG00000162174	0.7200593926634786	6.7433385771341765	7.551316566940883	9.89852994525605e-13	1.0310774604152597e-9	18.456998074002385	protein_coding	ASRGL1	11
ENSG00000128203	0.6968472064613884	5.964338744418856	7.532528131072653	1.1112234156966754e-12	1.0931969025087072e-9	18.34604591381028	protein_coding	ASPHD2	22
ENSG00000102265	1.272784746046021	7.7416274972366494	7.508367648892861	1.2891057141059446e-12	1.2014465255467403e-9	18.20361184288025	protein_coding	TIMP1	X
ENSG00000154451	1.4958945703330597	5.0133527154663176	7.4733908771455395	1.5974747652460047e-12	1.3515401997001815e-9	17.997896778977704	protein_coding	GBP5	1
ENSG00000164932	1.298684394879841	4.734680658207825	7.465366211952205	1.6779104236437082e-12	1.3515401997001815e-9	17.95078110875611	protein_coding	CTHRC1	8
ENSG00000128595	0.571612906990695	7.777223785467506	7.465248309154313	1.6791215492096224e-12	1.3515401997001815e-9	17.950089085977112	protein_coding	CALU	7
ENSG00000100342	1.1794197375441309	6.527928584124217	7.449174188470997	1.852581141974537e-12	1.426326385308048e-9	17.85580460967175	protein_coding	APOL1	22
ENSG00000111802	-0.6305543933894064	10.149149650484055	-7.404369805007663	2.435013863628556e-12	1.7966343957139361e-9	17.593647081615266	protein_coding	TDP2	6
ENSG00000203747	1.711572575935743	6.4802409520348006	7.379919632369808	2.825621940676702e-12	1.9455825410994198e-9	17.450989401907883	protein_coding	FCGR3A	1
ENSG00000136048	0.9524597955703706	5.133132215123277	7.378124307717642	2.856626726258466e-12	1.9455825410994198e-9	17.440525647572365	protein_coding	DRAM1	12
ENSG00000169429	2.0782901658755426	5.124786778446158	7.367597007761544	3.0453043532488638e-12	1.997268499530773e-9	17.379200192336768	protein_coding	CXCL8	4
ENSG00000137145	-0.4057305554837507	8.13943482431638	-7.360544004997113	3.178539854888483e-12	2.0101994196559022e-9	17.33814365696822	protein_coding	DENND4C	9
ENSG00000196611	2.6271497286966525	6.771728112741893	7.352700775128059	3.3334655127239682e-12	2.0354830103212423e-9	17.292515261106516	protein_coding	MMP1	11
ENSG00000137573	0.9524803600082699	5.200144272960295	7.32266910381464	3.998663766317635e-12	2.3602779324650893e-9	17.11807945220543	protein_coding	SULF1	8
ENSG00000166923	1.797529377479477	6.516027084027572	7.293211775709249	4.777901193706347e-12	2.7292604625210324e-9	16.947405169067743	protein_coding	GREM1	15
ENSG00000185201	0.9116279286931608	8.861270181400892	7.2746473539850145	5.344067809968633e-12	2.9572735243413925e-9	16.840061403663846	protein_coding	IFITM2	11
ENSG00000128284	0.9016949366681128	6.169534476835521	7.242971086885363	6.466762983675166e-12	3.4701042095430255e-9	16.6572922977982	protein_coding	APOL3	22
ENSG00000142089	0.8945945393354293	10.148260662141858	7.210063753562302	7.87938353437884e-12	3.990626429440538e-9	16.467944151553773	protein_coding	IFITM3	11
ENSG00000125538	1.9454322265052548	6.719115681240269	7.209891948920715	7.887504237091645e-12	3.990626429440538e-9	16.466956998303523	protein_coding	IL1B	2
ENSG00000156587	0.9466918747815924	9.157648328133336	7.180103269923126	9.427798124098232e-12	4.637429143931431e-9	16.29601940966041	protein_coding	UBE2L6	11
ENSG00000168461	0.9126150422876318	7.124047352004321	7.158947506043573	1.069824557392678e-11	5.120122503326903e-9	16.174889241798496	protein_coding	RAB31	18
ENSG00000126709	1.047128290231119	7.106678454539515	7.129429146625375	1.2757156306101835e-11	5.944834838643455e-9	16.006252888380118	protein_coding	IFI6	1
ENSG00000249992	1.178468161593746	6.060831446960038	7.0949844451364426	1.565709027092571e-11	6.852467056307097e-9	15.810027947943079	protein_coding	TMEM158	3
ENSG00000152766	0.9751150373909567	8.468791476880439	7.093169905041675	1.5826688789397848e-11	6.852467056307097e-9	15.799707506971858	protein_coding	ANKRD22	10
ENSG00000154096	1.0330722792716358	5.388509589234377	7.091766721779149	1.5959079544922832e-11	6.852467056307097e-9	15.791727858640384	protein_coding	THY1	11
ENSG00000182240	0.8338862674630914	8.068658666983842	7.088694728016404	1.625274544640265e-11	6.852467056307097e-9	15.77426147677364	protein_coding	BACE2	21
ENSG00000061918	0.7810865344976703	4.903374004432248	7.08025857476874	1.708686859671128e-11	6.907417177404772e-9	15.726320842158371	protein_coding	GUCY1B1	4
ENSG00000162654	1.0330365847632619	4.750703264140725	7.079506727961209	1.7163223164999434e-11	6.907417177404772e-9	15.722050032888871	protein_coding	GBP4	1
ENSG00000175538	0.7805142090307235	7.082157209671451	7.0661459763779035	1.857754831754228e-11	7.137452126225842e-9	15.646203278277985	protein_coding	KCNE3	11
ENSG00000163734	1.7503856261497797	5.791090033575363	7.061804946394911	1.9061337344638608e-11	7.137452126225842e-9	15.62157955679893	protein_coding	CXCL3	4
ENSG00000157227	0.5776647696789006	6.18913651438302	7.059368470957605	1.9338289653895547e-11	7.137452126225842e-9	15.607763295645244	protein_coding	MMP14	14
ENSG00000143774	0.2695371001292628	9.584120563791153	7.059291895079654	1.9347057943236977e-11	7.137452126225842e-9	15.607329114106422	protein_coding	GUK1	1
