ENSG.ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Gene.type	Gene.name	Chromosome
ENSG00000087916	3.94877236983088	4.920492587467466	21.19807119864732	1.1387641659853003e-63	2.01652358512677e-59	134.17334253657302	NA	NA	NA
ENSG00000163739	4.1644227264861895	7.349239283639338	19.2492310432985	5.51314134802179e-56	4.881335349538493e-52	116.65300940779926	protein_coding	CXCL1	4
ENSG00000163359	2.1216738199364347	8.14104168326037	19.083723167089044	2.495533230964091e-55	1.1173943277649132e-51	115.157498761919	protein_coding	COL6A3	2
ENSG00000133048	4.875580809055388	5.32228852367768	19.08247827885111	2.5240441106051798e-55	1.1173943277649132e-51	115.14624717762162	protein_coding	CHI3L1	1
ENSG00000163430	1.663971225708334	6.244811064188632	18.853930011027284	2.0328777012533086e-54	7.199639666758718e-51	113.07992117055268	protein_coding	FSTL1	3
ENSG00000050730	2.757196908740053	4.368972477375934	18.246586690578717	5.218174990501869e-52	1.5400573788634517e-48	107.58431129131314	protein_coding	TNIP3	4
ENSG00000196352	2.5834426531577126	9.11663085929247	18.21233409759909	7.135828114067333e-52	1.8051606320557762e-48	107.27425795931403	protein_coding	CD55	1
ENSG00000153395	2.2739507275583906	6.9623065074338175	17.903378107941485	1.200853863181195e-50	2.658090026151575e-47	104.47749907872105	protein_coding	LPCAT1	5
ENSG00000102265	2.3758594276322293	7.7416274972366494	17.830202848431977	2.3434364017642556e-50	4.610841311382383e-47	103.81512417046274	protein_coding	TIMP1	X
ENSG00000187498	1.8864257735211822	6.830746066087584	17.626381427883224	1.5083899474481302e-49	2.671056918941149e-46	101.97037164902046	protein_coding	COL4A1	13
ENSG00000140274	1.838139923995957	4.07482282358402	17.511342383925626	4.313467707870832e-49	6.9438987428160634e-46	100.92938629074084	protein_coding	DUOXA2	15
ENSG00000143387	2.2150617275798776	8.888320325122246	17.456676764110625	7.10606175411338e-49	1.0380868267480172e-45	100.43478997065742	protein_coding	CTSK	1
ENSG00000143248	2.4795219535658246	7.239979265793283	17.44901648558743	7.620922039600306e-49	1.0380868267480172e-45	100.36548643581291	protein_coding	RGS5	1
ENSG00000143546	4.5531029029028405	6.650142444678584	17.34138830010358	2.035993532255123e-48	2.5752409620838373e-45	99.39187814459748	protein_coding	S100A8	1
ENSG00000140279	4.848550615960199	6.441866007274543	17.306750340299264	2.79318677386387e-48	3.295382715887307e-45	99.07859265120996	protein_coding	DUOX2	15
ENSG00000135046	2.0208940396348423	8.312046551368336	17.299748813948312	2.9775312544723806e-48	3.295382715887307e-45	99.01527007619418	protein_coding	ANXA1	9
ENSG00000163220	4.190486916418067	6.551339794430016	17.290489189247207	3.240139756253302e-48	3.37508204727844e-45	98.9315267192608	protein_coding	S100A9	1
ENSG00000157110	1.1607025583921224	5.067699646577259	17.281046995426955	3.531782726843993e-48	3.4744893626085245e-45	98.84613424817947	protein_coding	RBPMS	8
ENSG00000184232	-1.5954810654890972	8.589941594452071	-17.14311511259333	1.243546621611376e-47	1.1589854513418022e-44	97.5989686090811	protein_coding	OAF	11
ENSG00000249992	2.3350168656104353	6.060831446960038	16.95150255290736	7.139700880362052e-47	6.321491159472561e-44	95.86732204002065	protein_coding	TMEM158	3
ENSG00000149968	4.953185604707498	6.080283924717131	16.86565938316625	1.5615194206607648e-46	1.3167326619552771e-43	95.0919295155399	protein_coding	MMP3	11
ENSG00000173706	1.0255140185584821	5.123712195575648	16.86022431984831	1.6408229243921929e-46	1.320713288415316e-43	95.04284536283336	protein_coding	HEG1	3
ENSG00000166670	3.376864863968549	4.492727596261173	16.79064758562608	3.093373725927333e-46	2.3816287799444006e-43	94.41459556573899	protein_coding	MMP10	11
ENSG00000125810	1.247287974594018	6.022917091228617	16.730038427805372	5.373311249554075e-46	3.964608150295982e-43	93.86747504189164	protein_coding	CD93	20
