ENSG.ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene.type	Gene.name	Chromosome
ENSG00000000003	2308.134994886319	0.28904692153105227	0.1152571195462552	2.507844397543281	0.012147014466355239	0.030491485293095803	protein_coding	TSPAN6	X
ENSG00000000005	2.577869244432608	-3.8275803144011222	1.0679539902559738	-3.584031099957503	3.38331774227642e-4	0.00137630393287806	protein_coding	TNMD	X
ENSG00000000419	239.57796003095368	0.450735875977029	0.08768289309358512	5.140522399231885	2.739756587014793e-7	2.4912922057883384e-6	protein_coding	DPM1	20
ENSG00000000457	194.31873678558512	0.4731691723441818	0.14329251505088467	3.3021206458422094	9.595678772530924e-4	0.0034123851702006353	protein_coding	SCYL3	1
ENSG00000000460	38.21039410349341	0.3569491808241764	0.232123391841252	1.5377561821442458	0.12410824101389924	0.21058930996808747	protein_coding	C1orf112	1
ENSG00000000938	51.07868514303951	0.4522554466890951	0.19912970725419984	2.271160104261925	0.02313728758813121	0.052671816177953974	protein_coding	FGR	1
ENSG00000000971	27288.652726724184	-0.5634669968799039	0.18070842407262688	-3.1181003308038697	0.0018202082844004583	0.0059757571488477145	protein_coding	CFH	1
ENSG00000001036	794.7266919932915	0.04071726335152219	0.11232897106280446	0.3624822961189299	0.7169916509586576	0.7990653252107379	protein_coding	FUCA2	6
ENSG00000001084	1521.2285847821906	0.0839910957806987	0.09454179187185638	0.8884017757410577	0.37432467053305535	0.49879046110901476	protein_coding	GCLC	6
ENSG00000001167	116.71513096986813	-0.005191730382325915	0.14134928227137783	-0.03672979656421787	0.9707004504441239	0.9808427514806836	protein_coding	NFYA	6
ENSG00000001460	21.8912240789064	0.30084994096134043	0.17578083589933943	1.711505918276675	0.08698775959707039	0.15731018747335523	protein_coding	STPG1	1
ENSG00000001461	128.88565707661957	0.1946112991857732	0.11607042083140022	1.6766657499110704	0.09360786168270697	0.1671146477956236	protein_coding	NIPAL3	1
ENSG00000001497	328.8606681221266	-0.1790392288523998	0.10298396331689527	-1.7385156201599314	0.08212000018643695	0.15000561875116863	protein_coding	LAS1L	X
ENSG00000001561	109.76412355867964	0.3438906360049749	0.18434263962159358	1.8654969718937024	0.06211177625025849	0.11952840502981664	protein_coding	ENPP4	6
ENSG00000001617	91.53371709433642	0.28676714377891255	0.1826424925886636	1.5701009097852832	0.11639163697406615	0.19970380647035757	protein_coding	SEMA3F	3
ENSG00000001626	55.46797656810954	1.6098533048851902	0.3645655096730025	4.415813515461598	1.0063081218132182e-5	6.137260699006958e-5	protein_coding	CFTR	7
ENSG00000001629	200.44858400749737	-0.11110189481683724	0.11169987607507498	-0.9946465360638733	0.31990820570277445	0.4431084774769023	protein_coding	ANKIB1	7
ENSG00000001630	84.95329662803863	-0.8651228707178386	0.4107576734033916	-2.1061636257449288	0.03519014157897435	0.07486353926285308	protein_coding	CYP51A1	7
ENSG00000001631	134.08626535489816	-0.14517871275313435	0.16367030462572363	-0.8870192615888673	0.37506853036414434	0.4996262590738639	protein_coding	KRIT1	7
ENSG00000002016	29.01263770011413	0.13431302473592757	0.31390472375438827	0.42787831648248625	0.6687397145751817	0.7614049619099705	protein_coding	RAD52	12
ENSG00000002330	436.098431198873	0.3849842450894051	0.21120991680675474	1.822756482791687	0.06834028137940346	0.12917389300762988	protein_coding	BAD	11
ENSG00000002549	1770.3272946020938	0.14269244819608207	0.11217828883975903	1.2720148405892602	0.20336784640805583	0.31199334563201025	protein_coding	LAP3	4
