Gene.name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ENSG.ID	Gene.type	Chromosome
A1BG	0.5982810218108143	0.08211369184186273	0.6677135254901087	0.12297742775480014	0.9021249723148785	NA	ENSG00000121410	protein_coding	19
A1CF	633.3091910376631	0.04327475254015133	0.17267348632842108	0.25061608160180265	0.802110947127476	0.9680371494779264	ENSG00000148584	protein_coding	10
A2M	122.30332040922521	0.05812524342465652	0.122026554838853	0.476332741684104	0.633837342880917	0.9305158233285733	ENSG00000175899	protein_coding	12
A2ML1	0.296749521137473	-0.6323528226239563	0.9379341534365017	-0.6741974586457649	0.5001857851244722	NA	ENSG00000166535	protein_coding	12
A4GALT	9.891783811460876	-0.20862012766227486	0.2219006642520868	-0.9401509831681947	0.34714012047582515	0.8258012843755358	ENSG00000128274	protein_coding	22
A4GNT	0.11676892482664937	-0.4283319092181541	2.6276408755459975	-0.1630100647331234	0.8705105101579325	NA	ENSG00000118017	protein_coding	3
AAAS	16.45265672711092	-0.13161446622755324	0.1384594389184893	-0.9505633364947718	0.3418260877356411	0.8227235207383585	ENSG00000094914	protein_coding	12
AACS	88.26019231049231	0.12926377819346743	0.08748712804117391	1.4775176770305256	0.1395369233994982	0.6779979769177158	ENSG00000081760	protein_coding	12
AADAC	310.21712673590946	0.07230063029571161	0.32292152328723706	0.22389535872280822	0.82283872726558	0.9720457222311358	ENSG00000114771	protein_coding	3
AADACL2	0.18841417635606228	0.08076812980702154	0.9835304936280477	0.08212061581241271	0.9345507994443937	NA	ENSG00000197953	protein_coding	3
AADAT	1.649667797882385	0.09198623596562837	0.3935675614310165	0.23372413018787747	0.8151991533489649	NA	ENSG00000109576	protein_coding	4
AAGAB	295.4116465012587	0.18122615256809158	0.12365023931480738	1.4656352755347184	0.14274767573127103	0.6842242650386491	ENSG00000103591	protein_coding	15
AAK1	117.25718504798854	-0.12996694184476193	0.12592868314006456	-1.0320678228661044	0.3020403462767766	0.8016089274860304	ENSG00000115977	protein_coding	2
AAMDC	44.03505966224929	-0.16025030869926304	0.20636247148944734	-0.7765477295490605	0.4374256506107717	0.8687635367124584	ENSG00000087884	protein_coding	11
AAMP	515.2989667709898	0.18204356632094346	0.16685406082975981	1.0910346767447356	0.27525762436808027	0.7879095642120584	ENSG00000127837	protein_coding	2
AANAT	0.18237713219368365	-0.008069130166276922	1.0006082076560894	-0.008064225442622289	0.9935657487629906	NA	ENSG00000129673	protein_coding	17
AAR2	95.98005235884382	0.03317747138784775	0.1059405877046959	0.3131705431003299	0.7541510967845328	0.957462328638462	ENSG00000131043	protein_coding	20
AARD	3.0755614408352145	-0.0661414221459519	0.31046052934602036	-0.2130429342669667	0.831293474592755	0.9734486494922056	ENSG00000205002	protein_coding	8
AARS2	30.282091952924176	-0.049127861486441875	0.12244232220678956	-0.401232683283082	0.6882488199169748	0.9436908613588759	ENSG00000124608	protein_coding	6
AARSD1	3.57090990908995	-0.9612095522901063	0.3098836744429641	-3.101839921118602	0.0019232192728597755	0.25285218916668084	ENSG00000266967	protein_coding	17
AASDH	38.48437359437738	-0.10657609598285454	0.1247955649851728	-0.8540054768414009	0.39310195479336757	0.8473506793958631	ENSG00000157426	protein_coding	4
AASDHPPT	44.5029433625662	-0.04067764292427971	0.09566931218775258	-0.4251900844070999	0.6706981118963298	0.9402725572525805	ENSG00000149313	protein_coding	11
AASS	9.12171832203441	-0.1945470689371248	0.20564685818916953	-0.9460249996047385	0.3441358353656411	0.8245216974606467	ENSG00000008311	protein_coding	7
AATK	14.665125475865626	-0.10396615000438271	0.36337011959832866	-0.286116398671711	0.7747889720196378	0.9628203683149854	ENSG00000181409	protein_coding	17
ABAT	36.602526021318	-0.00427908370460995	0.13993731532023013	-0.030578575091409814	0.9756056287588851	0.9951226887428405	ENSG00000183044	protein_coding	16
ABCA1	88.71173943666302	0.049271626565680966	0.1436519000775232	0.34299321163932417	0.7316035670666132	0.9514353343804648	ENSG00000165029	protein_coding	9
ABCA10	12.295472373736018	-0.4330617230775876	0.21842509192844609	-1.982655560559198	0.04740591667092527	0.5345381423508203	ENSG00000154263	protein_coding	17
ABCA12	1.078519502630833	1.55505114080205	0.6950851596087227	2.2372095264951697	0.02527264902146149	NA	ENSG00000144452	protein_coding	2
ABCA13	2.821779732837507	-0.21624405807522037	0.441105090748525	-0.4902325151320949	0.6239693747486286	0.9290451002419403	ENSG00000179869	protein_coding	7
ABCA2	6.700899926220636	0.07514931769973698	0.22281696499046083	0.3372692815511344	0.7359139142570991	0.9517602541511515	ENSG00000107331	protein_coding	9
ABCA3	8.725087778530167	-0.5071226651531193	0.22762671361739434	-2.227869730639414	0.025889203203957725	0.4584367554888069	ENSG00000167972	protein_coding	16
ABCA4	22.579867687975703	-0.2226306521142279	0.2775584812591975	-0.802103582294517	0.4224930429686184	0.8635252995594388	ENSG00000198691	protein_coding	1
ABCA5	228.5584797398988	-0.17064885533291985	0.1434234409669552	-1.1898254161412665	0.23411501778830857	0.753539914342331	ENSG00000154265	protein_coding	17
ABCA6	17.721633808191246	-0.34387909091764784	0.16206816075516148	-2.1218176927246715	0.033853050300978446	0.49563848197014876	ENSG00000154262	protein_coding	17
ABCA7	15.51951523474196	-0.5540932447568705	0.2341157863923191	-2.3667487498188176	0.017945110564003244	0.42959610001363024	ENSG00000064687	protein_coding	19
ABCA8	19.39855785381913	-0.12321743587026808	0.22786766025081623	-0.5407412167862758	0.5886859649824452	0.9207981600606064	ENSG00000141338	protein_coding	17
ABCA9	8.430916582203302	-0.5545711971524694	0.2463604803267077	-2.2510558366221405	0.024382001097874535	0.44774720956891406	ENSG00000154258	protein_coding	17
ABCB1	946.3923962391061	0.04467157998735999	0.20136046958945586	0.2218488071588168	0.824431583393465	0.9721681800169951	ENSG00000085563	protein_coding	7
ABCB10	25.669485090008575	0.12792967283791284	0.19147171428847662	0.6681387551853766	0.5040450253052251	0.8938693710943326	ENSG00000135776	protein_coding	1
ABCB11	0.19068657159308572	0.26810484160819104	1.041070200294236	0.2575281105274332	0.7967711178255849	NA	ENSG00000073734	protein_coding	2
ABCB4	28.069909671764705	-0.4635622016990554	0.23908094328704496	-1.9389341338782242	0.052509358943674075	0.5482221194567745	ENSG00000005471	protein_coding	7
ABCB5	0.4901867013439005	-0.747867656068689	0.7994996255010708	-0.9354196452562158	0.34957207655962425	NA	ENSG00000004846	protein_coding	7
ABCB6	0.17135360033929337	-0.4131814340818172	1.2984688881700468	-0.3182066492668303	0.7503281893237709	NA	ENSG00000115657	protein_coding	2
ABCB7	124.83966039971844	-0.18573232233764314	0.06290760714205355	-2.9524620435527837	0.0031525082462351603	0.30399289550770503	ENSG00000131269	protein_coding	X
ABCB8	20.958687866364098	-0.21602193356899088	0.12613693376228163	-1.7125985793828398	0.08678641483482913	0.6142090567874212	ENSG00000197150	protein_coding	7
ABCB9	38.258126971155846	0.16165477601658607	0.1484315569827313	1.0890863055178568	0.2761158283172408	0.789317771936647	ENSG00000150967	protein_coding	12
ABCC1	21.93498963114701	-0.08614604671350024	0.23460539906546624	-0.3671954995778308	0.7134731960353508	0.9467345099300678	ENSG00000103222	protein_coding	16
ABCC10	9.675388721546506	0.09734094387581407	0.19769358017423153	0.49238292811544737	0.6224486655995645	0.9290393049371847	ENSG00000124574	protein_coding	6
ABCC11	1.5648185250548305	0.0959424335284928	0.5133771949689963	0.18688487620547098	0.8517508973264528	NA	ENSG00000121270	protein_coding	16
ABCC12	0.22479806953375844	-0.42879537906273474	4.493062361332046	-0.0954349939037149	0.923969321798896	NA	ENSG00000140798	protein_coding	16
ABCC2	42.59332518721859	-0.1939225921154144	0.2923685386206856	-0.6632813264733882	0.5071503938334986	0.8945169383482521	ENSG00000023839	protein_coding	10
ABCC3	167.9331677470034	0.213657613768468	0.13356307149984956	1.5996758038670043	0.10967052226542828	0.6489840621903444	ENSG00000108846	protein_coding	17
ABCC4	57.77466036419897	0.03074193741803929	0.10974986411703908	0.2801091159917572	0.7793937910053863	0.9639025454121841	ENSG00000125257	protein_coding	13
ABCC5	71.95492831096374	-0.09241769463951753	0.13146721242575662	-0.7029714324528521	0.4820735528057788	0.8876858085959232	ENSG00000114770	protein_coding	3
ABCC6	27.627253871830032	-0.25384284233564064	0.1477123070939834	-1.718494872428813	0.08570638892234728	0.6107666351590683	ENSG00000091262	protein_coding	16
ABCC8	2.6079144700301433	0.4634038059427841	0.39582665235062264	1.1707241116555782	0.24170969012902152	0.76188313252246	ENSG00000006071	protein_coding	11
ABCC9	9.532856192169271	0.27770698548471234	0.1821189232296054	1.52486617293797	0.12729248065090254	0.664006030005755	ENSG00000069431	protein_coding	12
ABCD1	15.42423937423501	0.05615674522111359	0.18568248991202316	0.30243425348141767	0.7623210460390814	0.9589869212038036	ENSG00000101986	protein_coding	X
ABCD2	6.482218036275723	-0.17739098117801566	0.21597598355448866	-0.8213458656770586	0.41144928931168107	0.8575002439239672	ENSG00000173208	protein_coding	12
ABCD3	266.59145509155803	0.11403236628520134	0.1415025159910288	0.8058681182208163	0.4203188959580816	0.861969970961234	ENSG00000117528	protein_coding	1
ABCD4	56.79782304270328	0.17726729014046752	0.22389423112635481	0.7917456794160392	0.4285089815293833	0.8656753920988693	ENSG00000119688	protein_coding	14
