ENSG.ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene.type	Gene.name	Chromosome
ENSG00000000003	481.33415301379654	0.42510833233439693	0.4721346643119707	0.9003963582167728	0.3679093581660027	0.5974255676720385	protein_coding	TSPAN6	X
ENSG00000000005	75.13699828324503	-2.42688841702492	2.4195337517439506	-1.0030397035278669	0.315841705090055	0.5523791639227622	protein_coding	TNMD	X
ENSG00000000419	525.2308535943029	-0.38094660135172853	0.3429103273665365	-1.110921926082836	0.26660195674648357	0.5024602288930426	protein_coding	DPM1	20
ENSG00000000457	211.12825280337134	0.5887482212301669	0.35806863316032295	1.6442328836063076	0.100128106906092	0.3045171747855032	protein_coding	SCYL3	1
ENSG00000000460	80.22606060908552	0.7701404946305271	0.3944026758402867	1.952675632815421	0.05085804282128155	0.21864789721116537	protein_coding	C1orf112	1
ENSG00000000938	1568.0815022708068	0.43547178034406847	0.7322419093873124	0.5947102655028856	0.5520371587309197	0.7436543582504117	protein_coding	FGR	1
ENSG00000000971	1971.6615160727167	-0.02085444607514758	0.615894337224163	-0.033860428347399024	0.9729884486840952	0.9872665411780609	protein_coding	CFH	1
ENSG00000001036	884.6442583260098	-0.4315289660584717	0.42857198256580736	-1.006899619230733	0.31398301499808073	0.5507432288114857	protein_coding	FUCA2	6
ENSG00000001084	1051.60491627374	3.092538949866815	0.7170986265410583	4.312571291321179	1.613668253271752e-5	0.0021591045888801888	protein_coding	GCLC	6
ENSG00000001167	499.1080053445251	0.9770854509005275	0.2709029998403695	3.6067723557003	3.1002942451336334e-4	0.013975245581399827	protein_coding	NFYA	6
ENSG00000001460	148.61726054038408	-0.30311707476342337	0.3784335979100053	-0.8009782335328143	0.42314424699126846	0.6444839777366169	protein_coding	STPG1	1
ENSG00000001461	750.1008673284325	-0.6718716612750558	0.3658251449931968	-1.8365923460169764	0.0662700980933879	0.24896926312922707	protein_coding	NIPAL3	1
ENSG00000001497	648.9880351000655	-0.2034184639954597	0.3164232618198936	-0.642868235494154	0.5203096021418788	0.7200590668163995	protein_coding	LAS1L	X
ENSG00000001561	598.3529451782981	-0.7041648505520699	0.5397355774799176	-1.3046478311470404	0.19201279319312226	0.4241522491146927	protein_coding	ENPP4	6
ENSG00000001617	840.1480212400569	-0.26922420323053997	0.4925964844393929	-0.5465410568996139	0.5846940735265505	0.7661438032494147	protein_coding	SEMA3F	3
ENSG00000001626	280.32764602713524	-0.7748038975714828	1.3323114441250083	-0.5815486318818893	0.5608707518663503	0.7500681013612971	protein_coding	CFTR	7
ENSG00000001629	811.5163125771262	0.09247254628472615	0.27838490620044726	0.33217514392875364	0.7397570114422738	0.8651720439068921	protein_coding	ANKIB1	7
ENSG00000001630	77.73347143760512	-0.6824029635444404	0.49161722144556486	-1.3880778251377848	0.16511334814503964	0.3932162690795191	protein_coding	CYP51A1	7
ENSG00000001631	472.3579206136272	0.11949865381811019	0.3436680137400666	0.347715379495553	0.7280539454176612	0.8574787765873796	protein_coding	KRIT1	7
ENSG00000002016	102.98640447806251	0.8457412463539601	0.37993148545219446	2.2260362163650607	0.02601175566621631	0.1553837706183574	protein_coding	RAD52	12
ENSG00000002330	470.0410738588188	-1.3346020954242659	0.44399030862716604	-3.005926186882104	0.0026477326233526263	0.0470120433631839	protein_coding	BAD	11
ENSG00000002549	2522.1112017426135	-0.1738503500691251	0.4325252718611218	-0.4019426409954288	0.6877262401100319	0.8335614190656868	protein_coding	LAP3	4
ENSG00000002586	4175.0015358480605	-1.184369166039316	0.4265880013517714	-2.776377118639739	0.0054968409165536865	0.06946580491205631	protein_coding	CD99	X
ENSG00000002587	220.63148620793876	0.4144538812741551	0.5490954734094562	0.7547938406789598	0.4503726901319592	0.6676781592447306	protein_coding	HS3ST1	4
ENSG00000002726	226.96251419553892	5.395531323720733	1.0022638636584829	5.383344166501085	7.311454787902807e-8	4.8350346297193886e-5	protein_coding	AOC1	7
ENSG00000002745	10.81420100284421	0.9762140226772933	1.2050040344652773	0.8101334059935243	0.41786350641948194	0.6396760348586246	protein_coding	WNT16	7
ENSG00000002746	28.844337458506306	2.969137310944958	0.8647617114134124	3.4334745303328043	5.958981859349519e-4	0.02016442571115369	protein_coding	HECW1	7
ENSG00000002822	630.0502311040716	-0.4603438963237283	0.44527031721831156	-1.033852647532367	0.30120505483526516	0.5369521149517252	protein_coding	MAD1L1	7
ENSG00000002834	3674.077779224152	0.010593167279837095	0.26449598696207305	0.0400503894274815	0.9680529535397208	0.985145079805168	protein_coding	LASP1	17
ENSG00000002919	458.0981238820289	-0.43384681132985564	0.4112024330708319	-1.0550686874343547	0.29139391160823286	0.5272028514609111	protein_coding	SNX11	17
ENSG00000002933	1235.7173149581674	0.3038842809583544	0.36022784301629635	0.8435890974274495	0.3988990587621195	0.6242467965172804	protein_coding	TMEM176A	7
ENSG00000003056	1200.3036191013289	-0.22009388890698323	0.29847737483407344	-0.7373888524359196	0.4608859126080225	0.6759161759392344	protein_coding	M6PR	12
ENSG00000003096	91.10515786387968	-0.7736557235483327	1.0254953149544428	-0.7544215095538511	0.4505961598360739	0.6678847166507115	protein_coding	KLHL13	X
ENSG00000003137	202.3188991754478	-0.12834603404138356	0.7823704516164524	-0.16404765003101582	0.8696936325935276	0.9363843333487887	protein_coding	CYP26B1	2
ENSG00000003147	351.1586254757307	0.9616063372245047	0.43853272383641934	2.19278125657779	0.028323143006246873	0.1627820349197511	protein_coding	ICA1	7
ENSG00000003249	187.28475545695167	0.0813756132937587	0.9009472239363607	0.09032228651331828	0.928031110456248	0.966309504656492	protein_coding	DBNDD1	16
ENSG00000003393	417.2993231543377	0.4686315484412082	0.30437795430447984	1.539636960607271	0.12364887085763002	0.3377451971920995	protein_coding	ALS2	2
ENSG00000003400	495.24615019025686	0.024660242383999924	0.39741697488108096	0.06205130616622253	0.9505219742742698	0.9768027071342836	protein_coding	CASP10	2
ENSG00000003402	4367.613554403032	0.0475579595449005	0.34743392187881156	0.13688346632281115	0.8911229077752207	0.9471002332889631	protein_coding	CFLAR	2
ENSG00000003436	1592.653863283206	-0.6211333153076665	0.6383271243512929	-0.9730642669131445	0.33052136214135125	0.5646898016640945	protein_coding	TFPI	2
ENSG00000003509	154.7494098481103	0.3788135601592912	0.293914985035953	1.288854190652964	0.19744878232704918	0.4303796709458597	protein_coding	NDUFAF7	2
ENSG00000003756	929.0050315949669	0.7795942830900561	0.27793492158755867	2.8049526077436733	0.005032397847974703	0.06616767371258059	protein_coding	RBM5	3
ENSG00000003987	41.103068725183704	1.3682327753354984	0.6788362637611329	2.0155563990567074	0.04384638292336113	0.20294235654167764	protein_coding	MTMR7	8
ENSG00000003989	3885.7058829721855	4.371523622008805	1.0768663157692386	4.059485897175725	4.918087802821316e-5	0.0042992284209663004	protein_coding	SLC7A2	8
ENSG00000004059	1542.33936449527	-0.871080890954021	0.3641178244112881	-2.392304997324422	0.01674292254102159	0.1244010520528487	protein_coding	ARF5	7
ENSG00000004139	114.77899446312085	0.4994208298380861	0.39774652751844375	1.2556258704607488	0.2092516471700026	0.44283742543417054	protein_coding	SARM1	17
ENSG00000004142	1524.6696963553266	0.16746211923402932	0.45082254398184585	0.37145906181828575	0.7102956421236071	0.8476602571981401	protein_coding	POLDIP2	17
ENSG00000004399	3916.48408915191	-0.05473607675622729	0.4033630244682846	-0.13569929179398804	0.8920590076088885	0.9477110583165119	protein_coding	PLXND1	3
ENSG00000004455	1798.0798436279056	-0.43736913585313403	0.26736188795649485	-1.6358694172757442	0.10186691983927301	0.3068175000327248	protein_coding	AK2	1
ENSG00000004468	398.5294035309923	0.4679056227049786	0.66096193352761	0.7079161430791128	0.4789973342174429	0.6896730586281125	protein_coding	CD38	4
ENSG00000004478	1414.5034053554446	0.27946891087887965	0.4353288557069068	0.641971941935862	0.520891401029351	0.7206188695355461	protein_coding	FKBP4	12
ENSG00000004487	1004.8799341433566	0.013436024172999814	0.29075548609241225	0.04621073312690436	0.9631422878167285	0.9825497529075236	protein_coding	KDM1A	1
ENSG00000004534	1151.9269930515686	0.6427816378768051	0.2944040411705629	2.18333157154052	0.02901140116251285	0.1647875233889754	protein_coding	RBM6	3
ENSG00000004660	230.7218170428526	0.6275227927455447	0.46069815943745684	1.3621126542198299	0.17316233536920972	0.4034968440583459	protein_coding	CAMKK1	17
ENSG00000004700	459.7722637159221	-0.16862510812224388	0.27840861418970486	-0.6056748948412365	0.5447306580717772	0.7376030400476357	protein_coding	RECQL	12
ENSG00000004766	333.02538062499474	-0.04449654574205802	0.3132238197571864	-0.1420599039260555	0.8870326889324225	0.9450510772802266	protein_coding	VPS50	7
ENSG00000004776	1249.1869774951024	-2.463416521866239	1.0816118825304768	-2.277542029311819	0.02275387778324119	0.14472967374860543	protein_coding	HSPB6	19
ENSG00000004777	124.89193648843036	0.8940050576539784	0.4573941068611453	1.9545618193226493	0.05063481154439054	0.21818894721518928	protein_coding	ARHGAP33	19
ENSG00000004779	820.5586129912599	-0.9832701296151848	0.49959285997811476	-1.9681428786997839	0.04905160042794444	0.21483912692567442	protein_coding	NDUFAB1	16
