Gene.name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ENSG.ID	Gene.type	Chromosome
A1BG	895.4132981429897	0.3116499103816317	0.0827384574123903	3.7666874646730033	1.6542787813273826e-4	5.424245679339215e-4	ENSG00000121410	protein_coding	19
A1CF	2.0795210320227278	0.18771335587641155	0.14460351247023992	1.2981244554142062	0.19424457196398412	0.2942628112500763	ENSG00000148584	protein_coding	10
A2M	85765.06036521656	0.4245050246968791	0.09490519622390275	4.472937642901829	7.715228165575917e-6	3.1786603911106775e-5	ENSG00000175899	protein_coding	12
A2ML1	17.147291281863044	0.058666769280782544	0.11143781205600391	0.5264529893255542	0.5985735068994585	0.7141896467093694	ENSG00000166535	protein_coding	12
A3GALT2	9.932790323754263	0.06395591237548152	0.19624412955842457	0.3258997480301237	0.7445002063421509	0.8360745373615113	ENSG00000184389	protein_coding	1
A4GALT	202.84338560171537	0.43374317197168677	0.10374127785692225	4.181008571823225	2.902189219771093e-5	1.0829583424954857e-4	ENSG00000128274	protein_coding	22
A4GNT	10.030386962144053	-0.21378053705116906	0.1797631453228173	-1.1892345156025368	0.2343473958434927	0.34269683375265725	ENSG00000118017	protein_coding	3
AAAS	978.0197036481559	0.16266183485854258	0.06392656778731273	2.5445106860691724	0.010943096336224641	0.02469998061390482	ENSG00000094914	protein_coding	12
AACS	159.68535860941924	0.2405259035294366	0.09075471176717907	2.6502855757668926	0.008042375963188693	0.018826012906311376	ENSG00000081760	protein_coding	12
AADAC	7.702497419176448	-0.5616763845966151	0.8431821509724616	-0.6661388455019127	0.5053223572529664	0.6295233391882076	ENSG00000114771	protein_coding	3
AADACL2	10.652987958330518	1.569092204190547	0.3160358856937428	4.964917831233536	6.873016306391984e-7	3.3123824717080046e-6	ENSG00000197953	protein_coding	3
AADACL3	0.7075495590073811	-0.36190566399376495	0.26936347560869606	-1.3435587849315724	0.1790911047474492	0.27559286899104957	ENSG00000188984	protein_coding	1
AADACL4	1.6974504033731295	-0.09911008277432758	0.25777511575857237	-0.38448273985900305	0.7006206862577593	0.8006942534318158	ENSG00000204518	protein_coding	1
AADAT	100.95121241069504	0.1493064005282156	0.10492156288223195	1.4230287504943375	0.15472782095682558	0.24473460588259965	ENSG00000109576	protein_coding	4
AAGAB	1056.1915817705442	0.20128097672687068	0.0360602529540388	5.5817960285363695	2.380474562093188e-8	1.4071919246804038e-7	ENSG00000103591	protein_coding	15
AAK1	524.165482276622	-0.10577818312731259	0.0395608698649089	-2.6738083234398107	0.007499530218224907	0.017688285918742584	ENSG00000115977	protein_coding	2
AAMDC	2268.346708333557	-0.4940809713226578	0.05953529497045154	-8.298958988409805	1.0502761477118208e-16	1.790069200662118e-15	ENSG00000087884	protein_coding	11
AAMP	3966.1800732291335	-0.06865671621336256	0.03540203345079228	-1.9393438602557462	0.05245948153308281	0.09734211930445881	ENSG00000127837	protein_coding	2
AANAT	38.479636775743714	-0.08913833235800757	0.1484005931544594	-0.6006602161302008	0.5480663221536097	0.6694924730466538	ENSG00000129673	protein_coding	17
AAR2	100.98676745655378	0.05711421685811407	0.07061017727357076	0.8088666402412759	0.4185918593752378	0.5442917954287513	ENSG00000131043	protein_coding	20
AARD	116.7303761805137	-0.5921868835626394	0.1673949798933341	-3.5376621445875336	4.0368623945222324e-4	0.001236611832234754	ENSG00000205002	protein_coding	8
AARS2	6.68871609710992	0.390642769943468	0.20041354172478565	1.9491835061720095	0.05127351396555173	0.09550297167282425	ENSG00000124608	protein_coding	6
AARSD1	1128.1236708207055	0.23031568977852498	0.07326075951046376	3.143779716693071	0.0016678093543640346	0.0045461372741164695	ENSG00000266967	protein_coding	17
