ENSG.ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene.type	Gene.name	Chromosome
ENSG00000000003	5010.44342489221	0.567705201320268	0.1559650308529443	3.6399518418686023	2.7268903660486037e-4	0.002460167366457354	protein_coding	TSPAN6	X
ENSG00000000005	36.01729907253855	0.21444787358330686	0.8471848004492589	0.25312998234810863	0.8001677706032947	0.8912407474278862	protein_coding	TNMD	X
ENSG00000000419	2608.3232849240953	-0.2689960775135352	0.11356105670796672	-2.3687352452635655	0.017849025334645583	0.06760018035292453	protein_coding	DPM1	20
ENSG00000000457	429.62895617547866	-0.6345302857875985	0.1647591412842348	-3.851259971626924	1.1751167108071115e-4	0.0012359395942116837	protein_coding	SCYL3	1
ENSG00000000460	111.63019179339652	-0.327788906931224	0.3924912946756436	-0.8351494959961089	0.40363354134694945	0.5992367106390435	protein_coding	C1orf112	1
ENSG00000000938	902.6077479127341	1.8672316207479456	0.29414057716570186	6.3480925982410605	2.1800086020794065e-10	1.1919407882982738e-8	protein_coding	FGR	1
ENSG00000000971	5592.548914874234	-0.16760632504457593	0.3433596936367455	-0.4881362843417889	0.6254533117469478	0.7745943898639059	protein_coding	CFH	1
ENSG00000001036	3556.4699510981263	0.34527805716676696	0.129122552734298	2.6740336978719976	0.007494492037564365	0.03505001291795598	protein_coding	FUCA2	6
ENSG00000001084	441.6818143725913	-0.7530579950983401	0.25562700960234064	-2.945924987620889	0.003219904763035222	0.017972103201286675	protein_coding	GCLC	6
ENSG00000001167	553.7992192812228	0.2603210812415278	0.17619269906243237	1.4774793883444923	0.1395471793916925	0.2996005286814281	protein_coding	NFYA	6
ENSG00000001460	718.8579359407814	0.34202444122588016	0.12494592858035151	2.7373796418338476	0.006193077726789101	0.030247057380358367	protein_coding	STPG1	1
ENSG00000001461	3416.002853498386	0.5411745808291157	0.19168703304226165	2.8232195586740696	0.004754400007197402	0.024549802616371096	protein_coding	NIPAL3	1
ENSG00000001497	1467.827456562548	-0.4706002929652964	0.13451376138254112	-3.4985289841607	4.6783223798861883e-4	0.0038292757138856247	protein_coding	LAS1L	X
ENSG00000001561	3107.481239918771	-0.18589002204101654	0.19525964981387708	-0.952014521270566	0.3410896174317973	0.5398253295471345	protein_coding	ENPP4	6
