Gene.name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ENSG.ID	Gene.type	Chromosome
A1BG	9.308790150324977	-0.0534415680398557	0.18474190597062992	-0.28927691180338794	0.7723694791003142	NA	ENSG00000121410	protein_coding	19
A1CF	86.01072178022982	-0.09652406000656484	0.14065955357194768	-0.6862247003876105	0.4925714240861485	0.782852398126301	ENSG00000148584	protein_coding	10
A2M	389.5682069677808	0.38177011534969757	0.17479692682680098	2.1840779599516513	0.028956519920975744	0.2870845747684218	ENSG00000175899	protein_coding	12
A2ML1	61.677492439878996	-0.1448682887383029	0.13945334742686727	-1.0388297693196311	0.2988839136772783	0.6517722650952595	ENSG00000166535	protein_coding	12
A3GALT2	0.7647667891257851	0.033509479637034496	0.6937390011911542	0.04830271842796572	0.9614749880923679	NA	ENSG00000184389	protein_coding	1
A4GALT	15.363810186423548	0.2094086544413267	0.23716370388497932	0.8829709226622916	0.3772519821185701	NA	ENSG00000128274	protein_coding	22
A4GNT	13.558811504581398	-0.2742459379322774	0.16194710979692306	-1.693429035418871	0.0903738320164132	NA	ENSG00000118017	protein_coding	3
AAAS	35.51275875453566	0.019206419410684555	0.12390910367847975	0.15500410252761987	0.8768180830488955	NA	ENSG00000094914	protein_coding	12
AACS	56.38014989116238	-0.08931629709485195	0.1004119327632119	-0.8894988338236122	0.37373504967300947	0.7123743100366058	ENSG00000081760	protein_coding	12
AADAC	10.209824772005803	0.14657813692144187	0.18302163059575655	0.8008787619491374	0.4232018363283324	NA	ENSG00000114771	protein_coding	3
AADACL2	2.0946124890605997	0.273855729530992	0.3540207002387229	0.773558521708832	0.4391919087105091	NA	ENSG00000197953	protein_coding	3
AADACL3	21.297237647395526	-0.025958593343360554	0.17221019122088835	-0.1507378463453671	0.8801825172600776	NA	ENSG00000188984	protein_coding	1
AADACL4	9.843986758746903	-0.1488966401466972	0.18784032907991502	-0.7926766359281155	0.42796624611223755	NA	ENSG00000204518	protein_coding	1
AADAT	22.372142207648796	-0.1569812205878943	0.15524332376387032	-1.0111946638469773	0.31192326927922454	NA	ENSG00000109576	protein_coding	4
AAGAB	33.855250342465084	-0.013179172544634387	0.102195161993265	-0.12896082639903186	0.8973886459320282	NA	ENSG00000103591	protein_coding	15
AAK1	199.6690035462287	-0.0019206101711640587	0.07209105339652895	-0.02664144967614709	0.9787457129204318	0.9940250522627351	ENSG00000115977	protein_coding	2
AAMDC	13.24402932522561	-0.17359193173226664	0.1416950434938342	-1.2251094142175865	0.22053399859322992	NA	ENSG00000087884	protein_coding	11
AAMP	11.613854048424189	-0.0027488683790374236	0.20320631945134418	-0.013527474866231284	0.9892069658327771	NA	ENSG00000127837	protein_coding	2
AANAT	11.461977887396921	-0.12460421942879742	0.21358744344118183	-0.5833873818669083	0.5596325502103288	NA	ENSG00000129673	protein_coding	17
AAR2	26.52969411173887	0.1451660368832651	0.14846364453712374	0.9777884500670865	0.32817896463474516	NA	ENSG00000131043	protein_coding	20
AARD	7.715202129418846	0.0988854320313684	0.18396012514454982	0.5375373165987329	0.5908965156289177	NA	ENSG00000205002	protein_coding	8
AARS2	13.990077202653543	0.030325161531131812	0.1580369008180546	0.19188658708287815	0.8478310441658352	NA	ENSG00000124608	protein_coding	6
AARSD1	17.839464888754176	-0.07513835755986471	0.13627968902762702	-0.5513540432619599	0.5813909979628045	NA	ENSG00000266967	protein_coding	17
AASDH	33.133069172909714	0.015292413468492553	0.09635305736837078	0.15871228050426658	0.8738955623791691	NA	ENSG00000157426	protein_coding	4
AASDHPPT	74.58350877446442	-0.0572630644704418	0.12462473710629081	-0.45948393392880643	0.6458866866600326	0.8615697681024165	ENSG00000149313	protein_coding	11
AASS	48.617767028346115	-0.13271710524164698	0.09854644431213345	-1.3467467666441852	0.1780618046856278	NA	ENSG00000008311	protein_coding	7
AATF	0.059663295539765335	-0.08295404231837585	2.9292852141948535	-0.028318868342486304	0.97740783187328	NA	ENSG00000275700	protein_coding	17
AATK	2.893737425894641	0.49993135710702175	0.413379236306945	1.2093770397693837	0.22651802548052816	NA	ENSG00000181409	protein_coding	17
ABAT	62.174136643999645	0.08859884655598745	0.10561241113402517	0.8389056324408026	0.4015222668596776	0.7312398160066567	ENSG00000183044	protein_coding	16
ABCA1	204.2963626706837	0.3511483196991166	0.14756944572435352	2.3795462399108698	0.01733396810913562	0.23147559625283806	ENSG00000165029	protein_coding	9
ABCA10	78.30306404295145	-0.22077116024316137	0.132920970544104	-1.660920465291879	0.09672942143483988	0.44743681451916645	ENSG00000154263	protein_coding	17
ABCA12	137.4090261602063	-0.059426554973887845	0.1391884362687123	-0.42695037437708566	0.6694154735397093	0.8709556550248037	ENSG00000144452	protein_coding	2
ABCA13	145.6243386148664	-0.07180659215737263	0.13385671706605953	-0.5364436968967005	0.5916519383671397	0.8377791447278697	ENSG00000179869	protein_coding	7
ABCA2	34.6029190528799	0.15670858844749377	0.18287553801537454	0.8569138888018971	0.3914924764236297	NA	ENSG00000107331	protein_coding	9
ABCA3	31.52863131431143	-0.30550331839195777	0.13078885424687833	-2.335851324267179	0.019498991605768377	NA	ENSG00000167972	protein_coding	16
ABCA4	51.419144553828815	-0.08761368743472922	0.14170977258913042	-0.6182614355662968	0.536403018531252	0.8085102648670922	ENSG00000198691	protein_coding	1
ABCA5	130.59613714707743	-0.11332089029849403	0.11077332080085962	-1.022998042120758	0.3063087715264442	0.660458414426041	ENSG00000154265	protein_coding	17
ABCA6	202.7872253182574	-0.04935111580048178	0.10252003301088748	-0.481380217613086	0.6302462938554301	0.8557570147968051	ENSG00000154262	protein_coding	17
ABCA7	14.363058244269459	0.15940989285246576	0.1874020905245856	0.8506302806240708	0.3949747631427278	NA	ENSG00000064687	protein_coding	19
ABCA8	131.4271313652648	-0.23749067451635958	0.1247500877894468	-1.903731522154889	0.05694515887191416	0.36877211980230984	ENSG00000141338	protein_coding	17
ABCA9	117.65319496672552	-0.22855313240860542	0.12530315175906637	-1.8240014652470093	0.06815185072223426	0.3979792138911469	ENSG00000154258	protein_coding	17
ABCB1	55.495369306478295	-0.09238472997024827	0.1105162407986019	-0.8359380422521302	0.40318975954150243	0.7321506672536766	ENSG00000085563	protein_coding	7
ABCB10	29.02151931849322	-0.06243163545824912	0.11595318071125471	-0.5384210685320971	0.590286384302439	NA	ENSG00000135776	protein_coding	1
ABCB11	27.84560019149708	-0.1546236389801701	0.13699857050727482	-1.128651477220774	0.25904488600120246	NA	ENSG00000073734	protein_coding	2
ABCB4	101.87974495172125	-0.0667344538560703	0.13037226524976736	-0.5118761550105795	0.6087376874751229	0.8456666578290593	ENSG00000005471	protein_coding	7
ABCB5	79.41400185366119	-0.11093899411904648	0.13849904424327936	-0.8010090952265165	0.42312638046446877	0.7417345055738925	ENSG00000004846	protein_coding	7
ABCB6	7.650360282724485	-0.11777043505055687	0.21573180295819902	-0.5459113280269414	0.5851268911624188	NA	ENSG00000115657	protein_coding	2
ABCB7	41.53017558156188	0.08931810062006586	0.10637669967576839	0.8396397039229793	0.40111043063970664	NA	ENSG00000131269	protein_coding	X
ABCB8	25.596852820492796	-0.10662194790960036	0.13548192684096114	-0.7869828131006817	0.43129192727819354	NA	ENSG00000197150	protein_coding	7
ABCB9	21.183069266921294	-0.13163078533186787	0.15397397734466645	-0.8548898171099135	0.3926121484205199	NA	ENSG00000150967	protein_coding	12
ABCC1	1.2154751648855615	0.5307310106781096	0.5118078546597307	1.0369731645305829	0.2997483638335796	NA	ENSG00000103222	protein_coding	16
ABCC10	32.60310298952421	0.08007236047077497	0.1348182980940044	0.593927987541744	0.5525602788679529	NA	ENSG00000124574	protein_coding	6
ABCC11	42.32978842879723	-0.1960295009869801	0.1649321150782459	-1.1885465780511042	0.23461814055552796	NA	ENSG00000121270	protein_coding	16
ABCC12	44.85367896210981	-0.09505150712264625	0.14201207361581858	-0.6693199014879997	0.5032914342553132	NA	ENSG00000140798	protein_coding	16
ABCC2	43.58974839511237	-0.07882556206107764	0.13594857129544455	-0.5798189808833908	0.562036696236062	NA	ENSG00000023839	protein_coding	10
ABCC3	44.033957108904296	0.25885411666695957	0.15627321335601801	1.6564202598000215	0.09763674105328729	NA	ENSG00000108846	protein_coding	17
ABCC4	77.93460455627209	-0.021429439588940516	0.10167644922969366	-0.21076109316652109	0.8330736997083579	0.9427515659496474	ENSG00000125257	protein_coding	13
ABCC5	103.80574329296907	0.07359851079085798	0.0723533736455184	1.0172091097153244	0.3090539633124228	0.6611755247828511	ENSG00000114770	protein_coding	3
ABCC6	0.6445120199239659	0.4526616581289735	0.7524874344432344	0.6015537767270466	0.5474712051877717	NA	ENSG00000091262	protein_coding	16
ABCC8	24.08368360794164	-0.05969511910997152	0.16780219440702135	-0.3557469514681966	0.7220300799531377	NA	ENSG00000006071	protein_coding	11
ABCC9	128.6421250944629	-0.1605082619594537	0.10786625350229087	-1.4880303778794433	0.13674288252703773	0.504449093397018	ENSG00000069431	protein_coding	12
ABCD1	7.974694528663484	0.15526228102205702	0.26989770361711785	0.5752634384852534	0.565113144430037	NA	ENSG00000101986	protein_coding	X
ABCD2	49.028224120901626	-0.11113554040227326	0.12441262072658789	-0.8932818853362743	0.37170623625151655	NA	ENSG00000173208	protein_coding	12
ABCD3	66.09753067907917	-0.14117770041339398	0.09801719437309045	-1.4403360687515534	0.14977234152550933	0.5200980676863908	ENSG00000117528	protein_coding	1
