Gene.name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ENSG.ID	Gene.type	Chromosome
A1BG	0.7766870941332167	-0.039891227608185094	0.7779160908707763	-0.05127960210147091	0.9591027218814663	0.9762234821373006	ENSG00000121410	protein_coding	19
A1CF	0.9745034560623113	0.3379925204043648	0.6945136993982184	0.4866606961061074	0.6264988027643679	0.7344039895596512	ENSG00000148584	protein_coding	10
A2M	353.80015408873106	-0.47571704957303246	0.17902091263093242	-2.6573266920706944	0.00787630758272344	0.02170427533597338	ENSG00000175899	protein_coding	12
A2ML1	592.7675817208188	2.492581705431929	0.1881891828135841	13.245084909588153	4.817367091889508e-40	1.9751205076746983e-37	ENSG00000166535	protein_coding	12
A4GALT	4.6400483993056	0.26687478731907643	0.4241090251287343	0.6292598636354629	0.529178943127885	0.6524588261200203	ENSG00000128274	protein_coding	22
A4GNT	2.309526518343942	-2.0330765180566677	0.6298896529148903	-3.227670924023535	0.001248024557074483	0.004338983014904623	ENSG00000118017	protein_coding	3
AAAS	33.563525522194496	0.32714774257504575	0.1609722230300972	2.032324188713468	0.04212084726817355	0.08943538717114038	ENSG00000094914	protein_coding	12
AACS	41.78095994336882	-0.788121333062948	0.16417994015871828	-4.800350958229394	1.583878143678775e-6	1.1055687731718081e-5	ENSG00000081760	protein_coding	12
AADAC	5.43513708663908	1.218019490514336	0.5170068061958173	2.355906103976915	0.018477587604307483	0.045030294161643766	ENSG00000114771	protein_coding	3
AADACL2	65.09833473645418	0.36777205551291225	0.19694810918496142	1.867355096907905	0.06185201598860378	0.12250882393878043	ENSG00000197953	protein_coding	3
AADACL3	226.4343903409437	-2.741375577901979	0.6346698438094124	-4.319372670123583	1.5647335718892455e-5	8.722794466795987e-5	ENSG00000188984	protein_coding	1
AADACL4	0.1875517662681831	-1.6984954282869102	3.629104037532722	-0.4680205942626123	0.6397698623856702	NA	ENSG00000204518	protein_coding	1
AADAT	7.156654537491006	-0.35118202260703923	0.30523310192327285	-1.150537148147571	0.24992270303151354	0.374916712797514	ENSG00000109576	protein_coding	4
AAGAB	30.796129281133794	-0.2630692874695091	0.14195192157483438	-1.8532280827972019	0.0638496741357074	0.12575676411036044	ENSG00000103591	protein_coding	15
AAK1	270.58255165877495	0.2765412612698184	0.07623534457947333	3.627467847036901	2.8621440370649843e-4	0.0011670878597740712	ENSG00000115977	protein_coding	2
AAMP	38.304336782867395	0.4896295336125206	0.13874398784990233	3.529014418572266	4.171104039427442e-4	0.0016361369375612882	ENSG00000127837	protein_coding	2
