ENSG.ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene.type	Gene.name	Chromosome
ENSG00000000003	3501.4200983636097	-0.12768638081525677	0.08958796209897206	-1.42526270074316	0.15408127773787275	0.5647270879662161	protein_coding	TSPAN6	X
ENSG00000000005	4.349330147853455	1.7430908385726074	0.4352278411560808	4.005007662061542	6.20154709828898e-5	NA	protein_coding	TNMD	X
ENSG00000000419	750.9608892652204	-0.018496815037948425	0.10351959843163712	-0.17867935461673434	0.8581894809193182	0.9711931627913065	protein_coding	DPM1	20
ENSG00000000457	759.6868955919651	-0.00757972289394326	0.0509104972650875	-0.1488833011093205	0.8816457181312741	0.9762944379223245	protein_coding	SCYL3	1
ENSG00000000460	162.11462009713009	0.04968900678797354	0.1505877975042777	0.3299670199808988	0.7414248820013516	0.9380833557272763	protein_coding	C1orf112	1
ENSG00000000938	322.7751267848132	0.12739029288606046	0.14121447278091717	0.9021050773152423	0.36700105200820327	0.7717171009709155	protein_coding	FGR	1
ENSG00000000971	77125.58315537329	0.20745055173846436	0.08201854735556052	2.5293126789863836	0.011428616153420827	0.16046742877951017	protein_coding	CFH	1
ENSG00000001036	1629.3544695472142	0.027798699156595105	0.09943026754430247	0.2795798487036055	0.7797998692023063	0.948185329208704	protein_coding	FUCA2	6
ENSG00000001084	5373.812738489065	-0.05645811039468305	0.08420937428916353	-0.6704492328943519	0.5025714588787675	0.8455443947913118	protein_coding	GCLC	6
ENSG00000001167	720.5883574142858	0.03163089140742672	0.08437402831963871	0.37488895620341484	0.7077430527766783	0.9261438911319884	protein_coding	NFYA	6
ENSG00000001460	66.94491457591931	0.29621333278333173	0.1276531126788905	2.320455228760868	0.020316264192245827	0.21974629772061335	protein_coding	STPG1	1
ENSG00000001461	443.00736442555217	0.08649295144566757	0.08758048199165894	0.9875825010178073	0.3233571598544608	0.7411279179380652	protein_coding	NIPAL3	1
ENSG00000001497	851.4842757156516	0.0270503117543859	0.0510505681499912	0.52987288358691	0.596200068073002	0.8862986099939989	protein_coding	LAS1L	X
ENSG00000001561	466.4256037011969	0.18250137424029375	0.14078575916896963	1.296305644246713	0.19487020479098244	0.61663258154092	protein_coding	ENPP4	6
ENSG00000001617	206.0397489063368	0.5159675211014927	0.1773023066936823	2.91010044213868	0.0036131261985922467	0.07980632586506524	protein_coding	SEMA3F	3
ENSG00000001626	312.6326555433843	-0.31195939929892746	0.25886741107984457	-1.2050933641960335	0.22816726123335532	0.6564147129492351	protein_coding	CFTR	7
ENSG00000001629	1075.5334892350509	0.1733810057573135	0.06621956816435307	2.6182744853755624	0.00883756849885862	0.13676223613711427	protein_coding	ANKIB1	7
ENSG00000001630	6706.147248797662	-0.3952998205613241	0.12996019080105203	-3.0416992936434206	0.002352467776731235	0.0607034113880078	protein_coding	CYP51A1	7
ENSG00000001631	1092.758107111641	0.017091463375362766	0.06924096448197953	0.246840342320924	0.8050317876583712	0.9559312980822247	protein_coding	KRIT1	7
ENSG00000002016	406.8383442677647	0.014164239474209634	0.07097850074491492	0.19955675768798758	0.8418272498115855	0.9667291617753365	protein_coding	RAD52	12
ENSG00000002330	646.7625826993693	-0.2855260374988957	0.11759917237146988	-2.427959582887045	0.015184035288317787	0.18787889658981996	protein_coding	BAD	11
ENSG00000002549	8944.256192880637	0.8265035288835878	0.1638863041232021	5.043151917455292	4.579253987524613e-7	6.369848790925517e-5	protein_coding	LAP3	4
