Sample_ID	"S1_BAL"	"S1_LA"	"S1_PB"	"S2_BAL"	"S2_LA"	"S2_PB"	"S3_BAL"	"S3_LA"	"S3_PB"	"S4_BAL"	"S4_LA"	"S4_PB"	"S5_BAL"	"S5_LA"	"S5_PB"	"S6_BAL"	"S6_LA"	"S6_PB"	"S7_BAL"	"S7_LA"	"S7_PB"	"S8_BAL"	"S8_LA"	"S8_PB"	"S9_BAL"	"S9_LA"	"S9_PB"	"S10_BAL"	"S10_LA"	"S10_PB"	"S11_BAL"	"S11_LA"	"S11_PB"	"S12_BAL"	"S12_LA"	"S12_PB"	"S13_BAL"	"S13_LA"	"S13_PB"	"S14_BAL"	"S14_LA"	"S14_PB"	"S15_BAL"	"S15_LA"	"S15_PB"	"S16_BAL"	"S16_LA"	"S16_PB"	"S17_BAL"	"S17_LA"	"S17_PB"	"S18_BAL"	"S18_LA"	"S18_PB"	"S19_BAL"	"S19_LA"	"S19_PB"	"S20_BAL"	"S20_LA"	"S20_PB"	"S21_BAL"	"S21_LA"	"S21_PB"
Geo_accession	"GSM3523461"	"GSM3523462"	"GSM3523463"	"GSM3523464"	"GSM3523465"	"GSM3523466"	"GSM3523467"	"GSM3523468"	"GSM3523469"	"GSM3523470"	"GSM3523471"	"GSM3523472"	"GSM3523473"	"GSM3523474"	"GSM3523475"	"GSM3523476"	"GSM3523477"	"GSM3523478"	"GSM3523479"	"GSM3523480"	"GSM3523481"	"GSM3523482"	"GSM3523483"	"GSM3523484"	"GSM3523485"	"GSM3523486"	"GSM3523487"	"GSM3523488"	"GSM3523489"	"GSM3523490"	"GSM3523491"	"GSM3523492"	"GSM3523493"	"GSM3523494"	"GSM3523495"	"GSM3523496"	"GSM3523497"	"GSM3523498"	"GSM3523499"	"GSM3523500"	"GSM3523501"	"GSM3523502"	"GSM3523503"	"GSM3523504"	"GSM3523505"	"GSM3523506"	"GSM3523507"	"GSM3523508"	"GSM3523509"	"GSM3523510"	"GSM3523511"	"GSM3523512"	"GSM3523513"	"GSM3523514"	"GSM3523515"	"GSM3523516"	"GSM3523517"	"GSM3523518"	"GSM3523519"	"GSM3523520"	"GSM3523521"	"GSM3523522"	"GSM3523523"
Submission_date	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"	"Dec 20 2018"
Last_update_date	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"	"Apr 09 2019"
Sample_source	"bronchoalveolar lavage"	"large airway"	"peripheral blood"	"bronchoalveolar lavage"	"large airway"	"peripheral blood"	"bronchoalveolar lavage"	"large airway"	"peripheral blood"	"bronchoalveolar lavage"	"large airway"	"peripheral blood"	"bronchoalveolar lavage"	"large airway"	"peripheral blood"	"bronchoalveolar lavage"	"large airway"	"peripheral blood"	"bronchoalveolar lavage"	"large airway"	"peripheral blood"	"bronchoalveolar lavage"	"large airway"	"peripheral blood"	"bronchoalveolar lavage"	"large airway"	"peripheral blood"	"bronchoalveolar lavage"	"large airway"	"peripheral blood"	"bronchoalveolar lavage"	"large airway"	"peripheral blood"	"bronchoalveolar lavage"	"large airway"	"peripheral blood"	"bronchoalveolar lavage"	"large airway"	"peripheral blood"	"bronchoalveolar lavage"	"large airway"	"peripheral blood"	"bronchoalveolar lavage"	"large airway"	"peripheral blood"	"bronchoalveolar lavage"	"large airway"	"peripheral blood"	"bronchoalveolar lavage"	"large airway"	"peripheral blood"	"bronchoalveolar lavage"	"large airway"	"peripheral blood"	"bronchoalveolar lavage"	"large airway"	"peripheral blood"	"bronchoalveolar lavage"	"large airway"	"peripheral blood"	"bronchoalveolar lavage"	"large airway"	"peripheral blood"
Organism	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"
cell type	"cell type: alveolar macrophage"	"cell type: bronchial epithelium"	"cell type: whole blood"	"cell type: alveolar macrophage"	"cell type: bronchial epithelium"	"cell type: whole blood"	"cell type: alveolar macrophage"	"cell type: bronchial epithelium"	"cell type: whole blood"	"cell type: alveolar macrophage"	"cell type: bronchial epithelium"	"cell type: whole blood"	"cell type: alveolar macrophage"	"cell type: bronchial epithelium"	"cell type: whole blood"	"cell type: alveolar macrophage"	"cell type: bronchial epithelium"	"cell type: whole blood"	"cell type: alveolar macrophage"	"cell type: bronchial epithelium"	"cell type: whole blood"	"cell type: alveolar macrophage"	"cell type: bronchial epithelium"	"cell type: whole blood"	"cell type: alveolar macrophage"	"cell type: bronchial epithelium"	"cell type: whole blood"	"cell type: alveolar macrophage"	"cell type: bronchial epithelium"	"cell type: whole blood"	"cell type: alveolar macrophage"	"cell type: bronchial epithelium"	"cell type: whole blood"	"cell type: alveolar macrophage"	"cell type: bronchial epithelium"	"cell type: whole blood"	"cell type: alveolar macrophage"	"cell type: bronchial epithelium"	"cell type: whole blood"	"cell type: alveolar macrophage"	"cell type: bronchial epithelium"	"cell type: whole blood"	"cell type: alveolar macrophage"	"cell type: bronchial epithelium"	"cell type: whole blood"	"cell type: alveolar macrophage"	"cell type: bronchial epithelium"	"cell type: whole blood"	"cell type: alveolar macrophage"	"cell type: bronchial epithelium"	"cell type: whole blood"	"cell type: alveolar macrophage"	"cell type: bronchial epithelium"	"cell type: whole blood"	"cell type: alveolar macrophage"	"cell type: bronchial epithelium"	"cell type: whole blood"	"cell type: alveolar macrophage"	"cell type: bronchial epithelium"	"cell type: whole blood"	"cell type: alveolar macrophage"	"cell type: bronchial epithelium"	"cell type: whole blood"
rin	"rin: 9.2"	"rin: 7.7"	"rin: 8.3"	"rin: 9.2"	"rin: 7.3"	"rin: 8.8"	"rin: 8.3"	"rin: 8.9"	"rin: 6.8"	"rin: 8.9"	"rin: 6"	"rin: 8.4"	"rin: 8.5"	"rin: 8.6"	"rin: 8"	"rin: 8.9"	"rin: 7"	"rin: 8.2"	"rin: 8.5"	"rin: 8.2"	"rin: 7.7"	"rin: 8.4"	"rin: 7.3"	"rin: 8.9"	"rin: 8.8"	"rin: 8.3"	"rin: 8.4"	"rin: 8.6"	"rin: 8.2"	"rin: 7.7"	"rin: 8"	"rin: 6.2"	"rin: 8.5"	"rin: 8.2"	"rin: 7.3"	"rin: 7.9"	"rin: 8.7"	"rin: 7.8"	"rin: 7.8"	"rin: 8.5"	"rin: 7.5"	"rin: 8.4"	"rin: 7.8"	"rin: 7"	"rin: 6.7"	"rin: 8.9"	"rin: 7.1"	"rin: 8.4"	"rin: 7.9"	"rin: 7.7"	"rin: 9.1"	"rin: 6.7"	"rin: 6.7"	"rin: 8.5"	"rin: 9"	"rin: 6"	"rin: 8.2"	"rin: 8.7"	"rin: 8.2"	"rin: 8.3"	"rin: 8.4"	"rin: 6.6"	"rin: 9.3"
age	"age: 59.9"	"age: 59.9"	"age: 59.9"	"age: 66.4"	"age: 66.4"	"age: 66.4"	"age: 61.1"	"age: 61.1"	"age: 61.1"	"age: 67.9"	"age: 67.9"	"age: 67.9"	"age: 61"	"age: 61"	"age: 61"	"age: 69.5"	"age: 69.5"	"age: 69.5"	"age: 66.8"	"age: 66.8"	"age: 66.8"	"age: 61.1"	"age: 61.1"	"age: 61.1"	"age: 59.4"	"age: 59.4"	"age: 59.4"	"age: 61.3"	"age: 61.3"	"age: 61.3"	"age: 67.7"	"age: 67.7"	"age: 67.7"	"age: 61.4"	"age: 61.4"	"age: 61.4"	"age: 64.8"	"age: 64.8"	"age: 64.8"	"age: 70.7"	"age: 70.7"	"age: 70.7"	"age: 73.8"	"age: 73.8"	"age: 73.8"	"age: 61.2"	"age: 61.2"	"age: 61.2"	"age: 60.8"	"age: 60.8"	"age: 60.8"	"age: 51"	"age: 51"	"age: 51"	"age: 51.7"	"age: 51.7"	"age: 51.7"	"age: 45.3"	"age: 45.3"	"age: 45.3"	"age: 66.1"	"age: 66.1"	"age: 66.1"
Sex	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: F"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"
race	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: AA"	"race: AA"	"race: AA"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: AA"	"race: AA"	"race: AA"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: AA"	"race: AA"	"race: AA"	"race: AA"	"race: AA"	"race: AA"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: AA"	"race: AA"	"race: AA"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: AA"	"race: AA"	"race: AA"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"	"race: NHW"
