GSM4114296 	C3_Sample_1
GSM4114297 	MS7_Sample_2
GSM4114298 	MS6_Sample_3
GSM4114299 	MS4_Sample_4
GSM4114300 	MS8_Sample_5
GSM4114301 	MS8_Sample_6
GSM4114302 	MS10_Sample_7
GSM4114303 	C5_Sample_8
GSM4114304 	MS8_Sample_9
GSM4114305 	C5_Sample_10
GSM4114306 	MS3_Sample_11
GSM4114307 	MS3_Sample_12
GSM4114308 	C5_Sample_13
GSM4114309 	MS4_Sample_14
GSM4114310 	MS5_Sample_15
GSM4114311 	C4_Sample_16
GSM4114312 	MS3_Sample_17
GSM4114313 	C2_Sample_18
GSM4114314 	C4_Sample_19
GSM4114315 	MS8_Sample_20
GSM4114316 	MS4_Sample_21
GSM4114317 	MS4_Sample_22
GSM4114318 	MS1_Sample_23
GSM4114319 	C1_Sample_24
GSM4114320 	C5_Sample_25
GSM4114321 	C3_Sample_26
GSM4114322 	MS3_Sample_27
GSM4114323 	C4_Sample_28
GSM4114324 	MS4_Sample_29
GSM4114325 	MS8_Sample_30
GSM4114326 	MS3_Sample_31
GSM4114327 	C2_Sample_32
GSM4114328 	C5_Sample_33
GSM4114329 	C4_Sample_34
GSM4114330 	MS5_Sample_35
GSM4114331 	MS3_Sample_36
GSM4114332 	MS8_Sample_37
GSM4114333 	MS6_Sample_38
GSM4114334 	MS10_Sample_39
GSM4114335 	MS8_Sample_40
GSM4114336 	MS3_Sample_41
GSM4114337 	MS4_Sample_42
GSM4114338 	MS1_Sample_43
GSM4114339 	MS3_Sample_44
GSM4114340 	MS1_Sample_45
GSM4114341 	MS8_Sample_46
GSM4114342 	MS6_Sample_47
GSM4114343 	MS9_Sample_48
GSM4114344 	MS8_Sample_49
GSM4114345 	MS5_Sample_50
GSM4114346 	MS6_Sample_51
GSM4114347 	MS4_Sample_52
GSM4114348 	C3_Sample_53
GSM4114349 	C4_Sample_54
GSM4114350 	C3_Sample_55
GSM4114351 	C1_Sample_56
GSM4114352 	C1_Sample_57
GSM4114353 	C2_Sample_58
GSM4114354 	C1_Sample_59
GSM4114355 	C1_Sample_60
GSM4114356 	C2_Sample_61
GSM4114357 	C2_Sample_62
GSM4114358 	C3_Sample_63
GSM4114359 	MS5_Sample_64
GSM4114360 	MS4_Sample_65
GSM4114361 	MS6_Sample_66
GSM4114362 	MS6_Sample_67
GSM4114363 	MS5_Sample_68
GSM4114364 	MS2_Sample_69
GSM4114365 	MS6_Sample_70
GSM4114366 	MS1_Sample_71
GSM4114367 	MS6_Sample_72
GSM4114368 	MS10_Sample_73
GSM4114369 	MS1_Sample_74
GSM4114370 	MS2_Sample_75
GSM4114371 	MS1_Sample_76
GSM4114372 	MS2_Sample_77
GSM4114373 	MS2_Sample_78
GSM4114374 	MS10_Sample_79
GSM4114375 	MS2_Sample_80
GSM4114376 	MS3_Sample_81
GSM4114377 	MS7_Sample_82
GSM4114378 	MS9_Sample_83
GSM4114379 	MS9_Sample_84
GSM4114380 	MS4_Sample_85
GSM4114381 	MS7_Sample_86
GSM4114382 	MS9_Sample_87
GSM4114383 	MS2_Sample_88
GSM4114384 	MS6_Sample_89
GSM4114385 	MS4_Sample_90
GSM4114386 	MS7_Sample_91
GSM4114387 	MS9_Sample_92
GSM4114388 	MS9_Sample_93
GSM4114389 	MS5_Sample_94
GSM4114390 	MS6_Sample_95
GSM4114391 	MS9_Sample_96
GSM4114392 	MS6_Sample_97
GSM4114393 	MS9_Sample_98
