Gene.name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ENSG.ID	Gene.type	Chromosome
A1BG	0.7766870941332167	1.1941968501618618	0.8991284177156755	1.3281716233548004	0.18412141651019828	0.32177716898769854	ENSG00000121410	protein_coding	19
A1CF	0.9745034560623113	0.2013860808956397	0.72655066854475	0.27718105510660035	0.7816410857700027	0.867432936760144	ENSG00000148584	protein_coding	10
A2M	353.80015408873106	-0.23123959277171052	0.15598923470517231	-1.4824073802834232	0.13823193140380072	0.25968024852065225	ENSG00000175899	protein_coding	12
A2ML1	592.7675817208188	1.7034067135887638	0.16384127670881213	10.396688476836966	2.5669959941027245e-25	7.40690931842237e-23	ENSG00000166535	protein_coding	12
A4GALT	4.6400483993056	-0.8112474815016772	0.36708762976440973	-2.209955922574458	0.027108221497942796	0.07165684972302559	ENSG00000128274	protein_coding	22
A4GNT	2.309526518343942	-2.595174956055845	0.6331671880894244	-4.098719903485143	4.154414158574686e-5	2.80140911225537e-4	ENSG00000118017	protein_coding	3
AAAS	33.563525522194496	0.10767698238609974	0.13604258397465369	0.7914946867383907	0.42865537546177246	0.5868901784663658	ENSG00000094914	protein_coding	12
AACS	41.78095994336882	-0.24586431234680406	0.14155393283558368	-1.7368949588449651	0.0824057134108259	0.17560753557709555	ENSG00000081760	protein_coding	12
AADAC	5.43513708663908	0.24305497029976555	0.5044511105221797	0.481820666522408	0.6299333469316671	0.7571814482924161	ENSG00000114771	protein_coding	3
AADACL2	65.09833473645418	-0.08441627009513739	0.19131071324441826	-0.4412521842793367	0.6590304381372967	0.7792730956696181	ENSG00000197953	protein_coding	3
AADACL3	226.4343903409437	-1.1542338593074377	0.43792962977486405	-2.6356605738251138	0.008397368389783798	0.027075380887428762	ENSG00000188984	protein_coding	1
AADACL4	0.1875517662681831	0	3.627410084578494	0	1	NA	ENSG00000204518	protein_coding	1
AADAT	7.156654537491006	-0.742275295289529	0.29778543764767973	-2.492651424304168	0.012679325334030921	0.038284718885406015	ENSG00000109576	protein_coding	4
