ENSG.ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene.type	Gene.name	Chromosome
ENSG00000000003	904.6976044681344	1.2164076235131702	0.2303702389627212	5.280229030408788	1.2902250529815764e-7	4.258943504774759e-6	protein_coding	TSPAN6	X
ENSG00000000005	1.8239991506667346	0.7323365210089685	0.7433481854956304	0.985186397570447	0.32453252087782125	0.4932189718811624	protein_coding	TNMD	X
ENSG00000000419	624.4820349541144	-0.08384365642136041	0.06641058541789499	-1.2625044018775944	0.20676734335625452	0.3620214798931295	protein_coding	DPM1	20
ENSG00000000457	440.7216875808718	0.08055055953378616	0.09001272496063553	0.894879691388219	0.37085140408972445	0.5396680623146994	protein_coding	SCYL3	1
ENSG00000000460	132.90652312270365	-0.0014463000083621675	0.14594246927502252	-0.009910069464678407	0.9920930380009612	0.9956269344254746	protein_coding	C1orf112	1
ENSG00000000938	3347.6696050874953	-1.3902778936980322	0.25918384752235163	-5.364060712070943	8.137153336644134e-8	2.8889710369443017e-6	protein_coding	FGR	1
ENSG00000000971	7115.856932959618	1.1372828926111098	0.19813788109765604	5.739855934214711	9.475712602872685e-9	4.624843215347035e-7	protein_coding	CFH	1
ENSG00000001036	1465.6931203469537	-0.35439077937218316	0.1292412415186467	-2.742087395694449	0.006105009575213177	0.02753594823241552	protein_coding	FUCA2	6
ENSG00000001084	1060.235398343061	0.9223999325360138	0.21667911530294345	4.256985871695054	2.072014441359574e-5	3.039462360670846e-4	protein_coding	GCLC	6
ENSG00000001167	745.1100229254528	-0.22746046885277518	0.09396591613480013	-2.420669942987291	0.015491936145424413	0.05548105034914701	protein_coding	NFYA	6
ENSG00000001460	399.0722906381201	0.39290207514622877	0.25698137453010955	1.5289126531627057	0.12628609903582458	0.25558282280138983	protein_coding	STPG1	1
ENSG00000001461	1105.331159800706	0.11667460948416185	0.11489640517710989	1.0154765878385046	0.30987870119407684	0.4780408945618481	protein_coding	NIPAL3	1
ENSG00000001497	878.0385848417815	-0.1806382667712186	0.07395698614071014	-2.442477393921073	0.014586843137252652	0.053121737928249244	protein_coding	LAS1L	X
ENSG00000001561	921.4744677984328	0.026851435911360445	0.18643261749158094	0.14402756487916082	0.8854787029396859	0.9333756092013332	protein_coding	ENPP4	6
ENSG00000001617	1777.045083266293	-0.4515029809106879	0.19448426653127535	-2.321539880646751	0.020257724301793924	0.06767696754017495	protein_coding	SEMA3F	3
ENSG00000001626	562.9350651228231	-0.5975800621762536	0.29246168286117025	-2.0432764262657996	0.04102508184524844	0.1131075579603438	protein_coding	CFTR	7
ENSG00000001629	1173.8202081007266	0.1651420956675523	0.09251179002633961	1.7850924257387482	0.07424632634401519	0.17417599672805403	protein_coding	ANKIB1	7
ENSG00000001630	1173.2369675071448	-0.8380791665478834	0.1881668337073304	-4.453915443204029	8.431831831056248e-6	1.4595665512327302e-4	protein_coding	CYP51A1	7
ENSG00000001631	741.4227962667535	0.07310773238122883	0.09991007007510598	0.7317353728835455	0.46433010170441913	0.6259572956501841	protein_coding	KRIT1	7
ENSG00000002016	243.28040129385425	0.28637034117559634	0.18729972486901922	1.5289416008264738	0.12627892198127177	0.25558282280138983	protein_coding	RAD52	12
ENSG00000002330	869.026462253591	-0.006763361726976259	0.11258995631467753	-0.060070737642648586	0.9520992958399274	0.9728858929256189	protein_coding	BAD	11
ENSG00000002549	2681.800300855183	-0.45609361279273963	0.16643914800815113	-2.740302496443944	0.006138266130402468	0.02764688230315321	protein_coding	LAP3	4
ENSG00000002586	4660.313012985635	0.006636023828974823	0.12410143446746516	0.05347257956727765	0.95735537771862	0.9762253987406432	protein_coding	CD99	X
ENSG00000002587	290.2927213749932	0.5712437952943262	0.31887012536768505	1.7914622595504435	0.07321914569404675	0.1725347062272237	protein_coding	HS3ST1	4
ENSG00000002726	35.234791167453025	0.936353491369953	0.4153466442599696	2.25439040933693	0.024171618108323054	0.0769327001712705	protein_coding	AOC1	7
