ENSG.ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene.type	Gene.name	Chromosome
ENSG00000000003	3331.3005854421153	-0.09984051633274452	0.2891791776202597	-0.3452548594762646	0.7299027794247108	0.9035879246786771	protein_coding	TSPAN6	X
ENSG00000000005	9.736786883249495	0.6005859372628696	0.7237275591734621	0.8298508598301448	0.4066231110811498	0.7497684989563762	protein_coding	TNMD	X
ENSG00000000419	345.1813755797421	0.36316657533458346	0.21531255698689952	1.6866948236404065	0.09166204794689277	0.402331534818911	protein_coding	DPM1	20
ENSG00000000457	249.4115841853149	-0.23909028249330527	0.22828828043749635	-1.047317374484173	0.29495322535316654	0.6675108206162904	protein_coding	SCYL3	1
ENSG00000000460	53.25993438034528	-0.44899675632259173	0.3074348412246155	-1.4604615226240718	0.14416327497751438	0.49997276262196244	protein_coding	C1orf112	1
ENSG00000000938	38.30678853834161	-1.1063671756091757	0.8675393741732828	-1.275293327940859	0.20220543841968974	0.5737586395607757	protein_coding	FGR	1
ENSG00000000971	1529.2030431794876	-0.11312749689307433	0.2672098603694146	-0.423365727360049	0.6720284462240971	0.8818664089821212	protein_coding	CFH	1
ENSG00000001036	641.1630168620261	-0.15882956981737809	0.18281277021033704	-0.8688100379127517	0.3849510418141753	0.736704520333786	protein_coding	FUCA2	6
ENSG00000001084	108.61467343006274	-0.06546351599339717	0.24564015793587285	-0.266501684999271	0.789852861874303	0.9292631018864362	protein_coding	GCLC	6
ENSG00000001167	116.10391102929145	-0.1733517057062808	0.24008588138046347	-0.7220403995000889	0.47026963965364876	0.7862001429395352	protein_coding	NFYA	6
ENSG00000001460	135.4757672234349	0.04486925120312205	0.148903141380238	0.30133179721537406	0.763161496372487	0.9181361329000607	protein_coding	STPG1	1
ENSG00000001461	1733.413186777606	-0.06652956731090807	0.22024660017862227	-0.3020685325310443	0.7625998200068024	0.9179205382798541	protein_coding	NIPAL3	1
ENSG00000001497	561.4673141096116	-0.14394768015528644	0.3869373909450389	-0.3720180151205211	0.7098794363453333	0.8958624344538718	protein_coding	LAS1L	X
ENSG00000001561	363.2266489731217	-0.5035370171594311	0.36157420160244297	-1.3926242937904034	0.1637334326966271	0.5261724106656114	protein_coding	ENPP4	6
ENSG00000001617	5.7883688613693005	1.2604702535088985	0.5275359651785206	2.3893541610615108	0.016878023346647553	0.18063174359317355	protein_coding	SEMA3F	3
ENSG00000001626	107.28388700344584	-0.48699246119976514	0.467257886511754	-1.04223486699248	0.29730280142097193	0.6701748020081015	protein_coding	CFTR	7
ENSG00000001629	236.12177305722486	-0.20809924274833352	0.2773693764338951	-0.7502603402864462	0.45309792365147583	0.7757707427149553	protein_coding	ANKIB1	7
ENSG00000001630	2494.1702441848397	0.4836837442105727	0.22115809787697246	2.1870496665224533	0.02873889846435849	0.22777388308117405	protein_coding	CYP51A1	7
ENSG00000001631	285.4763021078508	-0.1612652122704018	0.21758246626264086	-0.7411682340053115	0.45859144144821135	0.7783535238413937	protein_coding	KRIT1	7
