ENSG.ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Gene.type	Gene.name	Chromosome
ENSG00000007171	3.733930040975429	0.9766046653409773	17.232405275569764	3.0138111484827135e-27	5.1581377806281643e-23	51.01994149328824	protein_coding	NOS2	17
ENSG00000153802	4.711018455631045	1.2727251725401778	16.939994024852183	8.120415827000363e-27	6.949045843955561e-23	50.077719971839095	protein_coding	TMPRSS11D	4
ENSG00000134827	6.678970133837901	2.0532613175769785	14.38354333892925	7.407130437900414e-23	4.2257679148221864e-19	41.348815756560946	protein_coding	TCN1	11
ENSG00000172350	3.8424733902613335	1.0483002086172446	13.976985791269394	3.4089901111765293e-22	1.4586216438196575e-18	39.87801511713057	protein_coding	ABCG4	11
ENSG00000104964	-1.7550547489700954	1.416586919577422	-13.768562858536255	7.517145071847935e-22	2.573118758093548e-18	39.11519973428151	protein_coding	TLE5	19
ENSG00000198074	6.705463792946285	1.2982828661005335	13.188510226854563	6.989111665811213e-21	1.9936441026726485e-17	36.96105976772714	protein_coding	AKR1B10	7
ENSG00000163221	4.5170426594276165	2.239867353875911	12.846654404932345	2.652910018133557e-20	6.486364994336547e-17	35.67026921438643	protein_coding	S100A12	1
ENSG00000171711	7.7966233004379015	3.0620735346153793	12.392807935000567	1.5938845293874334e-19	3.4099167150582403e-16	33.93277787121777	protein_coding	DEFB4A	8
ENSG00000178919	2.709623738480952	1.3324174264056001	12.194271537739498	3.5197655937392466e-19	6.6934209040941345e-16	33.16432999163375	protein_coding	FOXE1	9
ENSG00000121671	-1.898301695942476	1.6310863466757337	-11.976494100950465	8.438055830274306e-19	1.3892436628552097e-15	32.315675142998614	protein_coding	CRY2	11
ENSG00000025708	2.7688083741430467	2.9367130722670227	11.962460745408656	8.928822840436638e-19	1.3892436628552097e-15	32.26078564120752	protein_coding	TYMP	22
ENSG00000163874	3.240711867210284	3.0403627622851563	11.784712869273797	1.830724103273795e-18	2.6110702522942505e-15	31.56345111403445	protein_coding	ZC3H12A	1
ENSG00000124102	5.010648643089712	2.458104136705334	11.754767345093596	2.06686308777634e-18	2.721104749791697e-15	31.445590000216598	protein_coding	PI3	20
ENSG00000112299	3.3504537362211413	0.38783892526959995	11.730605232561917	2.2795906210212224e-18	2.7867995341984443e-15	31.35041238649511	protein_coding	VNN1	6
ENSG00000008311	1.9384500998217131	-0.48081793353644436	11.644531121885098	3.2333321709298942e-18	3.689232007031009e-15	31.010784373203926	protein_coding	AASS	7
ENSG00000100433	3.138708079542667	2.0776440446650675	11.13495383543652	2.6033885465587812e-17	2.7848121858970962e-14	28.98233552163699	protein_coding	KCNK10	14
ENSG00000124215	2.1854110458912377	0.6062807103713778	11.107889873529173	2.910632837277454e-17	2.930322412353154e-14	28.873778642625425	protein_coding	CDH26	20
ENSG00000119714	2.1751190610927607	1.676111224305778	10.80550236792513	1.0174286448153873e-16	9.674050697786308e-14	27.65547794885174	protein_coding	GPR68	14
ENSG00000121892	1.3775463652217141	0.12385397650151106	10.789135090587557	1.0890187956033324e-16	9.809766677237386e-14	27.589259528987597	protein_coding	PDS5A	4
ENSG00000143320	1.7923513004643798	0.5482068845600003	10.7397385247758	1.3373027122507585e-16	1.1443967960085864e-13	27.389244686572326	protein_coding	CRABP2	1
ENSG00000122643	2.167362685441523	0.19420991041422228	10.65405189837986	1.9107019505914118e-16	1.5572220897320005e-13	27.04169675478314	protein_coding	NT5C3A	7
ENSG00000140519	2.633088067636952	3.133795622007466	10.605418204782504	2.3403471239803457e-16	1.8206836830419826e-13	26.8441094543186	protein_coding	RHCG	15
ENSG00000164236	-3.1420365102325714	2.4971312985872003	-10.530382103536457	3.2016635044732234e-16	2.3824552556112705e-13	26.538798457772224	protein_coding	ANKRD33B	5
ENSG00000214274	-1.8847888688268564	-0.680050004758578	-10.448641007420301	4.506981921774072e-16	3.214041482965135e-13	26.205586205858417	protein_coding	ANG	14
ENSG00000143546	5.756202788777521	7.090136125088531	10.380313826653627	6.001004091204249e-16	4.108287400838429e-13	25.92656942574699	protein_coding	S100A8	1
ENSG00000153048	2.8968378912333326	-0.7910054945633779	10.33627555319285	7.218660143388964e-16	4.751821859773157e-13	25.74650749296186	protein_coding	CARHSP1	16
ENSG00000172382	2.681803115539428	1.279974898939022	10.294890216409133	8.588596560901447e-16	5.444215931104751e-13	25.577131110792884	protein_coding	PRSS27	16
ENSG00000153292	4.072567484928856	1.1061615220020444	10.275107997503662	9.332913815862231e-16	5.704743569945789e-13	25.49611436204188	protein_coding	ADGRF1	6
ENSG00000160199	1.2793517861933328	0.4724393784739553	10.211007279524718	1.2220111764277573e-15	7.211972856745196e-13	25.233354300672445	protein_coding	PKNOX1	21
ENSG00000204071	-1.378887979744571	0.11279969433333333	-10.12220577938095	1.7761693888421346e-15	1.0133046363344377e-12	24.86874742118418	protein_coding	TCEAL6	X
ENSG00000135114	4.324901365728953	1.3228041636032886	10.097546851872979	1.9707536980436708e-15	1.0753695574279226e-12	24.76738136789122	protein_coding	OASL	12
ENSG00000050730	4.056632653394093	1.0170894956007113	10.089479281423811	2.0389558519808754e-15	1.0753695574279226e-12	24.734206667229422	protein_coding	TNIP3	4
ENSG00000106302	2.972060115953904	1.6792808101011554	10.085500977125019	2.073455763664706e-15	1.0753695574279226e-12	24.717845447180608	protein_coding	HYAL4	7
ENSG00000165474	3.6410930443367606	6.780210360348088	10.049357457480944	2.415031263145803e-15	1.2156841196688358e-12	24.569140646781584	protein_coding	GJB2	13
ENSG00000204065	-1.4354184217727615	0.36546998818417764	-9.990235305510843	3.0999259515348537e-15	1.5158637903005435e-12	24.325663026076427	protein_coding	TCEAL5	X
ENSG00000115415	2.5322873335923797	0.4276781122282667	9.963417005405667	3.4719531060623584e-15	1.6182830821579127e-12	24.215126097182434	protein_coding	STAT1	2
ENSG00000085662	2.8865900945571417	-1.381536716355911	9.961616526139085	3.4984793479312167e-15	1.6182830821579127e-12	24.20770300144435	protein_coding	AKR1B1	7
ENSG00000136694	2.8156322223432353	1.3752484901202673	9.918414206596577	4.1997681396416966e-15	1.8915534660517798e-12	24.029509458765858	protein_coding	IL36A	2
ENSG00000105854	1.11921150110819	-0.6071365255299555	9.888102567313156	4.77454606727384e-15	1.983413078297181e-12	23.904397772223845	protein_coding	PON2	7
ENSG00000185962	3.8255538483622833	2.638498262462399	9.884877406377502	4.840174516712556e-15	1.983413078297181e-12	23.89108168269948	protein_coding	LCE3A	1
ENSG00000165389	1.8007762430114278	0.6833145157647998	9.884551342361798	4.84685976904535e-15	1.983413078297181e-12	23.889735380345833	protein_coding	SPTSSA	14
ENSG00000196507	-1.3604699605775235	0.11002371366168896	-9.883558582121696	4.867271357784494e-15	1.983413078297181e-12	23.885636271431736	protein_coding	TCEAL3	X
ENSG00000132357	2.359601593577713	0.5168475994238223	9.863135242249902	5.306877303601158e-15	2.1122605825845075e-12	23.801291447919333	protein_coding	CARD6	5
ENSG00000013583	-1.3883166951499044	0.5678834942213336	-9.815806731868609	6.485071357977495e-15	2.522545370267837e-12	23.60571099263239	protein_coding	HEBP1	12
ENSG00000131015	1.6712240821697142	0.21725294881786658	9.781497763997406	7.500325883649622e-15	2.810009914594515e-12	23.463827670325045	protein_coding	ULBP2	6
ENSG00000178467	-1.3622622259167612	-0.3028676248300444	-9.77986407007743	7.552466028124317e-15	2.810009914594515e-12	23.457069427420173	protein_coding	P4HTM	3
ENSG00000104728	-1.566333125735619	-0.06159438822453333	-9.69171776243732	1.0978401103537117e-14	3.997773082702931e-12	23.092140621231387	protein_coding	ARHGEF10	8
ENSG00000114251	2.2634237861306667	-0.5775356655713777	9.685763000693631	1.1259567947871959e-14	4.014739696413095e-12	23.067467753722873	protein_coding	WNT5A	3
ENSG00000145623	1.6891530312885705	0.3333303007046222	9.67227274236687	1.1923566896622537e-14	4.164731580320301e-12	23.011563265560532	protein_coding	OSMR	5
ENSG00000169129	1.7738763521632386	1.9683898358465781	9.544750254835265	2.050642189202678e-14	7.019348213640767e-12	22.4824908559511	protein_coding	AFAP1L2	10
ENSG00000137936	-1.6864693034594278	-0.7003370404527999	-9.538245210376246	2.1082108624313093e-14	7.0749076295121285e-12	22.455473569682553	protein_coding	BCAR3	1
ENSG00000163565	1.671041379643428	0.555877557807822	9.511163499540515	2.3658373994403915e-14	7.78678982527352e-12	22.342966504715122	protein_coding	IFI16	1
ENSG00000130592	-2.029573668601714	1.1818200806296892	-9.498241199884639	2.4996744780455507e-14	8.072062017311245e-12	22.289266311160155	protein_coding	LSP1	11
ENSG00000203785	2.919685806523427	2.1081113922547554	9.487864895072152	2.6126220010374572e-14	8.280560286621497e-12	22.246138740474336	protein_coding	SPRR2E	1
ENSG00000228727	-3.2942787313140944	-1.5537441434398225	-9.472615916028824	2.7879677797524957e-14	8.675648827357084e-12	22.182746490129794	protein_coding	SAPCD1	6
ENSG00000146242	1.8229326365363803	-0.29173906807146677	9.441651786281321	3.1811980908983225e-14	9.722536665307999e-12	22.053980170838997	protein_coding	TPBG	6
ENSG00000119125	3.466125896787238	-0.8615275294361779	9.407558691928257	3.6788485463218305e-14	1.1046226819350548e-11	21.91213507608284	protein_coding	GDA	9
ENSG00000087884	-1.5531578207809522	0.3791131962771556	-9.379571788834589	4.1452346635754726e-14	1.22320157357059e-11	21.79564375084552	protein_coding	AAMDC	11
ENSG00000150907	-1.109758590134858	2.2289617355231996	-9.36105240403547	4.486017596059839e-14	1.2827729485614e-11	21.718534684075998	protein_coding	FOXO1	13
ENSG00000112599	1.7619646934417137	0.5594308439715557	9.360478643322661	4.497012966034706e-14	1.2827729485614e-11	21.716145406777464	protein_coding	GUCA1B	6
ENSG00000125520	-1.3418597652645714	0.8578215795813334	-9.35448449963384	4.613511751042326e-14	1.294430387198187e-11	21.691183236994874	protein_coding	SLC2A4RG	20
ENSG00000155366	-1.136545279599238	-0.35867893422826663	-9.30300966094254	5.747140770701319e-14	1.586488940170211e-11	21.476737369810735	protein_coding	RHOC	1
ENSG00000073067	-1.5658028489494282	0.16546801958337776	-9.290807408391293	6.054528531607925e-14	1.6246849248298768e-11	21.425881057837323	protein_coding	CYP2W1	7
ENSG00000170075	1.0503336322922854	0.557726426896089	9.29000298023587	6.075362850663869e-14	1.6246849248298768e-11	21.42252809548483	protein_coding	GPR37L1	1
ENSG00000169252	-1.620828404131429	1.8380721133482663	-9.278918737739877	6.369869126761032e-14	1.6772355400694625e-11	21.376323983365225	protein_coding	ADRB2	5
ENSG00000084693	-1.3055266106350472	-0.3176535791416889	-9.251670650860165	7.156157895988454e-14	1.8557218543915515e-11	21.26271400276216	protein_coding	AGBL5	2
ENSG00000126351	-1.7519660370318089	0.2430125546853333	-9.244786349366684	7.369769733340713e-14	1.8825911788974077e-11	21.23400398925873	protein_coding	THRA	17
ENSG00000196743	1.7183535335361888	2.522215737489777	9.237871513852545	7.590766084622354e-14	1.9089441333560617e-11	21.205164169690278	protein_coding	GM2A	5
ENSG00000103275	-1.0958679552699042	-0.1291361985857778	-9.234649265518753	7.696006146746611e-14	1.9089441333560617e-11	21.191724244174118	protein_coding	UBE2I	16
ENSG00000284194	1.4880525950439996	1.0634530444613335	9.21847299172855	8.24685618718538e-14	2.0163563377668253e-11	21.124245354283424	protein_coding	SCO2	22
ENSG00000157551	2.2324284918942836	2.919146484060801	9.208856830662805	8.592876062693436e-14	2.071367236802791e-11	21.08412551718154	protein_coding	KCNJ15	21
ENSG00000100307	-1.5486293211767623	2.7012854542590223	-9.182212244892124	9.629593768543243e-14	2.2890346853974667e-11	20.972936863529505	protein_coding	CBX7	22
ENSG00000138642	3.6255767818971414	1.8392414305606224	9.17572572623173	9.900412911663896e-14	2.321172150453802e-11	20.945863140918952	protein_coding	HERC6	4
ENSG00000130487	2.8268806634748564	0.9183140923647113	9.16380995866827	1.0417964737761855e-13	2.4095063038755964e-11	20.896123257788247	protein_coding	KLHDC7B	22
ENSG00000159337	1.2061124950582853	0.7296412146433778	9.105857925682486	1.334902602688473e-13	3.0462477393350954e-11	20.65411880144083	protein_coding	PLA2G4D	15
ENSG00000174808	-4.207275510822953	4.054086050547643	-9.077813142977126	1.5051367190021306e-13	3.3895282823317716e-11	20.53695014141151	protein_coding	BTC	4
ENSG00000138496	2.3360008487430464	0.9741107102511114	9.069995560410218	1.556356077194303e-13	3.45935509885461e-11	20.50428275208678	protein_coding	PARP9	3
ENSG00000196781	-1.1427700935403804	-0.03147862201244444	-9.028477599738116	1.859131274345898e-13	4.07936304620898e-11	20.330747245398662	protein_coding	TLE1	9
ENSG00000149043	-3.3768774001577135	3.6102574547776	-9.007488245069592	2.033998061706091e-13	4.406566686848069e-11	20.242989078796178	protein_coding	SYT8	11
ENSG00000165970	0.8353327625727616	0.4681007032266667	8.999523987450493	2.104583388073101e-13	4.5024930858588905e-11	20.209685180974525	protein_coding	SLC6A5	11
ENSG00000183908	2.9673391734310464	1.7030973014081774	8.98899683597308	2.201663991862895e-13	4.6520344716954876e-11	20.16566020100212	protein_coding	LRRC55	11
ENSG00000164024	0.8894199200131427	-0.26566566152071114	8.953624013388314	2.561962106622505e-13	5.3473148115663623e-11	20.01769775172199	protein_coding	METAP1	4
ENSG00000065717	-1.404195373424952	0.6694807122039109	-8.945702577696972	2.650425888242087e-13	5.4653059129232917e-11	19.984556274724277	protein_coding	TLE2	19
ENSG00000158882	1.109588484564571	-0.24743770217066668	8.928049421660257	2.858738024264752e-13	5.824678724439432e-11	19.910691078877015	protein_coding	TOMM40L	1
ENSG00000163995	-1.7793005634513344	2.917406101948711	-8.908294719907387	3.111361519694217e-13	6.206480669205305e-11	19.828018986217337	protein_coding	ABLIM2	4
ENSG00000125166	1.1994351814470476	-1.1988532604826665	8.905434309584402	3.1497495176516713e-13	6.206480669205305e-11	19.81604720192393	protein_coding	GOT2	16
ENSG00000088256	-0.8868337653660954	0.7165990773127112	-8.905052031792026	3.1549156775977883e-13	6.206480669205305e-11	19.814447218124926	protein_coding	GNA11	19
ENSG00000157111	1.2554311987594282	0.12183116967128885	8.897158048732807	3.2635144310075863e-13	6.347164714397141e-11	19.781406623138963	protein_coding	TMEM171	5
ENSG00000171124	3.150830103337142	2.018467884377778	8.882331242394244	3.4777151864638034e-13	6.687763529924495e-11	19.719342529599167	protein_coding	FUT3	19
ENSG00000021355	2.5854790067908566	0.19539564040444446	8.82688528978695	4.4112913037929967e-13	8.388805629379682e-11	19.487183843939597	protein_coding	SERPINB1	6
ENSG00000139629	2.399312055324761	0.8876724816336887	8.809647205008515	4.749865894356535e-13	8.933401624385943e-11	19.414985902960062	protein_coding	GALNT6	12
ENSG00000121104	-1.696025004469333	-0.23461852253208892	-8.80451976001901	4.855509896896312e-13	8.993021487848117e-11	19.39350896486105	protein_coding	FAM117A	17
ENSG00000184182	1.2372569256024761	0.4307906042401779	8.803029443814811	4.886654971486268e-13	8.993021487848117e-11	19.38726644180715	protein_coding	UBE2F	2
ENSG00000105173	1.5999167850592377	-1.1171935841960887	8.763568894498844	5.788242832896028e-13	1.0538912349469737e-10	19.221953322947748	protein_coding	CCNE1	19
ENSG00000272398	2.6077649173226662	-0.06661417714239995	8.740811324194691	6.382109604796937e-13	1.1497874303799954e-10	19.12659440884434	protein_coding	CD24	6
ENSG00000077684	-1.4618001473373325	-0.8294207853678222	-8.709305038044858	7.306311344899671e-13	1.3025783194578946e-10	18.994553836084656	protein_coding	JADE1	4
ENSG00000213578	2.5235292913942846	1.8909377068897777	8.673813351767143	8.508921113014826e-13	1.5013421118479252e-10	18.845781065674366	protein_coding	CPLX3	15
ENSG00000163220	5.112057274339046	4.240704884618577	8.666795504227796	8.769224984824694e-13	1.5314825062783127e-10	18.816360385946	protein_coding	S100A9	1
ENSG00000100767	-2.424556507265524	2.1260890086111996	-8.637493020283905	9.945095443285199e-13	1.7192960455740018e-10	18.693504749220928	protein_coding	PAPLN	14
ENSG00000187398	2.7811525293979047	-0.7201800113734221	8.627741103317595	1.0370449980495162e-12	1.774902514161747e-10	18.652614107525707	protein_coding	LUZP2	11
ENSG00000167972	-1.4939234446588563	-0.4871932944866668	-8.614713229125535	1.096724843752364e-12	1.8584599703783872e-10	18.59798406055183	protein_coding	ABCA3	16
ENSG00000184330	5.8936106935958055	3.9207443932651564	8.596280683925048	1.1870834951648309e-12	1.991856276445694e-10	18.520684803960755	protein_coding	S100A7A	1
ENSG00000149573	2.5879555368556177	2.1692444017400008	8.590282810192802	1.2180641346665097e-12	2.023996860661875e-10	18.495530560007772	protein_coding	MPZL2	11
ENSG00000165801	-1.703225403627428	-0.9891435370005333	-8.57831294477274	1.2823321218660183e-12	2.1102994486285483e-10	18.44532865741011	protein_coding	ARHGEF40	14
ENSG00000128242	-1.5043847591815236	-1.0338046937071108	-8.575006995195034	1.300673017637511e-12	2.1200970187491429e-10	18.43146297559141	protein_coding	GAL3ST1	22
ENSG00000188215	1.589414572635428	1.0439669584821334	8.552372969565178	1.4334964281611085e-12	2.3145557894318273e-10	18.336527230661886	protein_coding	DCUN1D3	16
ENSG00000152413	1.4424890427902852	-0.15393799830471114	8.53338557023542	1.5553367577126806e-12	2.487812019462853e-10	18.256880418243476	protein_coding	HOMER1	5
ENSG00000077238	1.9140108910420948	1.4184294565516438	8.530633599807148	1.5738358496565388e-12	2.4940926450807094e-10	18.24533621499163	protein_coding	IL4R	16
ENSG00000158296	-1.5937024640449517	-2.157147585596623	-8.459512555015547	2.1364019232845546e-12	3.354543019909647e-10	17.94695594918735	protein_coding	SLC13A3	20
ENSG00000134851	1.7123156223502853	-0.08153514714595561	8.414021384360998	2.5977111011282466e-12	4.0144555141691347e-10	17.756073292776982	protein_coding	TMEM165	4
ENSG00000057149	7.798668794976761	4.220728016470398	8.413495352400153	2.603590780442734e-12	4.0144555141691347e-10	17.753865936293494	protein_coding	SERPINB3	18
ENSG00000105835	2.364796159142475	-0.21410869811217778	8.411116412186018	2.6303478978802136e-12	4.019500381448201e-10	17.74388330457159	protein_coding	NAMPT	7
ENSG00000146950	1.2944112738881903	0.08516283272417777	8.393832660761964	2.833186948686147e-12	4.2881052629313337e-10	17.671355074103623	protein_coding	SHROOM2	X
ENSG00000103222	1.6068140499979058	-2.0356088385907554	8.391947914042682	2.856231375835069e-12	4.2881052629313337e-10	17.66344593912151	protein_coding	ABCC1	16
ENSG00000133106	3.365742919752761	0.48649822905191115	8.383244463578315	2.96510304872309e-12	4.4128468416431037e-10	17.626922558993307	protein_coding	EPSTI1	13
ENSG00000185453	-1.0637653272127618	0.6537824252629333	-8.37539364952945	3.066866127599781e-12	4.524949463264677e-10	17.593976812288666	protein_coding	ZSWIM9	19
ENSG00000185507	2.3709464938737144	1.151098837115022	8.372884258318924	3.10012432566694e-12	4.534925455879459e-10	17.58344614099161	protein_coding	IRF7	11
ENSG00000102302	0.7982737896687615	0.5509902875091557	8.310397276412377	4.055353653708302e-12	5.881981168069288e-10	17.32121087540144	protein_coding	FGD1	X
ENSG00000113356	1.8144823259695237	-1.3509042676798222	8.279646449957825	4.62845602086621e-12	6.656808806481108e-10	17.19215774382002	protein_coding	POLR3G	5
ENSG00000139547	1.5583637456228565	0.8374892787346667	8.263192991051936	4.9676691247540805e-12	7.085138089180507e-10	17.123106983134605	protein_coding	RDH16	12
ENSG00000268104	3.3234600735112374	0.11455898099768898	8.247215340853574	5.32084905695415e-12	7.526143108245477e-10	17.056053467130575	protein_coding	SLC6A14	X
ENSG00000172456	-1.4179581358158095	0.5728633626072888	-8.2244397798762	5.868132468429997e-12	8.232220262063884e-10	16.960472322806623	protein_coding	FGGY	1
ENSG00000062096	2.114989696165903	1.930075686726578	8.213758475097784	6.143846497137225e-12	8.548937625894602e-10	16.915647266406886	protein_coding	ARSF	X
ENSG00000007402	-1.683393346893714	-0.1925688069448	-8.203173353469518	6.42985399691076e-12	8.854638235037189e-10	16.87122638867637	protein_coding	CACNA2D2	3
ENSG00000165997	1.6820508589299044	0.04437057410693334	8.200819706934093	6.495236633626481e-12	8.854638235037189e-10	16.86134929932264	protein_coding	ARL5B	10
ENSG00000291237	1.9266854663851425	0.9079418080839112	8.19997898487573	6.518752074874004e-12	8.854638235037189e-10	16.85782121254747	protein_coding	SOD2	6
ENSG00000143850	-2.0928971914687615	-0.33760887142462226	-8.184930880277731	6.954349864223535e-12	9.371944718597307e-10	16.79467261799551	protein_coding	PLEKHA6	1
ENSG00000112033	1.3610687435479987	1.2405223581823999	8.168650628931717	7.45844520795179e-12	9.972757010476164e-10	16.726355092458775	protein_coding	PPARD	6
ENSG00000155393	1.451770469008952	-0.23335021581662224	8.16439104708392	7.596262047208848e-12	1.007829650682011e-9	16.70848075183119	protein_coding	HEATR3	16
ENSG00000176293	-1.7966994900537143	0.3530192740326223	-8.140842787411833	8.40539471657645e-12	1.1066025428785073e-9	16.609668751164122	protein_coding	ZNF135	19
ENSG00000115267	2.324800071456761	1.3342330632495996	8.093039986910854	1.0322554749909722e-11	1.3486299583565259e-9	16.409098417139248	protein_coding	IFIH1	2
ENSG00000149554	-1.3065267251596189	0.3203667834430223	-8.056547779306904	1.2075279308731698e-11	1.5656697376435077e-9	16.25600428985303	protein_coding	CHEK1	11
ENSG00000172201	-2.215857731864953	3.594855672609243	-8.047340118310457	1.2562657179991445e-11	1.6166156213199516e-9	16.21737890081681	protein_coding	ID4	6
ENSG00000135063	-2.080012956731238	1.7401484617423997	-8.040077008284063	1.2960935915630189e-11	1.6554210313135125e-9	16.18691169906438	protein_coding	ENTREP1	9
ENSG00000134057	2.0084766963670484	-3.1444616532110228	8.029860798687263	1.3542596596786137e-11	1.7100712255398378e-9	16.144058352075092	protein_coding	CCNB1	5
ENSG00000021645	-2.166369769972286	1.4317777938488891	-8.028233403551491	1.3637631211635648e-11	1.7100712255398378e-9	16.137232175216113	protein_coding	NRXN3	14
ENSG00000177628	1.906281654421523	0.041052827791111086	8.027365891189351	1.3688563125852046e-11	1.7100712255398378e-9	16.13359337711436	protein_coding	GBA1	1
ENSG00000147465	-1.5201413937019048	-0.41739336827466667	-8.013854657163856	1.4506793634992372e-11	1.7991577758180758e-9	16.076921950843605	protein_coding	STAR	8
ENSG00000174332	-1.5545101534001904	0.5283031450323555	-7.990652507231972	1.6027527885805425e-11	1.9734614371623012e-9	15.979610918236544	protein_coding	GLIS1	1
ENSG00000147642	-1.5090381813314282	0.6777267016780444	-7.984069812239377	1.6487284094360427e-11	2.0142692306687842e-9	15.952004669312755	protein_coding	SYBU	8
ENSG00000148459	1.3351912597954285	-1.812718942465956	7.982563478671297	1.6594330208840114e-11	2.0142692306687842e-9	15.945687590216517	protein_coding	PDSS1	10
ENSG00000114626	1.7168790414567614	0.7088013841658667	7.9802977666846	1.6756649876648362e-11	2.0196483284425123e-9	15.936186009803729	protein_coding	ABTB1	3
ENSG00000163568	2.567231425975619	0.6116440667104888	7.956864985584412	1.8531338527234017e-11	2.217929083172099e-9	15.837923744300108	protein_coding	AIM2	1
ENSG00000124006	-1.8689087659963808	-0.9996307965343997	-7.936535994809612	2.0222360269265634e-11	2.3889036009961358e-9	15.752686728407012	protein_coding	OBSL1	2
ENSG00000123892	1.7625048603727604	1.5945650583434672	7.936344150711278	2.0239031384425342e-11	2.3889036009961358e-9	15.75188239509488	protein_coding	RAB38	11
ENSG00000236609	-1.2057761236066664	-0.6444167607568888	-7.924972735945825	2.1252119002666468e-11	2.491301484456415e-9	15.70420772720586	protein_coding	ZNF853	7
ENSG00000105373	-1.4170946982653332	1.9989894413541334	-7.914962385375467	2.2185785562726256e-11	2.5830593190888426e-9	15.662241957510362	protein_coding	NOP53	19
ENSG00000239697	-1.4517706003779045	2.3860047913852442	-7.909037307266271	2.275760581853193e-11	2.631732591784959e-9	15.637403814828494	protein_coding	TNFSF12	17
ENSG00000152454	-1.1129002625666664	-0.10434975158897782	-7.89890071487111	2.3770213080183466e-11	2.730383871592886e-9	15.594912960626841	protein_coding	ZNF256	19
ENSG00000166535	1.3001375968577131	2.0345422805246223	7.889102244537815	2.4791793853042046e-11	2.8287436786320974e-9	15.553842047998819	protein_coding	A2ML1	12
ENSG00000183640	2.508684774158475	1.0489226516280887	7.877230463061446	2.6088456828934375e-11	2.9569797260080256e-9	15.504084232915828	protein_coding	KRTAP8-1	21
ENSG00000179598	-1.3930244313596185	-0.791258981888355	-7.866307927896239	2.734117684871863e-11	3.072259121972446e-9	15.45830846237856	protein_coding	PLD6	17
ENSG00000005001	1.6654852849207613	1.687506304602134	7.865259457055937	2.7464542545240097e-11	3.072259121972446e-9	15.453914556277793	protein_coding	PRSS22	16
ENSG00000116191	1.8284515586254277	1.1694752124951109	7.81019861948385	3.478811615755613e-11	3.866224727510216e-9	15.223213808777265	protein_coding	RALGPS2	1
ENSG00000108840	-1.4315852173963812	1.6669992636873772	-7.803839234640212	3.575076563480901e-11	3.947576476385524e-9	15.196574695312092	protein_coding	HDAC5	17
ENSG00000100399	-1.7323545314140947	2.6711914617523553	-7.794017967081371	3.7289967900303316e-11	4.091139747523662e-9	15.155436620635987	protein_coding	CHADL	22
ENSG00000171532	-2.558152647789429	1.8047024051634672	-7.785099015435084	3.8745001337351536e-11	4.223698712667334e-9	15.118080918236119	protein_coding	NEUROD2	17
ENSG00000183479	2.383684516571045	2.304116064749777	7.781401960346933	3.9364628822348724e-11	4.264086217053787e-9	15.102597165902823	protein_coding	TREX2	X
ENSG00000165138	-1.416008586215428	-1.1303881317077333	-7.778130027007669	3.992125231181469e-11	4.287449116551586e-9	15.088894281323968	protein_coding	ANKS6	9
