ENSG.ID	Gene.type	Gene.name	Chromosome
ENSG00000210049	Mt_tRNA	MT-TF	MT
ENSG00000211459	Mt_rRNA	MT-RNR1	MT
ENSG00000210077	Mt_tRNA	MT-TV	MT
ENSG00000210082	Mt_rRNA	MT-RNR2	MT
ENSG00000209082	Mt_tRNA	MT-TL1	MT
ENSG00000198888	protein_coding	MT-ND1	MT
ENSG00000210100	Mt_tRNA	MT-TI	MT
ENSG00000210107	Mt_tRNA	MT-TQ	MT
ENSG00000210112	Mt_tRNA	MT-TM	MT
ENSG00000198763	protein_coding	MT-ND2	MT
ENSG00000210117	Mt_tRNA	MT-TW	MT
ENSG00000210127	Mt_tRNA	MT-TA	MT
ENSG00000210135	Mt_tRNA	MT-TN	MT
ENSG00000210140	Mt_tRNA	MT-TC	MT
ENSG00000210144	Mt_tRNA	MT-TY	MT
ENSG00000198804	protein_coding	MT-CO1	MT
ENSG00000210151	Mt_tRNA	MT-TS1	MT
ENSG00000210154	Mt_tRNA	MT-TD	MT
ENSG00000198712	protein_coding	MT-CO2	MT
ENSG00000210156	Mt_tRNA	MT-TK	MT
ENSG00000228253	protein_coding	MT-ATP8	MT
ENSG00000198899	protein_coding	MT-ATP6	MT
ENSG00000198938	protein_coding	MT-CO3	MT
ENSG00000210164	Mt_tRNA	MT-TG	MT
ENSG00000198840	protein_coding	MT-ND3	MT
ENSG00000210174	Mt_tRNA	MT-TR	MT
ENSG00000212907	protein_coding	MT-ND4L	MT
ENSG00000198886	protein_coding	MT-ND4	MT
ENSG00000210176	Mt_tRNA	MT-TH	MT
ENSG00000210184	Mt_tRNA	MT-TS2	MT
ENSG00000210191	Mt_tRNA	MT-TL2	MT
ENSG00000198786	protein_coding	MT-ND5	MT
ENSG00000198695	protein_coding	MT-ND6	MT
ENSG00000210194	Mt_tRNA	MT-TE	MT
ENSG00000198727	protein_coding	MT-CYB	MT
ENSG00000210195	Mt_tRNA	MT-TT	MT
ENSG00000210196	Mt_tRNA	MT-TP	MT
ENSG00000215601	unprocessed_pseudogene	TSPY24P	Y
ENSG00000215603	processed_pseudogene	ZNF92P1Y	Y
ENSG00000231436	unprocessed_pseudogene	RBMY3AP	Y
ENSG00000225878	processed_pseudogene	SERBP1P2	Y
ENSG00000236435	unprocessed_pseudogene	TSPY12P	Y
ENSG00000258991	unprocessed_pseudogene	DUX4L19	Y
ENSG00000237048	lncRNA	TTTY12	Y
ENSG00000147761	lncRNA	TTTY7B	Y
ENSG00000231988	unprocessed_pseudogene	OFD1P3Y	Y
ENSG00000238073	unprocessed_pseudogene	RBMY2HP	Y
ENSG00000131538	lncRNA	TTTY6	Y
ENSG00000271595	processed_pseudogene	ELOCP35	Y
ENSG00000183704	unprocessed_pseudogene	SLC9B1P1	Y
ENSG00000232927	processed_pseudogene	USP12PY	Y
ENSG00000239225	lncRNA	TTTY23	Y
ENSG00000277438	processed_pseudogene	KDM5DP1	Y
ENSG00000147753	lncRNA	TTTY7	Y
ENSG00000286217	lncRNA	LINC00279	Y
ENSG00000259154	unprocessed_pseudogene	DUX4L17	Y
ENSG00000169789	protein_coding	PRY	Y
ENSG00000231874	unprocessed_pseudogene	TSPY18P	Y
ENSG00000226061	unprocessed_pseudogene	PCMTD1P1	Y
ENSG00000228571	unprocessed_pseudogene	HSFY7P	Y
ENSG00000224634	processed_pseudogene	ZNF736P6Y	Y
ENSG00000285470	processed_pseudogene	TUSC2P1	Y
ENSG00000226092	unprocessed_pseudogene	RBMY2AP	Y
ENSG00000212856	lncRNA	TTTY2B	Y
ENSG00000228890	lncRNA	TTTY21	Y
