ENSG.ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene.type	Gene.name	Chromosome
ENSG00000000003	3501.4200983636097	-0.2225106273495843	0.1371140132639567	-1.6228146347173975	0.1046290363158719	0.34333575638802505	protein_coding	TSPAN6	X
ENSG00000000005	4.349330147853455	0.04022314534349846	0.9858576208263213	0.040800156628889694	0.9674552144924884	0.9885113015678958	protein_coding	TNMD	X
ENSG00000000419	750.9608892652204	-0.1703770675685687	0.14036033900315883	-1.2138547739239527	0.2248031857324578	0.5107969174960267	protein_coding	DPM1	20
ENSG00000000457	759.6868955919651	0.003087949094289319	0.08567752316486425	0.036041530849898154	0.9712492436220426	0.9895806497690549	protein_coding	SCYL3	1
ENSG00000000460	162.11462009713009	-0.8864929104328297	0.25199301945649544	-3.5179264582203063	4.349328789328574e-4	0.012450697437177602	protein_coding	C1orf112	1
ENSG00000000938	322.7751267848132	0.43833534216061837	0.2041617174591961	2.1470006601419995	0.031793229060479586	0.18114837391120753	protein_coding	FGR	1
ENSG00000000971	77125.58315537329	-0.39871930559268304	0.1260501017514868	-3.16318114822926	0.0015605519451569545	0.02905668371783343	protein_coding	CFH	1
ENSG00000001036	1629.3544695472142	-0.11202820159729078	0.15084772273209807	-0.7426575593471184	0.45768903074784933	0.7190736668855516	protein_coding	FUCA2	6
ENSG00000001084	5373.812738489065	0.005127213427272277	0.13107283067773481	0.039117286174115036	0.9687968791427327	0.9890057507075253	protein_coding	GCLC	6
ENSG00000001167	720.5883574142858	0.21097266736350562	0.11114147611314075	1.8982352470173949	0.05766509962202068	0.25110690789721857	protein_coding	NFYA	6
ENSG00000001460	66.94491457591931	0.2946468708161259	0.22457987921601383	1.3119914029908155	0.18952303526578285	0.46749854798564194	protein_coding	STPG1	1
ENSG00000001461	443.00736442555217	0.38395322040825186	0.1453849660190592	2.6409417075347226	0.008267594296986912	0.08151102279519833	protein_coding	NIPAL3	1
ENSG00000001497	851.4842757156516	-0.19869220127616535	0.07531922431658356	-2.638001162107267	0.008339629608188471	0.0819637674441999	protein_coding	LAS1L	X
ENSG00000001561	466.4256037011969	0.13340766797660217	0.2701543971971735	0.4938200871823454	0.6214332455909373	0.8237451933999714	protein_coding	ENPP4	6
ENSG00000001617	206.0397489063368	-0.23959813838678068	0.2527944374465058	-0.9477983012877108	0.34323214549100994	0.628298560181877	protein_coding	SEMA3F	3
ENSG00000001626	312.6326555433843	2.6879947423238995	0.5488697859518109	4.897326854424261	9.714917035225279e-7	1.6482350747562517e-4	protein_coding	CFTR	7
ENSG00000001629	1075.5334892350509	0.336335309669506	0.10652696615860323	3.1572785914953347	0.0015924912110678203	0.029365190430861166	protein_coding	ANKIB1	7
ENSG00000001630	6706.147248797662	0.5916136954121718	0.300599535386527	1.9681124744635523	0.04905509785412233	0.23054322031078536	protein_coding	CYP51A1	7
ENSG00000001631	1092.758107111641	-0.00984680456629453	0.08817381303704862	-0.11167493190021313	0.9110811564191129	0.9657773748076046	protein_coding	KRIT1	7
ENSG00000002016	406.8383442677647	-0.10720170743195001	0.1260702996903553	-0.8503327722330402	0.39514010110952863	0.67127338403653	protein_coding	RAD52	12
ENSG00000002330	646.7625826993693	-0.393922570217797	0.1849092524854044	-2.1303561878218655	0.033142217988025365	0.18541371733028233	protein_coding	BAD	11
ENSG00000002549	8944.256192880637	0.3413681655201745	0.2671547653811678	1.2777917887151347	0.20132285042861112	0.4820210841862046	protein_coding	LAP3	4
ENSG00000002586	3269.1727279085558	-0.3403553983438966	0.13172699614001657	-2.583793818406993	0.009772019280655042	0.09036238872696631	protein_coding	CD99	X
ENSG00000002587	24.543761474369113	0.8378468793162849	0.39096453903517703	2.1430252507910943	0.032111070846976	0.18196985936142374	protein_coding	HS3ST1	4
ENSG00000002726	271.98624287150307	-2.1392451965639143	1.036196068358485	-2.064517770225524	0.038968650803594476	0.20267019216612006	protein_coding	AOC1	7
