ENSG.ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene.type	Gene.name	Chromosome
ENSG00000000003	239.5968651055472	-0.7828213811737009	0.24826424736848315	-3.153178073247929	0.0016150325442284182	0.015622657397342919	protein_coding	TSPAN6	X
ENSG00000000005	5.2586626497447435	-0.12026125463443581	0.6380239965295313	-0.18849017480311878	0.8504924168506935	0.9290153577227562	protein_coding	TNMD	X
ENSG00000000419	110.96661334871465	-0.31622373812391974	0.18447848996899158	-1.7141496451812501	0.08650124611555408	0.2484141614601966	protein_coding	DPM1	20
ENSG00000000457	35.032828918305334	-0.10144389030022434	0.18053567563680997	-0.5619049528155455	0.5741807790236757	0.7661110018143292	protein_coding	SCYL3	1
ENSG00000000460	15.407950003138023	-0.4526801178060967	0.34561639468425753	-1.3097761702527122	0.1902715668456421	0.40820083162284726	protein_coding	C1orf112	1
ENSG00000000938	64.16650831724992	1.4909881057241474	0.3022046090384372	4.933704057222071	8.068466298773396e-7	4.459599035562825e-5	protein_coding	FGR	1
ENSG00000000971	172.65259993054357	0.2853075082192336	0.27068346098042967	1.0540263789513955	0.2918708401299219	0.527823769905554	protein_coding	CFH	1
ENSG00000001036	131.8117958861853	0.02635118438657542	0.14775344563685353	0.17834565057346285	0.8584515294683498	0.933313707313996	protein_coding	FUCA2	6
ENSG00000001084	89.10034084745793	-0.12669120669763786	0.19799529860738796	-0.6398697726093913	0.5222572669346398	0.7300302002551767	protein_coding	GCLC	6
ENSG00000001167	41.204058250118614	0.036190015631336184	0.23235150179838415	0.15575546252650846	0.8762257778253852	0.9423595448806297	protein_coding	NFYA	6
ENSG00000001460	12.396448018917699	-0.40420441807951185	0.3733899055665193	-1.0825263673538248	0.2790187056965117	0.5137260707813314	protein_coding	STPG1	1
ENSG00000001461	122.57298529547703	-0.027922075920078344	0.2127955914418669	-0.1312154811614427	0.8956048496467409	0.9525290935654164	protein_coding	NIPAL3	1
ENSG00000001497	62.1436716970044	0.01258731516815537	0.17657582593911353	0.07128560832837728	0.9431704489789151	0.9745140616314484	protein_coding	LAS1L	X
ENSG00000001561	66.97805725111957	-0.20228445583974314	0.16434445569275855	-1.2308565870814243	0.21837650693080013	0.4454049787504539	protein_coding	ENPP4	6
ENSG00000001617	38.94707742575779	0.5658078732954209	0.2607033685679805	2.170312859413176	0.02998315310188592	0.12235961099579505	protein_coding	SEMA3F	3
ENSG00000001626	205.1022462345759	-1.2312274680846056	0.37472119264158554	-3.2857161331204816	0.001017234679231703	0.011106472202848215	protein_coding	CFTR	7
ENSG00000001629	69.16165226955519	0.1976563230399885	0.15195737115937338	1.3007353413128337	0.1933490608073095	0.41185019812147167	protein_coding	ANKIB1	7
ENSG00000001630	0.2584880089269831	0.38273015226829615	4.116256326548446	0.09298015524441895	0.9259193267367326	NA	protein_coding	CYP51A1	7
ENSG00000001631	33.37146749844439	0.17153625509003534	0.2207831285246324	0.7769445801240077	0.43719146800571135	0.6647187548935528	protein_coding	KRIT1	7
ENSG00000002016	13.446218612742797	-0.5466873057997182	0.3868007374270854	-1.4133564207663192	0.15755095233896144	0.36249724423177787	protein_coding	RAD52	12
ENSG00000002330	109.53781210443489	-0.5590655419733191	0.21520908255816382	-2.5977785664423454	0.009382897935783148	0.0552246520739261	protein_coding	BAD	11
ENSG00000002549	93.53383036498951	1.0988467031366587	0.2567506470884652	4.279820579217639	1.870440398812291e-5	5.289009075540087e-4	protein_coding	LAP3	4
ENSG00000002586	446.4572702880017	-0.30750749447069514	0.1517011053679916	-2.0270616599974893	0.042656107208301895	0.15641107080270217	protein_coding	CD99	X
ENSG00000002587	26.63234846130273	1.141332298244153	0.25155187772314064	4.537164693719001	5.701558036405904e-6	2.075430948662604e-4	protein_coding	HS3ST1	4
ENSG00000002726	253.89602838272768	-0.5257514689527739	0.3845300835344005	-1.3672570533892692	0.17154474792681834	0.3821795850952622	protein_coding	AOC1	7
ENSG00000002745	0.20529410697679545	-0.8021056629543641	3.0991678280590387	-0.25881323873212464	0.7957793427958259	NA	protein_coding	WNT16	7
ENSG00000002746	1.1901338600547913	-0.33803089357663896	1.3947306718196355	-0.2423628449610468	0.8084990216568796	0.9073176355428147	protein_coding	HECW1	7
ENSG00000002822	22.584257915435025	0.4905160710694641	0.274464651360036	1.7871739352912777	0.07390938063067322	0.2238506559275171	protein_coding	MAD1L1	7
ENSG00000002834	1523.0846635642827	0.24550162639626086	0.18077267395585617	1.3580682357788831	0.17444203320609644	0.3864188130202729	protein_coding	LASP1	17
ENSG00000002919	63.6910078052206	-0.09290422950421055	0.13894957150644488	-0.6686183231583509	0.5037389811625841	0.7173004861672149	protein_coding	SNX11	17
ENSG00000002933	290.0459932710735	-0.01445729387040567	0.20500341387930332	-0.07052221032239721	0.9437780232771142	0.9747010910522855	protein_coding	TMEM176A	7
ENSG00000003056	34.01286996561569	0.14074765460745212	0.19860047543701156	0.7086974706266091	0.47851223481410016	0.6977766975678555	protein_coding	M6PR	12
ENSG00000003096	13.445651893328565	0.04371544803353113	0.45268354241709996	0.09656955452834196	0.9230682354263554	0.9648624882994573	protein_coding	KLHL13	X
ENSG00000003137	12.361412999978254	1.790460594641253	0.5644798041237532	3.1718771540827757	0.0015145706011238525	0.014812424560665406	protein_coding	CYP26B1	2
ENSG00000003147	94.19294150964467	-0.1797498412749171	0.16876649429783783	-1.0650801394126015	0.2868396659081952	0.5219181872176439	protein_coding	ICA1	7
ENSG00000003249	3.290016328622998	0.8358671903915342	0.733449422683965	1.139638487044934	0.2544369440915185	0.4870901636416818	protein_coding	DBNDD1	16
ENSG00000003393	24.934033369287974	0.593206650528654	0.2630938831644373	2.2547337224024004	0.02415004761413188	0.1058619588854925	protein_coding	ALS2	2
ENSG00000003400	114.46035815908017	0.36989330322488134	0.2317347108999211	1.596192912958243	0.11044572940803384	0.28913278229976497	protein_coding	CASP10	2
ENSG00000003402	790.4244041660536	0.464827888176641	0.1198831327204652	3.8773418547586087	1.0560392684324743e-4	0.001938323816216934	protein_coding	CFLAR	2
ENSG00000003436	138.6671527506455	1.2239236878753086	0.2770715518138247	4.4173560218037515	9.991558215068021e-6	3.2010721237141573e-4	protein_coding	TFPI	2
ENSG00000003509	24.037668691277865	0.02689714800805604	0.21627634745077587	0.12436472284227838	0.9010265035567114	0.9547563194968228	protein_coding	NDUFAF7	2
ENSG00000003756	285.60077196321265	0.259729971262094	0.13654578603527837	1.90214563776424	0.05715211747917793	0.1892557644494638	protein_coding	RBM5	3
ENSG00000003987	0.0938357911035956	0.5892229994583121	4.630638885781986	0.12724442868293515	0.8987469421432995	NA	protein_coding	MTMR7	8
ENSG00000003989	19.84375503056475	0.3493087412303477	0.4609533807790563	0.7577962453382635	0.44857297046670314	0.673135458143043	protein_coding	SLC7A2	8
ENSG00000004059	2.9510618227576026	-0.33586647242117224	0.5583618496152281	-0.6015211688488759	0.547492916618914	0.7473159574752785	protein_coding	ARF5	7
ENSG00000004139	27.203216700431206	-0.14787920363824736	0.23503523121797948	-0.6291788804253745	0.5292319537329155	0.7350401942826676	protein_coding	SARM1	17
ENSG00000004142	150.12597352288216	-0.31836778354262435	0.14472803351243824	-2.199765835381596	0.027823513095971742	0.11631791624170351	protein_coding	POLDIP2	17
ENSG00000004399	106.34966822438794	0.7136434916864722	0.26990007190341747	2.644102636407768	0.008190781547602551	0.05044535745862811	protein_coding	PLXND1	3
ENSG00000004455	302.71059228788846	-0.0041732569288714045	0.15189528768460603	-0.027474564830060538	0.9780812265126205	0.9909821265247826	protein_coding	AK2	1
ENSG00000004468	85.83437037501389	1.409050096039277	0.3230436122703636	4.361795257725158	1.2899956002305005e-5	3.932421217375024e-4	protein_coding	CD38	4
ENSG00000004478	151.48888723136344	-0.5304926664762198	0.1904661838263709	-2.7852328209600574	0.005348930119673765	0.03717043894206776	protein_coding	FKBP4	12
ENSG00000004487	46.581520972329756	-0.06973809202012769	0.21143021528543982	-0.3298397626184994	0.7415210409016418	0.86932704858247	protein_coding	KDM1A	1
ENSG00000004534	249.85130067815945	0.4769412318625714	0.14493977067785546	3.2906167136322138	9.996802165625476e-4	0.010957730733343746	protein_coding	RBM6	3
ENSG00000004660	19.907435303978275	-0.09603836069621208	0.33342889116045354	-0.28803251080601844	0.7733218526896062	0.8887335164719569	protein_coding	CAMKK1	17
ENSG00000004700	32.73696005226215	0.8414061103062416	0.2280281564454002	3.689921996574623	2.243228249204698e-4	0.003543937357913592	protein_coding	RECQL	12
ENSG00000004766	43.210510776276394	0.1934026547616441	0.16423501624971912	1.1775969533048642	0.2389573250606652	0.4702265627088894	protein_coding	VPS50	7
ENSG00000004776	42.439978901055994	0.21241660323821412	0.5650212669295809	0.37594443903416436	0.7069582021935138	0.8503459393993987	protein_coding	HSPB6	19
ENSG00000004777	7.22359936120498	-0.02900951642745658	0.39439989734359343	-0.07355355978245617	0.9413656249123372	0.9737559488741708	protein_coding	ARHGAP33	19
ENSG00000004779	625.7462029807609	-0.4341034237892713	0.16508320261151327	-2.6296038417114884	0.008548442002615777	0.0519267284909827	protein_coding	NDUFAB1	16
ENSG00000004799	673.7430721555664	-0.5781572849125963	0.406481165004108	-1.4223470475114224	0.1549255271967478	0.35865590426385213	protein_coding	PDK4	7
ENSG00000004809	0.16663079700754202	0.9639818934788256	4.630256728966869	0.20819188868041774	0.8350791417312866	NA	protein_coding	SLC22A16	6
ENSG00000004838	0.843292667991426	-0.6785357675087599	1.167373037597616	-0.5812501622490323	0.5610718643176111	NA	protein_coding	ZMYND10	3
ENSG00000004846	1.411324201872238	0.25904270046012595	1.2076108604862885	0.21450842232059172	0.8301505997601436	0.9188035604051784	protein_coding	ABCB5	7
