Significant.UC_K	Ratio.UC.H	minus.log.pvalue	Number.of.samples.quantified.in	Quantified.in.over.70.pct.samples	Cluster	Protein.names	Gene.names	Protein.IDs	Majority.protein.IDs	Zscore.difference.UC-K	Gene.name	pvalue	adj_pvalue	logFC	stat	ENSG.ID	Gene.type	Chromosome	idx	top_2000	top_100	significance
+	10.1177	10.5488	31	+	Cluster 1 (minor cluster increased abundance)	Kinesin-like protein;Kinesin-like protein KIF26B	KIF26B	B7WPD9;A0A0G2JR66;Q2KJY2-2;Q2KJY2;B4DF75;B4DM59	B7WPD9;A0A0G2JR66;Q2KJY2-2;Q2KJY2;B4DF75;B4DM59	9.13462	KIF26B	2.8261811798101582e-11	5.524719317984211e-10	3.338809462417687	71.0745945466064	ENSG00000162849	protein_coding	1	1	no	no	significant
+	4.17913	13.5737	32	+	Cluster 1 (minor cluster increased abundance)	Neutrophil gelatinase-associated lipocalin	NGAL;LCN2	B2ZDQ1;P80188;X6R8F3;P80188-2	B2ZDQ1;P80188;X6R8F3;P80188-2	5.73345	LCN2	2.668701501643405e-14	1.5717381034440778e-12	2.063202637205004	56.00268977630912	ENSG00000148346	protein_coding	9	2	yes	no	significant_inflammatory
+	6.69903	9.70578	32	+	Cluster 1 (minor cluster increased abundance)	Cathelicidin antimicrobial peptide;Antibacterial protein FALL-39;Antibacterial protein LL-37	CAMP	J3KNB4;P49913	J3KNB4;P49913	7.60807	CAMP	1.9688834118807556e-10	2.7422466259168e-9	2.7439522126599147	53.9960695913312	ENSG00000164047	protein_coding	3	3	no	no	significant
+	6.7208	8.40544	32	+	Cluster 1 (minor cluster increased abundance)	Protein S100-A8;Protein S100-A8, N-terminally processed	S100A8	P05109	P05109	7.46456	S100A8	3.931515570505038e-9	3.5753665129416397e-8	2.7486329721912974	47.04092046104359	ENSG00000143546	protein_coding	1	4	yes	no	significant_inflammatory
+	3.11611	14.0101	32	+	Cluster 2 (major cluster increased abundance in UC)	Marginal zone B- and B1-cell-specific protein	MZB1	Q8WU39;B3KQ72;Q8WU39-3;H0Y9L3;D6RII0;Q8WU39-5;Q8WU39-4;Q8WU39-2	Q8WU39;B3KQ72;Q8WU39-3	4.51274	MZB1	9.77012229674155e-15	6.944647848626408e-13	1.6397461620431761	45.83570694565751	ENSG00000170476	protein_coding	5	5	yes	no	significant_inflammatory
+	6.16675	8.07071	32	+	Cluster 1 (minor cluster increased abundance)	Protein S100-A9;Protein S100	S100A9	P06702;B2R4M6	P06702;B2R4M6	7.11079	S100A9	8.49747704386738e-9	6.950846301491518e-8	2.624510360654997	43.17976633692192	ENSG00000163220	protein_coding	1	6	yes	no	significant_inflammatory
+	2.57298	15.4003	32	+	Cluster 2 (major cluster increased abundance in UC)	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1	CD38	P28907;B2R880;B4DMR7;H0Y950	P28907;B2R880	3.79972	CD38	3.9783226282329614e-16	6.150486783248159e-14	1.3634402429197658	41.43524536383109	ENSG00000004468	protein_coding	4	7	yes	no	significant_inflammatory
+	4.94808	8.35806	32	+	Cluster 1 (minor cluster increased abundance)	Protein S100-A12;Calcitermin	S100A12	P80511	P80511	6.28717	S100A12	4.3847011670502305e-9	3.9014377002933274e-8	2.3068688258337358	39.28127215736587	ENSG00000163221	protein_coding	1	8	yes	no	significant_inflammatory
+	2.74579	11.1723	32	+	Cluster 2 (major cluster increased abundance in UC)	Derlin-3	DERL3	Q96Q80;Q96Q80-5;Q96Q80-4;Q96Q80-3;Q96Q80-2;Q8N8C7;E7EVA4	Q96Q80;Q96Q80-5;Q96Q80-4;Q96Q80-3;Q96Q80-2	4.02678	DERL3	6.725119410047603e-12	1.7185181170138172e-10	1.4572212913466964	32.721531462358875	ENSG00000099958	protein_coding	22	9	yes	no	significant_inflammatory
+	4.39275	7.48579	32	+	Cluster 1 (minor cluster increased abundance)	Myeloblastin	PRTN3	P24158;U3KPS2;D6CHE9	P24158;U3KPS2;D6CHE9	5.8534	PRTN3	3.2674578957636826e-8	2.262705445397829e-7	2.1351243951685865	32.609389634485275	ENSG00000196415	protein_coding	19	10	no	no	significant
+	4.72862	7.01854	32	+	Cluster 1 (minor cluster increased abundance)	Neutrophil defensin 1;HP 1-56;Neutrophil defensin 2	DEFA1	P59665	P59665	6.08953	DEFA1	9.582084579815385e-8	5.809373631527289e-7	2.241419209010126	32.12305303608651	ENSG00000206047	protein_coding	8	11	no	no	significant
+	3.21954	9.05008	32	+	Cluster 1 (minor cluster increased abundance)	Myeloperoxidase;Myeloperoxidase;89 kDa myeloperoxidase;84 kDa myeloperoxidase;Myeloperoxidase light chain;Myeloperoxidase heavy chain	MPO	P05164-2;P05164;P05164-3;J3QSF7	P05164-2;P05164;P05164-3	4.57496	MPO	8.910867787639065e-10	9.964702784585891e-9	1.6868545743255565	31.017887023697824	ENSG00000005381	protein_coding	17	12	no	no	significant
+	3.50704	8.35501	32	+	Cluster 1 (minor cluster increased abundance)	Azurocidin	AZU1	P20160;Q86SR2;A0A087WXP0	P20160;Q86SR2	4.93166	AZU1	4.415602799350738e-9	3.9232884642507135e-8	1.810253885530143	30.814763448279326	ENSG00000172232	protein_coding	19	13	no	no	significant
