Gene.name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ENSG.ID	Gene.type	Chromosome
A1BG	0.5982810218108143	-0.371880038846563	0.5750961184355972	-0.6466397997228153	0.5178650932033749	NA	ENSG00000121410	protein_coding	19
A1CF	633.3091910376631	0.027453923798795302	0.14684259467617672	0.1869615819533686	0.8516907549227092	0.952429183798677	ENSG00000148584	protein_coding	10
A2M	122.30332040922521	0.12241779770682705	0.10401468552429632	1.1769280182867257	0.23922423788298075	0.5838514643607448	ENSG00000175899	protein_coding	12
A2ML1	0.296749521137473	-0.16501405316228893	0.7945456832411558	-0.20768353115852853	0.835476077539214	NA	ENSG00000166535	protein_coding	12
A4GALT	9.891783811460876	-0.04674576724342844	0.18884025059013787	-0.24754133240845064	0.8044893079289727	0.9356958374392323	ENSG00000128274	protein_coding	22
A4GNT	0.11676892482664937	0.3504204233387591	2.2333532785061965	0.1569032659146258	0.8753210859140742	NA	ENSG00000118017	protein_coding	3
AAAS	16.45265672711092	0.13497203253509768	0.11768705157439745	1.146872410596278	0.25143435672736236	0.5975181539081573	ENSG00000094914	protein_coding	12
AACS	88.26019231049231	0.2411842045365242	0.07482175197594301	3.2234503759557875	0.0012665624174262539	0.042249959550954376	ENSG00000081760	protein_coding	12
AADAC	310.21712673590946	-0.03737006803706811	0.2745835253708307	-0.13609726944323797	0.8917443861131217	0.9644092020919682	ENSG00000114771	protein_coding	3
AADACL2	0.18841417635606228	0.09652865585739334	0.8366406455938967	0.11537648375769698	0.9081467177134519	NA	ENSG00000197953	protein_coding	3
AADAT	1.649667797882385	0.11461973568212118	0.33834142733803246	0.33876943945030447	0.7347834251367432	0.9064268154135003	ENSG00000109576	protein_coding	4
AAGAB	295.4116465012587	0.09909934270272189	0.10530428756350158	0.9410760472878379	0.3466658893527054	0.6883536003290663	ENSG00000103591	protein_coding	15
AAK1	117.25718504798854	-0.028947480896887198	0.10721736205229578	-0.26998874382647026	0.7871689132764119	0.9287985510024429	ENSG00000115977	protein_coding	2
AAMDC	44.03505966224929	-0.028951795766995775	0.1756443381338487	-0.1648319329538151	0.8690762689486689	0.9573677599744891	ENSG00000087884	protein_coding	11
AAMP	515.2989667709898	0.08522059186112786	0.1419299746434715	0.60044111242323706	0.5482122953854593	0.8180007900909647	ENSG00000127837	protein_coding	2
AANAT	0.18237713219368365	-0.21552848627904653	0.8518799224430275	-0.2530033642076601	0.80026561349683	NA	ENSG00000129673	protein_coding	17
AAR2	95.98005235884382	-0.02630313496153633	0.09049517323292672	-0.29065787734152787	0.7713129903082617	0.923270911185804	ENSG00000131043	protein_coding	20
AARD	3.0755614408352145	-0.5830597627294007	0.26966869542648364	-2.162133657402414	0.03060787538790078	0.22035946521147512	ENSG00000205002	protein_coding	8
AARS2	30.282091952924176	-0.06380628487345796	0.10482450222414326	-0.6086962830219103	0.5427257712207438	0.8154917249453049	ENSG00000124608	protein_coding	6
AARSD1	3.57090990908995	-0.5769779841353457	0.2576146800039788	-2.2396937322299895	0.025110812759774837	0.20223109233400624	ENSG00000266967	protein_coding	17
AASDH	38.48437359437738	-0.12523857315285425	0.1066297267355231	-1.174518372943853	0.24018745715099307	0.5846387545950287	ENSG00000157426	protein_coding	4
AASDHPPT	44.5029433625662	-0.04492123291819618	0.08193463577609181	-0.548256942777599	0.5835154877525353	0.8379114708177424	ENSG00000149313	protein_coding	11
AASS	9.12171832203441	0.04630170676768148	0.1747179276574088	0.2650083330799974	0.7910030423922749	0.9301649874621858	ENSG00000008311	protein_coding	7
AATK	14.665125475865626	-0.5736237389576797	0.31026525522728043	-1.8488171952656436	0.06448421355493272	0.3209696440747482	ENSG00000181409	protein_coding	17
ABAT	36.602526021318	0.052839035551469946	0.11953297275395951	0.4420456911101097	0.6584561427462525	0.8735296185139835	ENSG00000183044	protein_coding	16
ABCA1	88.71173943666302	0.0013671935817668182	0.1225042038159634	0.011160380943504083	0.9910954892017755	0.9972607545688759	ENSG00000165029	protein_coding	9
ABCA10	12.295472373736018	-0.5307624204398447	0.18616692443048763	-2.8510027872218764	0.004358158744874461	0.08184555294591184	ENSG00000154263	protein_coding	17
ABCA12	1.078519502630833	0.9849565892294754	0.6077243339469254	1.6207292257536867	0.10507572286066724	0.40577214958761276	ENSG00000144452	protein_coding	2
ABCA13	2.821779732837507	0.09976350304928788	0.3737333955992956	0.26693761976853403	0.7895171908540652	0.9292812078767555	ENSG00000179869	protein_coding	7
ABCA2	6.700899926220636	-0.28953985482438804	0.19296470274030825	-1.5004809206689504	0.13348987208737134	0.4522435510787884	ENSG00000107331	protein_coding	9
ABCA3	8.725087778530167	-0.745823526521168	0.19443676106007587	-3.8358154211935678	1.2514837445090567e-4	0.012421515173985714	ENSG00000167972	protein_coding	16
ABCA4	22.579867687975703	0.2576198276524682	0.23568819236875851	1.093053602148195	0.27437026579962076	0.6197276481886836	ENSG00000198691	protein_coding	1
ABCA5	228.5584797398988	-0.2450621590269534	0.12205251161339578	-2.007842000033507	0.04466008413157593	0.2677441868471206	ENSG00000154265	protein_coding	17
ABCA6	17.721633808191246	-0.3121356040246801	0.13797501634848003	-2.26226176510338	0.023681235229867488	0.19672405971478096	ENSG00000154262	protein_coding	17
ABCA7	15.51951523474196	-0.5451282959474844	0.19898343182488765	-2.7395662591004877	0.0061520312956212546	0.09839806771895712	ENSG00000064687	protein_coding	19
ABCA8	19.39855785381913	-0.2789570521538781	0.1946306501307846	-1.433263732954852	0.15178248217572862	0.478745849776498	ENSG00000141338	protein_coding	17
ABCA9	8.430916582203302	-0.4537806460503767	0.2087956759407831	-2.173323963754279	0.02975594311863893	0.21764184436112918	ENSG00000154258	protein_coding	17
ABCB1	946.3923962391061	-0.06615297015338453	0.17121115675031617	-0.3863823562027442	0.6992135152151183	0.891788094078913	ENSG00000085563	protein_coding	7
ABCB10	25.669485090008575	0.11632112917824326	0.16371719834866832	0.7105003649678532	0.47739390469355975	0.7782349859688714	ENSG00000135776	protein_coding	1
ABCB11	0.19068657159308572	0.0456373302776715	0.886550433918756	0.051477421398288696	0.9589450931067188	NA	ENSG00000073734	protein_coding	2
ABCB4	28.069909671764705	-0.7903528287627861	0.20383595236305152	-3.8773966005520526	1.0558017480380685e-4	0.01131423548241295	ENSG00000005471	protein_coding	7
ABCB5	0.4901867013439005	-0.6795126970987273	0.6767431423188164	-1.0040924755741465	0.3153340419040192	NA	ENSG00000004846	protein_coding	7
ABCB6	0.17135360033929337	-0.036825700127702365	1.1033473006312955	-0.03337634497010328	0.9733744731299393	NA	ENSG00000115657	protein_coding	2
ABCB7	124.83966039971844	-0.12685465240928478	0.053652906789252955	-2.3643574971169063	0.01806137434725277	0.17034956620973563	ENSG00000131269	protein_coding	X
ABCB8	20.958687866364098	-0.098536179453906525	0.10742117632482248	-0.917288218441685	0.3589916294275921	0.6976482218526245	ENSG00000197150	protein_coding	7
ABCB9	38.258126971155846	0.19144926012627464	0.1269742579716094	1.5077801058627285	0.1316108154280443	0.4503290842804325	ENSG00000150967	protein_coding	12
ABCC1	21.93498963114701	-0.14051085950236722	0.2001392298155017	-0.702065555223217	0.4826382819930519	0.7814729772900144	ENSG00000103222	protein_coding	16
ABCC10	9.675388721546506	0.14062658737351327	0.169670934431775	0.8288195491141088	0.40720652446885686	0.7351953740769358	ENSG00000124574	protein_coding	6
ABCC11	1.5648185250548305	0.08287931066724744	0.44018150273139045	0.18828440121397474	0.8506537126985481	0.9520436395515213	ENSG00000121270	protein_coding	16
ABCC12	0.22479806953375844	-0.22516982532211854	3.8194820243973004	-0.05895297422106587	0.9529895640595661	NA	ENSG00000140798	protein_coding	16
ABCC2	42.59332518721859	0.0318332664223372	0.24864310411087315	0.12802794807509457	0.8981268556732894	0.9663540178635204	ENSG00000023839	protein_coding	10
ABCC3	167.9331677470034	0.1935910906243418	0.1138310876153186	1.7006873489478076	0.0890017119657898	0.3744229810243363	ENSG00000108846	protein_coding	17
ABCC4	57.77466036419897	0.026184519993713313	0.09386135160973437	0.278970199604474	0.780267694489307	0.9258056107399936	ENSG00000125257	protein_coding	13
ABCC5	71.95492831096374	-0.057871152691006095	0.11207085027738174	-0.5163800626815241	0.605588987816945	0.8480194939621504	ENSG00000114770	protein_coding	3
ABCC6	27.627253871830032	-0.13975030632459506	0.12572845088236856	-1.1115249201260369	0.26634246958665353	0.61224131700399	ENSG00000091262	protein_coding	16
ABCC8	2.6079144700301433	0.7178716511003016	0.34092222522773336	2.1056757171544596	0.035232530537823326	0.23762904994238943	ENSG00000006071	protein_coding	11
ABCC9	9.532856192169271	0.3304344876705095	0.15719850992033998	2.1020204824966626	0.03555148161026966	0.23862164638689556	ENSG00000069431	protein_coding	12
ABCD1	15.42423937423501	0.15554512460920486	0.15882121037181032	0.9793724921568351	0.32739596367827467	0.6696509518027055	ENSG00000101986	protein_coding	X
ABCD2	6.482218036275723	-0.08761190153770047	0.18421614501899147	-0.4755929591766686	0.6343643924200906	0.8608371136009717	ENSG00000173208	protein_coding	12
ABCD3	266.59145509155803	0.011473714900338166	0.12046687627542615	0.09524373217834213	0.9241212345923216	0.9763282391205518	ENSG00000117528	protein_coding	1
ABCD4	56.79782304270328	0.05135374055665807	0.19087235045870082	0.2690475620656723	0.7878930823366486	0.9289349425571464	ENSG00000119688	protein_coding	14
ABCE1	91.51977235008704	0.06571479973140655	0.0786887121736332	0.8351235890911693	0.4036481263185792	0.7333069266643737	ENSG00000164163	protein_coding	4
ABCF1	468.22243521923275	0.02047954215866331	0.07702214093854308	0.2658916242669	0.7903226758485844	0.9297977631466877	ENSG00000204574	protein_coding	6
ABCF2	54.44445562364463	-0.109209304850698	0.08786979522315574	-1.2428537539361284	0.21392172997007505	0.5578377439758752	ENSG00000033050	protein_coding	7
ABCF3	35.60527661116218	0.03195847669881346	0.07918661101968952	0.40358434699102197	0.6865183981301486	0.8859068604154081	ENSG00000161204	protein_coding	3
ABCG1	133.19125272134573	-0.2295455559091607	0.110596020408457	-2.075531787322864	0.03793727596999329	0.24648447661292341	ENSG00000160179	protein_coding	21
ABCG2	612.78355590859	-0.04380390584660542	0.20039262526817225	-0.21859040864395854	0.8269691249219487	0.9430042953426963	ENSG00000118777	protein_coding	4
ABCG4	0.10296187863222563	0.25693641564387304	1.4273936012759851	0.18000390040574005	0.8571495061351736	NA	ENSG00000172350	protein_coding	11
ABCG5	56.5729543541695	0.5268410441631376	0.21606961355758883	2.4382930829036686	0.014756804229965592	0.15374769751411838	ENSG00000138075	protein_coding	2
ABCG8	30.207066243083563	0.3247236493375246	0.2116718625022324	1.534089819491714	0.1250075575073392	0.4420564249877076	ENSG00000143921	protein_coding	2
ABHD1	1.4243181493631716	0.22823217341023783	0.34521909842884746	0.6611226738293519	0.5085336455517695	0.797130609672638	ENSG00000143994	protein_coding	2
ABHD10	100.71579876022228	-0.1285525613764883	0.08245184327933462	-1.55912295303055	0.11896728200795527	0.43222772773827867	ENSG00000144827	protein_coding	3
ABHD11	110.09697657767366	0.04760411576774088	0.10678528447165804	0.4457928449905054	0.6557468906815336	0.871797956650185	ENSG00000106077	protein_coding	7
ABHD12	155.2181644252329	-0.12311292360963735	0.11253582989213119	-1.0939886765632298	0.2739599444928756	0.6192903372807969	ENSG00000100997	protein_coding	20
ABHD12B	1.7968702328591584	0.6063285247143059	0.4355155519557945	1.392208663941923	0.16385921993629793	0.49655888742095516	ENSG00000131969	protein_coding	14
ABHD13	58.18657866806662	0.0016765221545016141	0.07300154418594347	0.02296557111492486	0.9816777359718523	0.9936384282792591	ENSG00000139826	protein_coding	13
ABHD14A	22.02176169988909	-0.14963207178413804	0.13736881616984384	-1.0892724852424427	0.2760337425010971	0.6211513613157477	ENSG00000248487	protein_coding	3
ABHD14A-ACY1	0.011266834291895829	-0.13546221337437758	3.8195799824405903	-0.035465211881182165	0.9717087858118287	NA	ENSG00000114786	protein_coding	3
ABHD14B	152.94995872083288	-0.07781270282639123	0.12460039974489039	-0.6244980191532826	0.5323005708129006	0.8104525861773014	ENSG00000114779	protein_coding	3
ABHD15	47.499094983572576	-0.027103350726050676	0.0979089264537768	-0.27682206012999516	0.7819167413275894	0.9265974109115167	ENSG00000168792	protein_coding	17
ABHD16A	0.37369271680907484	0.21388819774304155	0.6862262780363987	0.3116875651498973	0.7552779790952555	NA	ENSG00000204427	protein_coding	6
ABHD16B	6.340191270488896	-0.19549207625792167	0.19157414594536828	-1.0204512477047434	0.307514499498625	0.6503013823881875	ENSG00000183260	protein_coding	20
ABHD17A	30.4947214489454	-0.021500738539549417	0.1038063424069715	-0.20712355373485788	0.835913367713091	0.9469931485351767	ENSG00000129968	protein_coding	19
ABHD17B	52.22934471340216	-0.007130163152249878	0.11007469526345784	-0.0647756792347616	0.9483526059315666	0.9841102572960504	ENSG00000107362	protein_coding	9
ABHD17C	822.5559327025182	0.05624343608334946	0.12116711091378218	0.4641807142151809	0.6425182773942058	0.8652021035263529	ENSG00000136379	protein_coding	15
ABHD18	70.42052849990047	-0.07151106203418577	0.0679073820641216	-1.053067573222914	0.29231002327512834	0.6363290786417447	ENSG00000164074	protein_coding	4
ABHD2	760.0040116271874	0.23517217474271992	0.07553777093489035	3.113305725494947	0.0018500426512472652	0.051538834438965966	ENSG00000140526	protein_coding	15
ABHD3	69.36529169310262	0.34797505275840185	0.14816996866630883	2.3484857011886855	0.0188499229382526	0.17376385951574144	ENSG00000158201	protein_coding	18
ABHD4	42.551796460737656	0.009075825974810681	0.12857427824460552	0.07058819305634693	0.943725507547842	0.9826340054234705	ENSG00000100439	protein_coding	14
ABHD5	26.7036219065562	0.1190918838572522	0.13367422471002796	0.8909113489574492	0.3729767313452756	0.7093177421243084	ENSG00000011198	protein_coding	3
ABHD6	107.17084013657325	0.004802310057615754	0.15904819879114257	0.030194054972744497	0.975912289815921	0.991469265326099	ENSG00000163686	protein_coding	3
ABHD8	9.123783983845364	-0.4104182309006896	0.1648548564143304	-2.489573190790229	0.012789658174009082	0.1435425056421037	ENSG00000127220	protein_coding	19
ABI1	228.4502767504047	-0.007684059006235217	0.08099624418557413	-0.09486932491128755	0.9244186217716883	0.9764653080488455	ENSG00000136754	protein_coding	10
ABI2	122.91988200803127	-0.12114888450888116	0.06642855970074997	-1.823746970499398	0.06819033424886595	0.32916426549297734	ENSG00000138443	protein_coding	2
ABI3	54.39605182139748	-0.08141290462495572	0.1344617175365383	-0.6054727406172896	0.5448649316991053	0.815896665838565	ENSG00000108798	protein_coding	17
ABI3BP	30.1413082645368	-0.27035526645169833	0.17205406343409346	-1.5713390376000032	0.11610391811659618	0.4260042328326895	ENSG00000154175	protein_coding	3
ABL1	204.008264280322	0.05754266654086139	0.08922292006263333	0.6449314425090233	0.5189716146440118	0.803000695383265	ENSG00000097007	protein_coding	9
ABL2	80.8595211400367	-0.06923265421428966	0.0838598438957329	-0.8255757582898682	0.40904479129084553	0.7358904689048955	ENSG00000143322	protein_coding	1
ABLIM1	472.3538817886424	0.012726955291216605	0.07835615572629269	0.162424447361524	0.8709716202415376	0.9578646500263809	ENSG00000099204	protein_coding	10
ABLIM2	26.10402251165776	-0.07529821949859129	0.1928055658043737	-0.39053965680114816	0.6961375368193305	0.8902792724922981	ENSG00000163995	protein_coding	4
ABLIM3	40.56032185218493	-0.11029412409621697	0.10382977218401163	-1.062259136047693	0.28811806011782976	0.6323728149270244	ENSG00000173210	protein_coding	5
ABO	0.7514857543723734	-0.7012650392161495	0.48175952542435274	-1.4556329500666285	0.14549411422535397	NA	ENSG00000175164	protein_coding	9
ABR	31.113763360609436	-0.10553195843641029	0.12180133143658066	-0.8664269691613226	0.38625605964415544	0.7191077671150726	ENSG00000159842	protein_coding	17
ABRA	0.4634535470673462	-0.2630897001393911	0.6023335269199166	-0.43678408785365563	0.6622679399156512	NA	ENSG00000174429	protein_coding	8
ABRACL	596.4689171591838	-0.025408723567879172	0.1227249759738695	-0.2070379184534465	0.8359802453607559	0.9469931485351767	ENSG00000146386	protein_coding	6
ABRAXAS1	8.376908275444869	-0.47443025598890387	0.14858389416079903	-3.193012665797213	0.0014079677073546115	0.04500020975429701	ENSG00000163322	protein_coding	4
ABRAXAS2	85.87962084323924	-0.02043822784728892	0.06079343838281567	-0.33619134549669	0.7367265787799919	0.9074650804426538	ENSG00000165660	protein_coding	10
ABT1	160.36409156458078	-0.035234272908112575	0.10526560999403632	-0.33471779539498914	0.7378379762518192	0.9074787467087	ENSG00000146109	protein_coding	6
ABTB1	21.62518492020344	-0.21116909022629196	0.1356852933198355	-1.5563152428651725	0.11963314855071629	0.4332465517879205	ENSG00000114626	protein_coding	3
ABTB2	51.27759300211963	0.15237494005384533	0.12790757014280868	1.1912894591283287	0.23353997052451608	0.5777883685689205	ENSG00000166016	protein_coding	11
ACAA1	3.699059728879661	-0.07354115504424695	0.2693582368963281	-0.2730235982074379	0.784835075714791	0.9275421979739322	ENSG00000060971	protein_coding	3
ACAA2	321.7403894701956	0.23056670418310157	0.11861831617510883	1.943769829296264	0.05192321358306618	0.2875519868962762	ENSG00000167315	protein_coding	18
ACACB	152.83385625623484	-0.12477173624676523	0.10015539173882074	-1.2457815209004177	0.21284461552428144	0.5572349815139126	ENSG00000076555	protein_coding	12
ACAD10	43.21573824311203	-0.30238249142431584	0.0919547815138262	-3.2883824684945826	0.0010076484722909096	0.03683825310426425	ENSG00000111271	protein_coding	12
ACAD11	1.0238013405301498	0.2518887829719361	0.6286529003374604	0.40068022089251865	0.6886555748842542	0.8873882538036078	ENSG00000240303	protein_coding	3
ACAD8	41.28869222969312	0.052323976870145256	0.13717821011676454	0.38143067201130326	0.702883705208043	0.8935086009413631	ENSG00000151498	protein_coding	11
ACAD9	62.406758426466354	-0.05781984638286562	0.0906303771525534	-0.6379742443920374	0.523490445992143	0.8058308456185711	ENSG00000177646	protein_coding	3
ACADL	0.4575433984357631	0.1413457965955955	1.1075561402799	0.12761953227930714	0.8984500730045087	NA	ENSG00000115361	protein_coding	2
ACADM	382.2993217159322	-0.05781917840062254	0.0917751579524188	-0.6300090317534416	0.5286886750793848	0.8084994669025269	ENSG00000117054	protein_coding	1
ACADS	978.665243228417	-0.01691296778229583	0.14589419790214936	-0.11592625358301972	0.9077109886192724	0.970728586652193	ENSG00000122971	protein_coding	12
ACADSB	59.243099810213025	0.011429009101726865	0.11148126730561234	0.1025195477047783	0.9183442977711791	0.9747991908366641	ENSG00000196177	protein_coding	10
ACADVL	443.16814014312536	0.1839591423042619	0.09701005501868037	1.8962894337998109	0.05792178269342366	0.30354491655173116	ENSG00000072778	protein_coding	17
ACAN	0.4637765132504609	0.4221717577696081	0.6993644407128101	0.603650590726803	0.5460759701534053	NA	ENSG00000157766	protein_coding	15
ACAP1	70.5580919269434	-0.41636622438366333	0.1616148501601541	-2.5762869189994637	0.009986773793477208	0.12637138262949094	ENSG00000072818	protein_coding	17
ACAP2	164.55178581606302	-0.059972557010005076	0.0647956279237856	-0.9255648711444922	0.3546721564390514	0.6944892435192864	ENSG00000114331	protein_coding	3
ACAP3	13.037435476633346	-0.153719003826175	0.15914322016275464	-0.9659161330841972	0.3340861488227883	0.6762239065592217	ENSG00000131584	protein_coding	1
ACAT1	102.78621298994544	0.02451520092393243	0.1436902754402323	0.17061141297713972	0.8645293232514291	0.95664353866041	ENSG00000075239	protein_coding	11
ACAT2	2.972047145859749	0.00379052175743733	0.24670979335339463	0.015364293836555045	0.9877415494534934	0.9959009598943873	ENSG00000120437	protein_coding	6
ACBD3	435.1401405878546	0.12465694506280654	0.06351308555303956	1.9626970407335347	0.049681387194311075	0.28057874335759475	ENSG00000182827	protein_coding	1
ACBD4	39.98194859556013	-0.2714298774546885	0.1378242702850513	-1.9693909998094752	0.04890820847782716	0.27837084328672096	ENSG00000181513	protein_coding	17
ACBD5	218.55182062136691	0.04044642234231815	0.09305477755075225	0.4346517546641664	0.6638152224904368	0.8767351567417215	ENSG00000107897	protein_coding	10
ACBD6	3.6694339453137697	-0.6197941659654098	0.26228190634093485	-2.363083960354292	0.01812356310731446	0.17043981118616452	ENSG00000230124	protein_coding	1
ACBD7	0.6264761092259525	-0.04054543206262316	0.4829363105090583	-0.08395606455825332	0.933091363787335	NA	ENSG00000176244	protein_coding	10
ACCS	33.209448095829764	-0.5941571530899667	0.14733286803298135	-4.032753594106111	5.512707434577895e-5	0.007980355429807117	ENSG00000110455	protein_coding	11
ACCSL	0.019890520004765967	-0.13546221337437483	3.8195799824405903	-0.035465211881181444	0.9717087858118294	NA	ENSG00000205126	protein_coding	11
ACD	16.16468677106425	-0.025852829213689553	0.15589833835990588	-0.16583133268557282	0.868289687588524	0.9573677599744891	ENSG00000102977	protein_coding	16
ACE	126.12480677558013	-0.2424562519886773	0.2105869632825555	-1.151335525283021	0.249594227445025	0.5954560489456517	ENSG00000159640	protein_coding	17
ACE2	1454.88156635769	-0.09195000212679193	0.1824158395948691	-0.5040680805515875	0.6142135363628383	0.8524395764928275	ENSG00000130234	protein_coding	X
ACER1	0.006034299253608098	-0.07793959900582802	3.8196426430092547	-0.020404945250172498	0.9837203389335036	NA	ENSG00000167769	protein_coding	19
ACER2	0.75454751305298	-0.2105376917813666	0.47890146610129664	-0.4396263254220941	0.6602077707637509	NA	ENSG00000177076	protein_coding	9
ACER3	98.75524518714408	0.1791072121064778	0.068942498219886	2.5979216989676117	0.009378987820149152	0.12323881599319404	ENSG00000078124	protein_coding	11
ACHE	17.616717588323468	0.01693858030286894	0.1547950965011888	0.10942581958814732	0.9128647556396786	0.972594872367781	ENSG00000087085	protein_coding	7
